Rank,Nickname,Points,Prize
1,Godz1lla,3046.00,350.00
2,Gmanboy,2809.00,270.00
3,ForwardOnly,2386.00,210.00
4,Leandro Souza,2318.50,170.00
5,SolidOldDog,1445.50,130.00
6,Armada__,1392.50,100.00
7,Nightwish !,1349.00,80.00
8,SimbaJoJo,1321.00,60.00
9,pohyikol,1269.00,50.00
10,N Dubovskiy,1065.00,50.00
11,WOoooo!!!,1014.00,40.00
12,C Chassagne,899.00,40.00
13,GGbannedMe,893.00,30.00
14,Caipirinhas,883.00,30.00
15,Andrew Tate III,801.00,30.00
16,Domboricrew,773.00,30.00
17,End of Summer,733.00,25.00
18,Libertad!,730.00,25.00
19,ERA7ER,729.00,25.00
20,MateyM47,722.00,25.00
21,ILovEnrichetta,719.00,25.00
22,tOxic_toxiC,715.00,25.00
23,BBeatClownfish,713.00,25.00
24,IWILLKOYOU,709.00,20.00
25,G Reis Santos,705.00,20.00
26,llIlllIIlI,685.00,20.00
27,ObliqueFable,682.00,20.00
28,andrechuvak1,628.00,20.00
29,JackOVO,624.00,20.00
30,Qian_Qian,595.00,20.00
31,Jomeiker,592.00,20.00
32,pangxiong27,586.50,20.00
33,GenghisKhan_,577.00,20.00
34,Grovsk,564.00,15.00
35,Thu_X,544.00,15.00
36,iantampolski,522.00,15.00
37,Nearzzzz,496.00,15.00
38,Barry1961,496.00,15.00
39,ZushaShochat,491.00,15.00
40,JC Saavedra,490.00,15.00
41,JackpotBee,473.00,15.00
42,D Zabolotni,473.00,15.00
43,LuckyStrike2026,464.00,15.00
44,Gaffero,463.00,15.00
45,Lorne Malvo,458.00,15.00
46,lucky dad,457.00,15.00
47,Kakic,443.50,15.00
48,Djon Wik,443.00,15.00
49,Xanthi1999,440.00,15.00
50,GGengar,438.00,15.00
51,FlexMode,436.00,15.00
52,A Komenotrus,434.00,15.00
53,MaestroRUS,427.00,15.00
54,TAILZ,426.00,15.00
55,GeneralSiska,418.00,15.00
56,0oga Booga,416.00,15.00
57,PakiachiYako,410.00,15.00
58,Fiishking,409.00,15.00
59,sasigeiku,402.00,15.00
60,Mafalda100,391.00,15.00
61,clpoker1,376.00,15.00
62,Aamakualenalena,366.00,15.00
63,BBJey,360.00,15.00
64,Trlove20,351.00,15.00
65,GiorDream,346.50,15.00
66,Paga_lo_Papi,345.00,15.00
67,drunkbear,342.00,15.00
68,ThereWay,340.50,15.00
69,Hyperventilatin,331.00,15.00
70,NeverMore21,315.00,15.00
71,Aandy90bb,314.50,10.00
72,mikekal98,313.00,10.00
73,GTOvsGTA,311.50,10.00
74,SkinnyGoat,306.00,10.00
75,MaYorksS,304.00,10.00
76,Evil horse,304.00,10.00
77,Black__River,290.00,10.00
78,Eagleeye87,284.00,10.00
79,macauk,282.00,10.00
80,AsanteOnwatugwu,280.00,10.00
81,JohnPoulB10,275.00,10.00
82,Diego A Torres,272.00,10.00
83,CatETH,270.00,10.00
84,willyfishman,269.00,10.00
85,Ragdoll17,267.00,10.00
86,bccxm,266.00,10.00
87,Rick Rule,265.00,10.00
88,WhanThyme,257.00,10.00
89,MarioMario10,255.00,10.00
90,AlwaysTripping,254.00,10.00
91,Firemouse,247.00,10.00
92,PelosyStock,244.00,10.00
93,tekky1,237.00,10.00
94,TwoPairPlus,233.00,10.00
95,KuleVu555,232.00,10.00
96,game077,230.50,10.00
97,dodouzi,230.00,10.00
98,Marinescu Ionut,224.00,10.00
99,JessSlash96,223.00,10.00
100,IQunder40,219.00,10.00
101,GinTOnick,215.00,10.00
102,WannaParties,214.00,10.00
103,Luzna_guma,212.00,10.00
104,Pubba,212.00,10.00
105,Mike1120,210.00,10.00
106,Dream57,207.00,10.00
107,ABCD-2023,207.00,10.00
108,grasun,206.00,10.00
109,coolleeman,205.00,10.00
110,UntilClimax,201.00,10.00
