Rank,Nickname,Points,Prize
1,PLOTIGER,36701.00,250.00
2,wudalang,34524.00,180.00
3,naterne,32193.00,160.00
4,MQ777Fan,31384.00,150.00
5,linlaoshixxx,30511.00,140.00
6,MoreLuckyPlease,30049.00,140.00
7,Hiu Chun Leung,27793.00,130.00
8,LUCKYGJJ,27384.00,130.00
9,kapitoshka,27339.00,120.00
10,Toufu12327,27287.00,120.00
11,gounvren,27281.00,100.00
12,LuckyXinyu,26214.00,80.00
13,TianTTTTTT,21352.00,70.00
14,look2026,20840.00,60.00
15,Metsuki-Sutemi,20628.00,50.00
16,kei2000,19974.00,40.00
17,ERICOKC,18892.00,30.00
18,OllieWollie,18746.00,30.00
19,brpokerpr0,18533.00,30.00
20,vibin11,17768.00,30.00
21,Lilwhitezzz,17095.00,30.00
22,bengdeng668,16776.00,30.00
23,P9072-2095,16214.00,30.00
24,Caio Pessagno,16079.00,30.00
25,FwwFww,15441.00,30.00
26,o6F2nZ0vQ,13867.00,30.00
27,BreezyPoker,13575.00,20.00
28,BasqueMaster,13438.00,20.00
29,IlIlIIlIIlIlIll,13253.00,20.00
30,POKER SO EASY !,13188.00,20.00
31,Bumbasik,12764.00,20.00
32,A Billion Dream,12705.00,20.00
33,super00998178,12652.00,20.00
34,Pol_alone1424,12490.00,20.00
35,BBJPLEASE,12084.00,20.00
36,dimomo,12059.00,20.00
37,igvrcia,11980.00,20.00
38,Ladderfan,11769.00,20.00
39,DanGs,11534.00,20.00
40,dashaoyu,11521.00,20.00
41,GoodOldMan,11361.00,15.00
42,lifish1,11309.00,15.00
43,LWGorgeous,11239.00,15.00
44,Fritzie,11126.00,15.00
45,Harrison@Fold,11075.00,15.00
46,knife2017,10798.00,15.00
47,Oakleythedog,10509.00,15.00
48,HustleRain,10396.00,15.00
49,gogo-tang,10381.00,15.00
50,GgabbyY,10148.00,15.00
51,ZHANG SIYI,10063.00,15.00
52,Panda Man Bear,10032.00,15.00
53,HoudiniV8,10023.00,15.00
54,rodperez99,9648.00,15.00
55,Carrier_,9561.00,15.00
56,ShPokerKing79,9273.00,15.00
57,MateeCocido,9147.00,15.00
58,Nadezhda78,9119.00,15.00
59,lepster,9071.00,15.00
60,TakeMyNuts,8936.00,15.00
