Rank,Nickname,Points,Prize
1,Evgeny Paketov,3550.50,250.00
2,KimmieBOT,3456.00,200.00
3,Muten-Roshi,3405.00,170.00
4,lupinmaskara,3057.50,140.00
5,Kuromi!,2978.00,120.00
6,derxiahei,2977.00,100.00
7,Nightwish !,2729.00,80.00
8,Badala Menti,2353.50,70.00
9,waskikoluder,2244.00,60.00
10,Martimar,2073.00,50.00
11,FocusLebao,2042.00,40.00
12,L escroque,2038.00,40.00
13,Sambayon,1946.00,40.00
14,MaxExploit,1857.00,30.00
15,Pyro57,1600.00,30.00
16,whyiplaythis,1571.00,30.00
17,Lin16,1526.00,30.00
18,Toxic cookie,1488.50,30.00
19,Bellius,1475.00,30.00
20,Baro@,1471.00,25.00
21,Haarlem 91,1465.00,25.00
22,Pennyswise,1452.00,20.00
23,Dont Be Shy,1405.00,20.00
24,mqgblf,1358.00,20.00
25,seoks4024,1309.00,20.00
26,Palatschinken,1159.50,20.00
27,OcuIus Tertius,1152.50,20.00
28,TiltedDetective,1115.50,20.00
29,Maisons94,1111.00,20.00
30,Pie-o-My,1087.00,20.00
31,fishi19810420,1082.00,20.00
32,Honey Pot,1043.00,20.00
33,BrotherLehman,1037.00,20.00
34,KIKO7788,1011.00,10.00
35,lallamaquellama,1001.00,10.00
36,Xiaoxiami8888,940.50,10.00
37,David9T,937.00,10.00
38,Rabbit_Life,934.50,10.00
39,Poker Alan,933.00,10.00
40,Serpanika,928.00,10.00
41,818Sisarka,867.00,10.00
42,Nareik1592,846.00,10.00
43,pacoryan,822.00,10.00
44,Javelove,821.00,10.00
45,MmmoXue,799.00,10.00
46,Hi Adults,791.00,10.00
47,DOHK1XOT,765.00,10.00
48,DaVinchip,748.00,10.00
49,CALLIFYOUDARE,747.00,10.00
50,SmartArt,715.00,10.00
