Rank,Nickname,Points,Prize
1,liangzai12138,43576.00,90.00
2,TEAPAI,42254.00,70.00
3,ZY8822,39851.00,65.00
4,xinlu07113,39487.00,60.00
5,romchikfish,32391.00,55.00
6,dzpkzshg,32085.00,50.00
7,natural villain,31895.00,45.00
8,PushEVind,31646.00,40.00
9,Thrasymachus,30786.00,35.00
10,unst0pabl3,30626.00,35.00
11,Serifos,30080.00,30.00
12,Edward Morra,30065.00,25.00
13,xuanjing01,29558.00,20.00
14,catttty,29492.00,15.00
15,SHOKS,25311.00,10.00
16,ztsst,24430.00,10.00
17,Shuk100,23206.00,9.00
18,eclibrise,22096.00,9.00
19,WhyAlw@ysMe,20515.00,9.00
20,bim398555,20360.00,9.00
21,TonyPoker0409,20089.00,9.00
22,Super SetMan,19514.00,8.00
23,wlsrnjs123,19499.00,8.00
24,chuckjones,19438.00,8.00
25,Layonel,18939.00,8.00
26,Last59,18818.00,8.00
27,warrior27,18633.00,7.00
28,jinyugong,18553.00,7.00
29,HermanPoker,18343.00,7.00
30,Liamjames,18040.00,7.00
31,Miro Matveev,17751.00,7.00
32,Baccarin,17132.00,7.00
33,yyzzmm88,16696.00,6.00
34,Stepan Solianyk,16669.00,6.00
35,Renasc,16611.00,6.00
36,psihoO,15996.00,6.00
37,houguoyu,15616.00,6.00
38,liomessigoat,15360.00,6.00
39,pipecmolodec,15076.00,6.00
40,bryant193,14912.00,6.00
41,breakingGrieven,14832.00,6.00
42,kisususu,14640.00,6.00
43,moomini,14524.00,6.00
44,spinbluff,14381.00,6.00
45,TheDutchRabbit,14295.00,6.00
46,techchang,14029.00,6.00
47,h8me0rl0veme,14010.00,6.00
48,WJ_S1mple,13581.00,6.00
49,SayYesStoicism,13333.00,6.00
50,sangre is back,13204.00,6.00
51,LaaKer,13089.00,6.00
52,youfish,12948.00,6.00
53,Swagger1,12848.00,6.00
54,Brent sisiren,12843.00,6.00
55,freestyle123,12790.00,6.00
56,wwyxi,12749.00,6.00
57,rekreacyjny,12533.00,6.00
58,Otdai_Kolbasku,12503.00,6.00
59,play-it-smart,12358.00,6.00
60,stevesan,12227.00,6.00
61,To Han Cau 8668,12219.00,6.00
62,RJJ2023,12183.00,6.00
63,Gulo gulo Lin,11951.00,6.00
64,Lucky_xiaomili,11721.00,6.00
65,Mistic_,11232.00,6.00
66,GOD_SH,11205.00,6.00
67,Olafrenky,11176.00,6.00
68,nicoblaer,11101.00,6.00
69,Angler_Fish,11051.00,6.00
70,CSNDM,10950.00,6.00
71,noneedjp,10943.00,6.00
72,DengTHEI,10820.00,6.00
73,arcshy,10777.00,6.00
74,paomarou,10746.00,6.00
75,xViRuSx98,10701.00,6.00
76,Bluff4life,10690.00,6.00
77,LuCky_D0g,10421.00,6.00
78,seeseeKSQ,10402.00,6.00
79,Hachimi_Y,10344.00,6.00
80,J000ker,10005.00,6.00
81,lss11,9906.00,5.00
82,BlueBull99,9905.00,5.00
83,Lukzinn11,9905.00,5.00
84,Tchosenone,9663.00,5.00
85,x 3nduranc3 x,9596.00,5.00
86,zaozao36,9574.00,5.00
87,Kittyhaha,9541.00,5.00
88,NeverrB,9479.00,5.00
89,Yeicoly,9399.00,5.00
90,Joker_86,9355.00,5.00
91,shenky95,9335.00,5.00
92,Somesaylove,9233.00,5.00
93,Luckyting-,9231.00,5.00
94,XingZhe Sun,9220.00,5.00
95,dfdsg,9154.00,5.00
96,Kashier_poker,9127.00,5.00
97,Sempre_nuts,9047.00,5.00
98,Franky4fingerz,9032.00,5.00
99,caigou6,8967.00,5.00
100,yuzhe1122,8961.00,5.00
101,locphat79,8938.00,5.00
102,Gingues,8833.00,5.00
103,mingyuan,8757.00,5.00
104,BobBuster,8724.00,5.00
105,hclespower,8696.00,5.00
106,SexyPam,8580.00,5.00
107,P1164-3764,8465.00,5.00
108,j1aCenN,8431.00,5.00
109,mrkapec,8390.00,5.00
110,WoWulam,8343.00,5.00
111,Bluff Wizard,8341.00,5.00
112,Gabriel0518,8318.00,5.00
113,DisciplineC,8204.00,5.00
114,Wzy2020,8185.00,5.00
115,Opisbad,8175.00,5.00
116,Enjoy-tb-cb,8159.00,5.00
117,sunyi321,8035.00,5.00
118,wdtrader,8019.00,5.00
119,MR N0BODY,8016.00,5.00
120,nm1kcp4amu3ah7m,7981.00,5.00
121,TALACOWA,7974.00,5.00
122,zenus777,7861.00,5.00
123,77REN77,7846.00,5.00
124,natalia69,7811.00,5.00
125,Xenogears777,7775.00,5.00
126,Tom Beatrice,7665.00,5.00
127,happydayz987,7619.00,5.00
128,Nicolas Cooper,7593.00,5.00
129,Coldweather__,7582.00,5.00
130,Valleryy,7535.00,5.00
131,sharenbuzayan,7530.00,5.00
132,Kalthorr,7524.00,5.00
133,MIAWU,7437.00,5.00
134,xy111,7420.00,5.00
135,Lutwig,7358.00,5.00
136,lan-fish,7344.00,5.00
137,Lmss14,7341.00,5.00
138,FaBC,7337.00,5.00
139,donyanng,7313.00,5.00
140,foxnic7777,7224.00,5.00
141,cmole,7205.00,5.00
142,Isgood_poker,7189.00,5.00
143,Napoleon Bona,7171.00,5.00
144,Jiu Shu,7128.00,5.00
145,fishhhhhh2025,7098.00,5.00
146,izft,7093.00,5.00
147,li-hua,7049.00,5.00
148,lucky0617,7006.00,5.00
149,fiphti---fiphti,6985.00,5.00
150,Moromoroo,6967.00,5.00
151,WannaMforAL,6965.00,5.00
152,hsrf,6922.00,5.00
153,EDUARDOAZ,6914.00,5.00
155,Wei_Ks918,6903.00,5.00
156,ananananana,6877.00,5.00
157,NotNotice,6875.00,5.00
158,jiuer_ta,6856.00,5.00
159,Caikoonce,6847.00,5.00
160,LuckysUn,6828.00,5.00
161,mm1843623,6818.00,5.00
162,Richard1013,6762.00,5.00
163,w2nctb,6717.00,5.00
164,zymazyzyxx,6643.00,5.00
165,Gto tiger,6635.00,5.00
166,Nhrl1979,6623.00,5.00
167,BLA0W,6621.00,5.00
168,shisanpin,6566.00,5.00
169,natgame,6508.00,5.00
170,Harden13,6502.00,5.00
171,Alone1,6476.00,5.00
172,kakaka110,6458.00,5.00
173,Odin1Eye,6454.00,5.00
174,RSXR,6447.00,5.00
175,Tng-xiaoqi,6403.00,5.00
176,j83s86a15a18,6396.00,5.00
177,fffaaannn,6367.00,5.00
178,cantlosesor,6303.00,5.00
179,JoboOtsoo,6261.00,5.00
180,Luoda16,6200.00,5.00
181,AshlynnB,6196.00,4.00
182,Dupogrzmot,6186.00,4.00
183,Walalalallall,6169.00,4.00
184,Big chicken 666,6154.00,4.00
185,PEHAT13,6146.00,4.00
