Rank,Nickname,Points,Prize
1,MikaPaasonen,7221.00,120.00
2,Nightmare899,6865.50,100.00
3,LXHY0058,6139.50,80.00
4,yar_stein,5643.00,65.00
5,MingTao 2026,5279.00,50.00
6,miracle49,4698.50,40.00
7,RazvanTT90,3644.00,35.00
8,fishbear2025,3524.00,30.00
9,Atrue0,3451.50,25.00
10,igerdust nucmas,3339.00,20.00
11,Kon Kalma,3256.00,15.00
12,Ara66,3104.00,14.00
13,proFuriouS50,3001.00,13.00
14,ArtPapazyan,2891.00,12.00
15,supermmcc,2782.50,11.00
16,Obee Zew,2686.00,11.00
17,lelegao,2539.00,10.00
18,yayalailo,2447.50,10.00
19,mffff333,2413.50,9.00
20,mrzgp,2335.00,9.00
21,xiaobangbang,2329.50,8.00
22,cccccchh,2256.00,8.00
23,Roly Poly,2068.00,8.00
24,EV_Burn3r,2048.00,7.00
25,Beblebabla,2013.00,7.00
26,ENEMC15,2008.50,7.00
27,tres-deuce,1978.00,7.00
28,2andahalfmen777,1942.00,7.00
29,ro2hok,1899.00,6.00
30,Nikolaikos63,1879.00,6.00
31,Hateful_8th,1849.00,6.00
32,mich_bjukenon,1767.00,6.00
33,Violet@,1756.00,6.00
34,TTTgogogo,1726.00,6.00
35,pabztw,1691.00,6.00
36,willo777,1663.00,5.00
37,Vemis,1619.00,5.00
38,Makymaky,1607.50,5.00
39,Dr_ Fish,1569.50,5.00
40,SrWolpo,1536.00,5.00
41,Vivianzzz,1492.00,4.00
42,lucasino21,1445.00,4.00
43,Ahw000,1423.00,4.00
44,GGXiaoXiaMi,1418.00,4.00
45,bryndendeng,1386.50,4.00
46,Mr-Eugenius,1367.00,4.00
47,DRG83,1354.00,4.00
48,Ping_Tian,1343.50,4.00
49,Bai Xiaochun,1339.00,4.00
50,Morning Calm,1327.00,4.00
51,N0tengoldea,1326.00,4.00
52,perpenpen,1324.00,4.00
53,Ridikulus,1320.00,4.00
54,streambreeze99J,1320.00,4.00
55,QNMB999,1315.50,4.00
56,DJdkll,1314.00,4.00
57,M1ckey1616,1273.00,4.00
58,goodlunky,1270.00,4.00
59,WHWF,1250.00,4.00
60,WEIHAO6,1194.00,4.00
61,Nikovich11,1190.00,3.00
62,baby0320,1187.00,3.00
63,nemoim,1170.00,3.00
64,GG_Albert,1155.00,3.00
65,EdMental,1147.00,3.00
66,DY0729,1102.00,3.00
67,Texan55,1087.50,3.00
68,BrayOoo,1083.00,3.00
69,YouTube Xiao Yu,1079.00,3.00
70,DDXQ777,1078.00,3.00
71,mrzjp,1066.50,3.00
72,Narkom_P,1065.00,3.00
73,jiaodashengnan,1060.00,3.00
74,Fedkriv1,1054.00,3.00
75,Lucky-GJ,1045.00,3.00
76,T_rex!!M,1033.50,3.00
77,BlindingLight,1027.00,3.00
78,Whereas,1024.00,3.00
79,samgwan,1020.00,3.00
80,wtfafknoob,1017.00,3.00
81,Gin777,1015.00,3.00
82,Bibz86,1009.00,3.00
83,CHHH777,1007.00,3.00
84,GRGGBB,1005.00,3.00
85,josephchris,999.00,3.00
86,Chalong Miracle,997.00,3.00
87,Mike-Wazowski,995.00,3.00
88,DuexSeven,994.50,3.00
89,pacoryan,991.00,3.00
90,lkjhgfdsazxcvbn,976.00,3.00
91,sixi0077,963.00,2.50
92,Nobody8888,961.00,2.50
93,XJY778,952.50,2.50
94,mikison200,934.00,2.50
95,Destiny1999,931.00,2.50
96,MrManok,931.00,2.50
97,JustBe88,923.50,2.50
98,adsad111,914.00,2.50
99,SmOLL10,907.00,2.50
100,sloopje,904.00,2.50
