Rank,Nickname,Points,Prize
1,Yashilagggou,2778.50,25.00
2,buyujihua,2658.00,21.00
3,RAGE-,2474.50,18.00
4,MonsterPlanet,1827.00,15.00
5,sloan3,1822.50,13.00
6,Jacky Tom,1436.00,11.00
7,forty1,1429.00,9.00
8,EvGeniy01,1247.00,8.00
9,ShitAgain,1217.50,7.00
10,BIG-BIG-luck,1192.50,6.00
11,Legenda-One,1192.00,5.00
12,nvwu,1178.00,4.50
13,zhengwendan,1143.50,4.00
14,SystemShock,1062.00,3.50
15,ohhhi,1055.50,3.50
16,Rystyt,1053.00,3.00
17,ArtsadA,967.00,3.00
18,1200kg,952.00,2.50
19,KolyaGG,894.00,2.50
20,mauchien92,887.00,2.50
21,EYULAILE,866.00,2.50
22,puteez,829.00,2.50
23,Gin6gg,816.50,2.00
24,Bali2020,816.00,2.00
25,Unsurpassed,788.00,2.00
26,EVGENY1104,774.00,1.80
27,teng_fly,771.00,1.80
28,Grodgar,768.50,1.80
29,Givemeset,761.50,1.60
30,N8LOVE1111,758.00,1.60
31,Leo2024,734.50,1.60
32,fektivno007,720.00,1.40
33,XDY01,708.00,1.40
34,zalet,707.00,1.40
35,Sima13,694.00,1.40
36,Val888,658.00,1.40
37,KosVik4656,653.00,1.20
38,need some luck,642.00,1.20
39,Soldier9,641.00,1.20
40,feifei69,638.00,1.20
41,Outofpage,638.00,1.00
42,ztzl,634.00,1.00
43,zaj11,608.00,1.00
44,HunRaptor22,607.50,1.00
45,Shem111,605.00,1.00
46,FiLTHy RICH,602.50,1.00
47,luck2088,600.00,1.00
48,Us3Y0urBr41n!,580.00,1.00
49,canesomeone,560.00,1.00
50,flash2026,553.50,1.00
51,timliu1988,552.00,0.80
52,Bigfish6689,538.00,0.80
53,mengmeiyi,531.00,0.80
54,zyt668899,528.50,0.80
55,A--jun,519.00,0.80
56,Jefe_,515.00,0.80
57,HDV1905,506.50,0.80
58,Nazarii19,502.00,0.80
59,pennyoo,496.50,0.80
60,fangpingxintai1,495.00,0.80
61,Boltazar,488.00,0.60
62,Alexza,476.00,0.60
63,youshaLLnotpas,474.00,0.60
64,JohnyVl,470.00,0.60
65,JohnWADA8,467.50,0.60
66,monstr21,467.00,0.60
67,luckystar156,463.50,0.60
68,littlebubu666,462.00,0.60
69,xiaofei555,460.00,0.60
70,hunkoufanchi,452.50,0.60
71,storm_winner,452.00,0.60
72,TiagodRM,450.00,0.60
73,alligatore19,449.00,0.60
74,Scarlet,446.00,0.60
75,Aglbby,446.00,0.60
76,binan,445.00,0.60
77,sbot,444.00,0.60
78,MrMonking,439.00,0.60
79,Atom SPR,435.00,0.60
80,rvrfx,435.00,0.60
81,Indigocbo,434.00,0.40
82,joker1296,431.00,0.40
83,viktor998,430.00,0.40
84,QYZQ,426.00,0.40
85,GrodnoBilliards,420.00,0.40
86,P@X M@N,415.00,0.40
87,dragon7189a,414.00,0.40
88,520xunchanglu,411.00,0.40
89,hhgdts,409.00,0.40
90,samnishinin,398.50,0.40
91,poleggol87,398.00,0.40
92,Bizimsali2,398.00,0.40
93,fengyu2077,397.00,0.40
94,PolloLoco06,397.00,0.40
95,Otitoki,391.00,0.40
96,zhanggaoxing,388.50,0.40
97,Lion419,388.00,0.40
98,AAKKQQDog,386.00,0.40
99,Satori_,385.00,0.40
100,Nwtr24,384.00,0.40
101,asdzxc124,382.00,0.30
102,aLeXe!90,378.00,0.30
103,alvlku,376.00,0.30
104,leoggpoker,376.00,0.30
105,JACK DERUZHENKO,375.00,0.30
106,Amilliondollars,373.00,0.30
107,DayOneToday,372.00,0.30
108,NicknameMaster,367.00,0.30
109,Xldongggwin,365.00,0.30
110,vivakorsar,362.00,0.30
111,HAJIME_SAITO,357.00,0.30
112,trto,348.00,0.30
113,Trendelka,347.00,0.30
114,starsisbetter,347.00,0.30
115,TOSHIIK190,346.00,0.30
116,dajjj8,345.50,0.30
117,El Baque,345.00,0.30
118,1patience,344.00,0.30
119,Luckylady@,343.50,0.30
120,SU777,342.00,0.30
121,velne,341.00,0.20
122,turron503,340.00,0.20
123,avramia1,338.50,0.20
124,BuddhiLW,336.00,0.20
125,psq8,334.00,0.20
126,tit 5,329.00,0.20
127,MENHOMORALES,328.00,0.20
128,piriapolito,327.50,0.20
129,POleksa,324.00,0.20
130,skjo8468,324.00,0.20
131,SuperYyyyy,322.50,0.20
132,xcvo,321.00,0.20
133,Calster,320.00,0.20
134,matrahuka89,320.00,0.20
135,Tequilajazzz,316.00,0.20
136,La Ghigliottina,314.00,0.20
137,hooly6887,311.50,0.20
138,moosheeca,306.00,0.20
139,BluffersGame,302.00,0.20
140,addfish@TCL,298.00,0.20
141,Z_E_B997,296.00,0.20
142,OOOOOOOOOOOOO,295.00,0.20
143,m@cter,295.00,0.20
144,Lewis Bog,294.50,0.20
145,jet77777,293.50,0.20
146,Poiuy0883,293.00,0.20
147,kristian7,291.00,0.20
148,Linwst,290.50,0.20
149,Andriotti,290.50,0.20
150,ALL-INA89,288.00,0.20
