Rank,Nickname,Points,Prize
1,yar_stein,7354.00,120.00
2,Alichka4444,5981.00,100.00
3,DrGener,5713.00,80.00
4,MingTao 2026,5012.00,65.00
5,Blazar421,4521.00,50.00
6,Barbarian_Relic,4094.00,40.00
7,Serhii Marchuk,3869.00,35.00
8,Beblebabla,3853.00,30.00
9,mffff333,3789.00,25.00
10,Javepoker,3628.50,20.00
11,MrManok,3056.00,15.00
12,MKP [Ginta],2955.00,14.00
13,Chr1sl00ng,2762.50,13.00
14,Queendeppy,2632.00,12.00
15,ggbao11,2574.50,11.00
16,TTTgogogo,2529.00,11.00
17,miracle49,2451.50,10.00
18,Attentiona,2353.00,10.00
19,emgoldex21,2288.00,9.00
20,VP34,2265.00,9.00
21,KoosWerkloos,2153.00,8.00
22,proFuriouS50,2106.00,8.00
23,WEIHAO6,2090.00,8.00
24,BrayOoo,2054.50,7.00
25,DanielNegrean,2018.00,7.00
26,ololopush,1916.00,7.00
27,Thomas2100,1819.00,7.00
28,getgoosebumps,1811.00,7.00
29,leveleleven!,1768.00,6.00
30,J0nZa,1760.00,6.00
31,willo777,1744.00,6.00
32,Shanwey,1730.00,6.00
33,EV_Burn3r,1726.00,6.00
34,Tragedienne_,1714.00,6.00
35,KamiennaWyspa,1662.00,6.00
36,bluffer111,1654.00,5.00
37,chihuoghvho,1615.50,5.00
38,hash1270,1614.50,5.00
39,macjp,1561.00,5.00
40,DY0729,1532.50,5.00
41,_mastodont_,1514.50,4.00
42,yong19830806,1508.50,4.00
43,LICHARDO,1472.00,4.00
44,M1ckey1616,1441.00,4.00
45,Kasheshan,1428.00,4.00
46,ro2hok,1346.00,4.00
47,lucasino21,1317.00,4.00
48,Mangtou14,1312.00,4.00
49,RustCcohle,1235.00,4.00
50,1baNoTakaramono,1208.00,4.00
51,jiaodashengnan,1207.50,4.00
52,nestorbloque,1191.00,4.00
53,Aaiio,1166.50,4.00
54,Nobody8888,1151.00,4.00
55,2andahalfmen777,1140.00,4.00
56,Roma1111,1140.00,4.00
57,Morning Calm,1116.00,4.00
58,XD789,1076.00,4.00
59,valyont09,1067.50,4.00
60,earlyDavid,1063.00,4.00
61,MaxWin go allin,1051.00,3.00
62,Floccinaun,1034.50,3.00
63,EVILIO,1021.00,3.00
64,GaliusPoker,1019.00,3.00
65,Max Idiot Vibe,1011.00,3.00
66,HHHunter39,1002.00,3.00
67,N0tengoldea,991.00,3.00
68,Shove4Fun,965.50,3.00
69,Back2Poker,933.00,3.00
70,Ara66,909.50,3.00
71,maojiumao,894.00,3.00
72,adsad111,885.50,3.00
73,Wifecoach,878.00,3.00
74,aodebiao9,875.00,3.00
75,robust0404,870.00,3.00
76,CharlyPro,841.00,3.00
77,JOKICH,831.00,3.00
78,SamiusMester,825.00,3.00
79,Kkrimz67,815.00,3.00
80,OYBOY374,814.00,3.00
81,SrWolpo,813.00,3.00
82,AxeSea,809.00,3.00
83,scheffe64,798.50,3.00
84,Aphex Twin,794.00,3.00
85,ArtPapazyan,793.50,3.00
86,Ridikulus,793.00,3.00
87,SattvaMind,789.00,3.00
88,Stinkfisch,774.00,3.00
89,Dr_ Fish,769.00,3.00
90,Ferconn_,767.00,3.00
91,nemoim,758.00,2.50
92,freekingall,756.00,2.50
93,hj545365,733.50,2.50
94,mich_bjukenon,727.00,2.50
95,victoriaman,726.00,2.50
96,lukou111,726.00,2.50
97,xyk-cls,723.00,2.50
98,xiaohuangmao123,723.00,2.50
99,DDXQ777,714.00,2.50
100,honminh,713.00,2.50
