Rank,Nickname,Points,Prize
1,Mubaraker,53260.00,30.00
2,PSevd0n1m [N1],52415.00,25.00
3,ChillikAut,47370.00,21.00
4,Asthma88,45578.00,21.00
5,Dankwin,44582.00,17.00
6,Scuffed,33337.00,17.00
7,xinlu07113,32422.00,13.00
8,Imbero,32265.00,13.00
9,Galtran,32140.00,10.00
10,bestyoba,30789.00,10.00
11,NickiLuck,27213.00,7.00
12,G_T_J_T,26969.00,5.00
13,lemon7uice,26494.00,5.00
14,JustOneTime!,26210.00,5.00
15,Master2055,25508.00,5.00
16,luckymonkey23,25411.00,4.50
17,Hau_Banker,24606.00,4.50
18,Storming09,21959.00,4.00
19,heimdal33,21688.00,4.00
20,MC_BAD,21558.00,4.00
21,Jeazzeman,21519.00,3.50
22,A P T X 4 8 6 9,21198.00,3.50
23,ol0wtp,21066.00,3.50
24,nianyueri,20932.00,3.50
25,2k26,20438.00,3.00
26,Amboon,20139.00,3.00
27,Jsatoooo,20107.00,3.00
28,BornToBluff,20079.00,3.00
29,A[Wu],19910.00,3.00
30,Spasm,19400.00,2.50
31,Rake4high,18342.00,2.50
32,Fishka2510,18057.00,2.50
33,ei_wis,17702.00,2.50
34,FISH55,17637.00,2.50
35,simayu,17438.00,2.50
36,SixthSpeed,17265.00,2.00
37,lay222_,17036.00,2.00
38,Pepe Unchained,16953.00,2.00
39,ggsbcom,16945.00,2.00
40,CR3ATIVE,16739.00,2.00
41,Neebs,16625.00,2.00
42,D0n3,16466.00,2.00
43,fols203,16249.00,2.00
44,Benny Machete,16137.00,2.00
45,OnlyLuckyWinner,15876.00,2.00
46,Che crazy,15843.00,2.00
47,Sharhan3795,15594.00,2.00
48,Yuzhak,15388.00,2.00
49,I_ag!N_T[]0n,15325.00,2.00
50,Natsumeo3o,15260.00,2.00
51,Sefren-,15124.00,2.00
52,Fedor_Gar,15109.00,2.00
53,HZQ88,15059.00,2.00
54,pzyyyyy,14992.00,2.00
55,Whoops1e,14891.00,2.00
56,skylvren,14782.00,2.00
57,Vavan_NL,14763.00,2.00
58,BAGANONOO,14536.00,2.00
59,Ls59,14346.00,2.00
60,Move On Up,14203.00,2.00
61,lkhjstcvb,14162.00,1.80
62,CUinDNextLyfe,13940.00,1.80
63,ag3nt911,13896.00,1.80
64,kolea,13834.00,1.80
65,Minrra,13776.00,1.80
66,alwaysnats7,13712.00,1.80
67,QuietAce-,13676.00,1.80
68,WrathOfThanos,13620.00,1.80
69,PokerPlayer_777,13519.00,1.80
70,Fulg,13159.00,1.80
71,TechnoMechanics,13054.00,1.50
72,JAAC,12955.00,1.50
73,Dolomedesraptor,12683.00,1.50
74,moonlight2021,12403.00,1.50
75,Gs626,12265.00,1.50
76,vekt0r,12240.00,1.50
77,Casperdino,12163.00,1.50
78,Unluckyhero,12016.00,1.50
79,Scarlet,12002.00,1.50
80,Emelya_,11904.00,1.50
81,Amor fati-,11896.00,1.40
82,POPPOPOPO,11706.00,1.40
83,8iMiGH7Y8LUCK8,11693.00,1.40
84,tcgg520,11655.00,1.40
85,GotnoIDA,11565.00,1.40
86,nidzeks1312,11554.00,1.40
87,alcohzzz,11467.00,1.40
88,TonyTsai,11397.00,1.40
89,Chielos,11359.00,1.40
90,The Strat,11262.00,1.40
91,Snoopy3747,11220.00,1.40
92,orobico,11183.00,1.40
93,ThomasWillem,11123.00,1.40
94,przz,11067.00,1.40
95,sobeits,10868.00,1.40
96,eighth,10865.00,1.40
97,Carlos Cavieres,10860.00,1.40
98,nimitawa,10841.00,1.40
99,M kikava,10791.00,1.40
100,Yu_Den,10784.00,1.40
101,vitos_z,10766.00,1.20
102,glorytohk,10618.00,1.20
103,tecnobareyrider,10543.00,1.20
104,no@ri,10390.00,1.20
105,Dre008,10380.00,1.20
106,Vendrik,10379.00,1.20
107,Paparazzl,10374.00,1.20
108,saha3746,10226.00,1.20
109,LetYouQQ,10223.00,1.20
110,FuLuShou poker,10169.00,1.20
111,foge,10130.00,1.20
112,dieforwin19,10090.00,1.20
113,KK kingk,10085.00,1.20
114,Konetblizok,10065.00,1.20
115,Otb_redbaron2,9987.00,1.20
116,mary_htj,9938.00,1.20
117,jimmy1012,9922.00,1.20
118,C-BravoAK,9901.00,1.20
119,Klinovich,9887.00,1.20
120,BolshoyPush,9878.00,1.20
121,Mchis,9852.00,1.10
122,YoungsBaby,9808.00,1.10
123,Senk,9775.00,1.10
124,Peace11,9735.00,1.10
125,guratp,9704.00,1.10
126,bksz,9643.00,1.10
127,S _ e _ e _ C _,9573.00,1.10
128,matilda4i4a,9550.00,1.10
129,Sangre _Yoven,9496.00,1.10
130,Elias00,9491.00,1.10
131,SasuCajbeC,9479.00,1.10
132,LEO27!,9454.00,1.10
133,SirenaDozor,9449.00,1.10
134,BBJWINNER,9428.00,1.10
135,adam1xavier,9426.00,1.10
136,StresszPingvin,9424.00,1.10
137,CN NO1,9376.00,1.10
138,Seductiveshadow,9302.00,1.10
139,Simon_Thug,9282.00,1.10
140,moroz056,9236.00,1.10
141,Drax12,9195.00,1.00
142,bad_russian36,9083.00,1.00
143,GunNiiMB,9056.00,1.00
144,BHN108,8983.00,1.00
145,Masenist,8974.00,1.00
146,Rushbang,8946.00,1.00
147,NetAgent1,8933.00,1.00
148,Kin9_,8880.00,1.00
149,CarvaGrease,8786.00,1.00
150,all_donkey,8704.00,1.00
151,JOHWA,8685.00,0.90
152,KacKupa,8632.00,0.90
153,f3ng shui,8574.00,0.90
154,Glup_,8573.00,0.90
155,Elenasidorenko,8571.00,0.90
156,Rusakov Andrey,8461.00,0.90
157,BigDen1991,8397.00,0.90
158,antopok,8397.00,0.90
159,MoonBallad,8389.00,0.90
160,IBabushkaI,8356.00,0.90
161,KnightOchoa,8346.00,0.90
162,xuk123,8278.00,0.90
163,Lochegy,8204.00,0.90
164,GOR371,8173.00,0.90
165,wyccc6,8141.00,0.90
166,TRN23,8136.00,0.90
167,WinterOMG,8121.00,0.90
168,makaronii,8089.00,0.90
169,monkincity,8082.00,0.90
170,TerenceDrill,8078.00,0.90
171,Lifebuoyyy,8067.00,0.80
172,ty4umoney,8010.00,0.80
173,LOKI555,7995.00,0.80
174,Whale0506,7990.00,0.80
175,Fiaryfaii,7978.00,0.80
176,72oBestHand,7969.00,0.80
177,etherusko,7952.00,0.80
178,MoneyformeBr,7949.00,0.80
179,KLVEN,7913.00,0.80
180,AKagi9,7873.00,0.80
181,Paid Attempt,7871.00,0.80
182,allin_brother,7827.00,0.80
183,BezPereezdovPLS,7805.00,0.80
184,Mazzilla_87,7755.00,0.80
185,AJ valentiner,7730.00,0.80
186,SmokesAAy,7691.00,0.80
187,Def_me_PLZ,7616.00,0.80
188,rAxt24,7611.00,0.80
189,diablo1981,7545.00,0.80
190,Craigyb22,7503.00,0.80
191,King_of_all,7477.00,0.70
192,NalreY,7465.00,0.70
193,RogaliK77,7458.00,0.70
194,Par1sH1lton,7423.00,0.70
195,TruthNeverLies,7421.00,0.70
196,MurrMuration,7418.00,0.70
197,Lucky_world,7389.00,0.70
198,lucry15,7359.00,0.70
199,Daniel Sandoval,7341.00,0.70
200,ParAleX!,7323.00,0.70
201,DBXGG,7306.00,0.70
202,Ling00003,7300.00,0.70
203,slt4,7263.00,0.70
204,niufacai,7253.00,0.70
205,yzlZz,7230.00,0.70
206,Mishanyakrsn,7223.00,0.70
207,ZRBS,7216.00,0.70
208,lll Do it III,7150.00,0.70
209,taslyTj,7116.00,0.70
210,MatuzapokerBR,7093.00,0.70
211,Andypav,7084.00,0.70
212,Dagoth,7025.00,0.70
213,0xAT,6988.00,0.70
214,paradoksja,6983.00,0.70
215,kkbl,6970.00,0.70
216,henrynguyen4365,6965.00,0.70
217,LinusWho,6945.00,0.70
218,design3r,6942.00,0.70
219,Grinding Nemo!,6893.00,0.70
220,Malyshev Sergey,6854.00,0.70
221,Yacumama,6838.00,0.70
222,DigiDun21,6825.00,0.70
223,Ury_Gb,6820.00,0.70
224,leileibb,6814.00,0.70
225,KAPKAN108,6808.00,0.70
226,ChinaGongFuBoy,6793.00,0.70
227,Nathawer,6792.00,0.70
228,Alena K-a___13,6784.00,0.70
229,action_man,6783.00,0.70
230,kus-lapka,6769.00,0.70
