Rank,Nickname,Points,Prize
1,vena001,45465.00,250.00
2,naterne,37777.00,180.00
3,EVA92,35402.00,160.00
4,mengderder,33145.00,150.00
5,Gabriel Leclerc,27388.00,140.00
6,OLOLOFREE,27044.00,140.00
7,Medoedd,26961.00,130.00
8,super00998178,26219.00,130.00
9,jjjkaaa,25944.00,120.00
10,MoreLuckyPlease,23262.00,120.00
11,hi1lpoker,22836.00,100.00
12,ERICOKE,19731.00,80.00
13,EP0nGe,19314.00,70.00
14,kapitoshka,18990.00,60.00
15,Lalalandand,18423.00,50.00
16,enjoy4putts,17520.00,40.00
17,LaParpinade,16033.00,30.00
18,lifish1,14822.00,30.00
19,xiaozongzibaba,14532.00,30.00
20,MateeCocido,14380.00,30.00
21,onlybluff_river,14321.00,30.00
22,Ganodermallz,14272.00,30.00
23,LosingDay,14228.00,30.00
24,Kinsss,13721.00,30.00
25,zengguof1,13504.00,30.00
26,bigflippa,13443.00,30.00
27,HuinyYC,13374.00,20.00
28,sheriffff,13308.00,20.00
29,ikunpoker,13033.00,20.00
30,akikajoy,12813.00,20.00
31,Fritzie,12717.00,20.00
32,Nuyooah,11713.00,20.00
33,Sunflower seeds,11676.00,20.00
34,lovelygame,11665.00,20.00
35,Ldfjmxs,11644.00,20.00
36,gromSLO,11627.00,20.00
37,agrippa94,11580.00,20.00
38,knife2017,11576.00,20.00
39,SaQuu,11234.00,20.00
40,Baskins,11201.00,20.00
41,Lopatka,11057.00,15.00
42,s1rozhAA,10792.00,15.00
43,UP4YMYCOC41N!,10694.00,15.00
44,piao-A,10478.00,15.00
45,jb3333,10399.00,15.00
46,mengzhichu999,10396.00,15.00
47,Dave Mustaine,10380.00,15.00
48,look2026,10369.00,15.00
49,Daniel Walsh,10187.00,15.00
50,Halmat911,10013.00,15.00
51,o6F2nZ0vQ,9880.00,15.00
52,Smithysmiler,9812.00,15.00
53,whoismyfishh,9746.00,15.00
54,sora2,9659.00,15.00
55,XIANGYA053,9641.00,15.00
56,LLLL632,9580.00,15.00
57,gogo-tang,9580.00,15.00
58,YiPoker88,9542.00,15.00
59,GoodOldMan,9397.00,15.00
60,Bommi,9350.00,15.00
61,bAlleskAnk,9305.00,15.00
62,aliasx177,9304.00,15.00
63,Coold,9122.00,15.00
64,Cualy,9113.00,15.00
65,zitrone radler,9093.00,15.00
66,Treynouar,9045.00,15.00
67,Sinkingg,8913.00,15.00
68,Chopper50,8867.00,15.00
69,aleksandrpav1,8795.00,15.00
70,Razvan Dorneanu,8703.00,15.00
71,s1tkys,8694.00,15.00
72,LOGOSS,8689.00,15.00
73,Endl3ssBattl3,8574.00,15.00
74,Huh Huh!,8493.00,15.00
75,Bafomx,8444.00,15.00
76,china-fishy,8411.00,15.00
77,Toufu12327,8383.00,15.00
78,Maximys85,8289.00,15.00
79,LuckyS777,8109.00,15.00
80,Pandora2710,8106.00,15.00
81,TakeMyNuts,8084.00,15.00
82,vkdsufmlpA,8042.00,15.00
83,Soul1984,7857.00,15.00
84,LootNRun,7782.00,15.00
85,pMpLT,7552.00,15.00
86,Grand Bleu,7502.00,15.00
87,Anabasis,7466.00,15.00
88,moldyinbzgb,7450.00,15.00
89,Tikiti,7338.00,15.00
90,cool2026,7335.00,15.00
91,Carol98,7300.00,15.00
92,4-OT,7156.00,15.00
93,b49f28a,7132.00,15.00
94,CatEngineer,7028.00,15.00
95,Ranofix1408,6926.00,15.00
96,Rey de bastos,6904.00,15.00
97,Jushin,6840.00,15.00
98,ShenC_!,6822.00,15.00
99,Yaseen99,6808.00,15.00
100,ASKIIIING,6776.00,15.00
101,KarinRitter77,6763.00,15.00
102,AAfound me,6746.00,15.00
103,tvandes27,6699.00,15.00
104,Feenghuolunn,6489.00,15.00
105,TheRaging,6224.00,15.00
106,OmgItsLuigi,6193.00,15.00
107,Kaprikok,6164.00,15.00
108,kellynina,6062.00,15.00
109,pingfandeshijie,5966.00,15.00
110,Maxim_Valentik,5928.00,15.00
111,Haoyang Lu,5901.00,15.00
112,Isangamo,5858.00,15.00
113,fishbear2025,5828.00,15.00
114,TTwo999,5776.00,15.00
115,Sandro Pinasco,5736.00,15.00
116,DUDURRRAK47,5709.00,15.00
117,Seanyayaying,5675.00,15.00
118,JetTalonnn,5628.00,15.00
119,MambaMentality!,5611.00,15.00
120,Mrhiphop07,5594.00,15.00
121,SchrodingerCats,5593.00,15.00
122,KIamBOTK,5559.00,15.00
123,Biana Zana,5546.00,15.00
124,Howardern,5519.00,15.00
125,Look1nMyEyes,5498.00,15.00
126,Alanngo,5462.00,15.00
127,Akunflower,5458.00,15.00
128,Grindoutsis,5454.00,15.00
129,mammmamia,5453.00,15.00
130,Gfvnhdsh,5413.00,15.00
131,DanGs,5397.00,15.00
132,spewking69,5386.00,15.00
133,China He hao,5383.00,15.00
134,Poker-Dream,5370.00,15.00
135,makoto1203,5255.00,15.00
136,AntonioA,5240.00,15.00
