Rank,Nickname,Points,Prize
1,Carantin1,45515.00,30.00
2,Rake4high,44494.00,25.00
3,pocketjames,40182.00,21.00
4,allin_brother,36079.00,21.00
5,Liamjames,34250.00,17.00
6,alwaysnats7,32946.00,17.00
7,CKA3KA!,32334.00,13.00
8,Talupoeg,32256.00,13.00
9,Galtran,32207.00,10.00
10,SixthSpeed,30470.00,10.00
11,Klinovich,29549.00,7.00
12,Sleep_Tight94,29223.00,5.00
13,jingjing520,23930.00,5.00
14,Papa Karl,23620.00,5.00
15,Beleuta Alin,23619.00,5.00
16,PHASHA,22355.00,4.50
17,meps16,21471.00,4.50
18,Thinh 023,21061.00,4.00
19,Perchugan,21023.00,4.00
20,haiying,20935.00,4.00
21,baanger,20387.00,3.50
22,KLVEN,20220.00,3.50
23,china fei,19706.00,3.50
24,Canis Majori,19680.00,3.50
25,P9980-7665,19365.00,3.00
26,FourKingBell,19192.00,3.00
27,Bakurov,19119.00,3.00
28,Snash1777,19023.00,3.00
29,sweetaon,18493.00,3.00
30,Seductiveshadow,18439.00,2.50
31,PurrfectBluff,18358.00,2.50
32,lkhjstcvb,18230.00,2.50
33,Noctar,18177.00,2.50
34,Alexorloffs,17813.00,2.50
35,Vvhunter,17726.00,2.50
36,RomanV,17588.00,2.00
37,Clerigo,17450.00,2.00
38,AppIe tree,17302.00,2.00
39,simayu,17287.00,2.00
40,MicyEzy,17215.00,2.00
41,Fedor_Gar,16750.00,2.00
42,Lipoker-,16678.00,2.00
43,20cmdajb,16324.00,2.00
44,KaPaCuK1,16302.00,2.00
45,hesoyam0,16098.00,2.00
46,Push72s,15624.00,2.00
47,F1rebolt,15447.00,2.00
48,Jsatoooo,15406.00,2.00
49,XxTOMMY2020xX,15117.00,2.00
50,pkrm,14832.00,2.00
51,nimitawa,14726.00,2.00
52,Jason8444,14615.00,2.00
53,dorrc,14504.00,2.00
54,kenny19901006,14257.00,2.00
55,Adrian!C,13906.00,2.00
56,Mishanyakrsn,13725.00,2.00
57,wealen,13169.00,2.00
58,DARK0604,13138.00,2.00
59,konan16,12928.00,2.00
60,Lehin888,12903.00,2.00
61,Lucas Phan,12820.00,1.80
62,action_kj,12786.00,1.80
63,Grrrrry,12541.00,1.80
64,waydream,12367.00,1.80
65,Flower !,12337.00,1.80
66,Bra2,12261.00,1.80
67,JUEGAJR17,12253.00,1.80
68,Par1sH1lton,12217.00,1.80
69,eddepkr,12133.00,1.80
70,pokerlvrr,11963.00,1.80
71,Emelya_,11940.00,1.50
72,spiderkiker,11891.00,1.50
73,ele mesmo,11824.00,1.50
74,Scarlet,11743.00,1.50
75,Svippp,11675.00,1.50
76,sempreeonline,11658.00,1.50
77,makaronii,11633.00,1.50
78,stilldream1n,11616.00,1.50
79,Vasus,11613.00,1.50
80,Paullus,11576.00,1.50
81,GGshechka,11480.00,1.40
82,Awaset-Ippon,11400.00,1.40
83,richdearler,11249.00,1.40
84,ugrenyovo,11227.00,1.40
85,ZZZK17,11132.00,1.40
86,deucewayne,11006.00,1.40
87,N0m@d,10968.00,1.40
88,AJ valentiner,10942.00,1.40
89,SKTWFTX,10908.00,1.40
90,JasonDLL,10846.00,1.40
91,POPPOPOPO,10805.00,1.40
92,siuptult,10804.00,1.40
93,7phoenix7,10773.00,1.40
94,GOR371,10749.00,1.40
95,JCiungaru,10684.00,1.40
96,ILROSSI,10684.00,1.40
97,xtocb,10619.00,1.40
98,nionioscyp,10553.00,1.40
99,Sora 2,10552.00,1.40
100,fld09,10463.00,1.40
101,KyciiKo,10410.00,1.20
102,D0n3,10409.00,1.20
103,Fobos113,10308.00,1.20
104,freestyle123,10281.00,1.20
105,Rocio Palermo,10252.00,1.20
106,adam1xavier,10231.00,1.20
107,kentonbb,10231.00,1.20
108,PhillipBrooks,10193.00,1.20
109,arethoz,10150.00,1.20
110,Deficento,10139.00,1.20
111,ralfejs,10108.00,1.20
112,BJAce,10067.00,1.20
113,V Shumilo,10064.00,1.20
114,Thierry2026,10012.00,1.20
115,The Rainmaker,10011.00,1.20
116,rdxo,10006.00,1.20
117,ABCDaaaaa,9991.00,1.20
118,TWGTO,9950.00,1.20
119,LinusWho,9907.00,1.20
120,fols203,9897.00,1.20
121,elchaza3011,9849.00,1.10
122,AlLaV_05,9827.00,1.10
123,Benedict10,9761.00,1.10
124,lijingshabi,9746.00,1.10
125,TonyClifton28,9591.00,1.10
