Rank,Nickname,Points,Prize
1,Michael Weiss,1043.50,1400.00
2,R Gabdullin,802.50,800.00
3,G Kovari,620.00,500.00
4,Gergo Zsiros,595.00,380.00
5,Matjaz Vogrinec,585.00,320.00
6,Joseph Adams,579.00,300.00
7,Gergely Kulcsar,548.00,280.00
8,Naoufel Smires,547.00,280.00
9,Rodrigo Motoki,477.00,260.00
10,H Rodriguez,476.00,240.00
11,PiscoSour,436.00,220.00
12,Gabor Burgony,377.00,220.00
13,Goran Mandic,358.00,200.00
14,imn0tluckbox,321.00,200.00
15,Tomasz Cichocki,318.00,180.00
16,Scott Corbett,318.00,180.00
17,TropicalTilt,300.00,180.00
18,Nyuli Tibor,270.00,160.00
19,Misha Inner,265.00,160.00
20,Beer y GinTonic,261.50,160.00
21,Paul Gregg,260.00,160.00
22,KopjeKoffie,257.00,140.00
23,Robbert Stevens,253.00,140.00
24,Peter Kovacs,252.00,140.00
25,RedLisitsa,247.00,140.00
26,CiuciMima,247.00,140.00
27,Ilia Trusov,229.00,140.00
28,beach2020,226.00,120.00
29,blzbu,219.50,120.00
30,SIR NAPKINS,205.00,120.00
31,Jo Hiratsuka,198.00,120.00
32,lawrabbitt,197.00,100.00
33,luckgzk,183.00,100.00
34,zzzcccc0421,178.00,100.00
35,Will8887,175.00,100.00
36,Nelson Alves,172.00,100.00
37,BTC2030,171.00,100.00
38,cascoonss,166.50,100.00
39,N Evdokimov,150.50,100.00
40,Ben Raven,150.00,100.00
41,Fuzanglong-,141.00,
42,nohot999,141.00,
43,Matthias Ehlers,137.00,
44,superaffa1971,133.00,
45,Robin Lacey,126.00,
46,Feel Galfond,112.00,
47,Uladzimir B,112.00,
48,MmmoXue,110.00,
49,Purechaox,108.00,
50,Istvan Kovacs,107.00,
