Rank,Nickname,Points,Prize
1,RavenZz_,46922.00,150.00
2,Wowie_Zowie,46509.00,110.00
3,Cloudyloubi,34888.00,100.00
4,jsandkl,34079.00,90.00
5,Sarkis Papazyan,32400.00,80.00
6,3xcellentGTO,31932.00,80.00
7,QZX-A@,30402.00,70.00
8,DiosVoluntad,30362.00,70.00
9,CrazyPapillon,30359.00,60.00
10,Blindsight-,29449.00,60.00
11,combat1,28917.00,50.00
12,maybe net,28528.00,40.00
13,Nuyooah,27605.00,30.00
14,johneyc,27037.00,20.00
15,Stepan Solianyk,25900.00,16.00
16,Fritzie,24624.00,16.00
17,G1NT5,23569.00,15.00
18,GG_fisher,21903.00,15.00
19,1ou6,20597.00,15.00
20,onlybluff_river,19842.00,14.00
21,ZJPER,19532.00,14.00
22,AAbanan123,18844.00,14.00
23,Egor1982,18558.00,14.00
24,pokerudusi,18283.00,13.00
25,PIPOCA,17982.00,13.00
26,nlnlobo,17898.00,13.00
27,P0512-4848,17844.00,13.00
28,cappuccinokaka,17329.00,12.00
29,CelineDion,17119.00,12.00
30,fernando6333,16952.00,12.00
31,Adventus,15303.00,12.00
32,VLADIQPRIME,15199.00,12.00
33,IlIlIIlIIlIlIll,15104.00,11.00
34,fourtinyshell,14481.00,11.00
35,jinyugong,14252.00,11.00
36,Michel Well,14224.00,11.00
37,AlwaysFoldss,13400.00,11.00
38,Jianggg,13275.00,10.00
39,Laizytuvas1,13127.00,10.00
40,Quietvariance,13078.00,10.00
41,MrG-ALLIN,13056.00,9.00
42,KbinJP,13007.00,9.00
43,Pachacutec4,12938.00,9.00
44,bluffmachine,12623.00,9.00
45,Kainna,12479.00,9.00
46,GGtai,12377.00,9.00
47,DEVDESETDEVET,11894.00,9.00
48,gyumaro,11605.00,9.00
49,MAciuca,11493.00,9.00
50,Elonone,11489.00,9.00
51,Chessburger,11434.00,9.00
52,XiaofangTongxue,10959.00,9.00
53,Tilt_Nemo,10910.00,9.00
54,LeGi4,10773.00,9.00
55,JnYn92,10627.00,9.00
56,Nathannnn,10613.00,9.00
57,b0oba,10574.00,9.00
58,tvandes27,10525.00,9.00
59,Bule-bule-bule!,10466.00,9.00
60,MLhoslpl,10428.00,9.00
61,AKIPEX,10333.00,9.00
62,Ron007_dan,10322.00,9.00
63,lyncolnn,10282.00,9.00
64,kderling,10264.00,9.00
65,nathyk,10216.00,9.00
66,BLIND RUNNER,10186.00,9.00
67,danu_nah,10079.00,9.00
68,sween2026,10074.00,9.00
69,Masstinha,10059.00,9.00
70,Mmmooo8668,9751.00,9.00
71,BIG-BIG-luck,9746.00,9.00
72,stan2024,9742.00,9.00
73,VIKTAR0000,9730.00,9.00
74,vovabes1987,9671.00,9.00
75,Wego,9634.00,9.00
76,JuannnManJJP,9474.00,9.00
77,whatevvA,9450.00,9.00
78,BN_Victory,9428.00,9.00
79,halvorvl,9231.00,9.00
80,TurboFish,9197.00,9.00
81,Sknerus McKwacz,9081.00,9.00
82,Femto123,9022.00,9.00
83,www568,8942.00,9.00
84,cnmzhapian,8905.00,9.00
85,Sillicon Chrome,8892.00,9.00
86,Alex Alvarado,8875.00,9.00
87,BocaFB,8769.00,9.00
88,ddep3e,8648.00,9.00
89,Micalive,8574.00,9.00
90,DitmeN8BIP,8557.00,9.00
91,SBwpkgg,8527.00,9.00
92,sg5550,8463.00,9.00
93,Neo53,8457.00,9.00
94,Endl3ssBattl3,8410.00,9.00
95,RRSafe,8382.00,9.00
96,PanCan,8330.00,9.00
97,Jackpotfarmer,8312.00,9.00
98,KoreinhaC1,8252.00,9.00
99,Mahoraga,8222.00,9.00
100,Johs-,8189.00,9.00
101,Betelgeuse X,8102.00,9.00
102,wq4d56q1w6dwq1,8082.00,9.00
103,shuffleupagus,7996.00,9.00
104,G loveLiYa,7971.00,9.00
105,xgiovannix,7946.00,9.00
106,Justrelax!,7767.00,9.00
107,tigertiger888,7714.00,9.00
108,EQFAEQR,7707.00,9.00
109,Quatrehuit48,7679.00,9.00
110,playplaygay,7649.00,9.00
111,WxHuangyang,7626.00,9.00
112,ShadowSYG,7519.00,9.00
113,Robbin Jerusal,7508.00,9.00
114,Anthony B,7495.00,9.00
115,BlueBull99,7453.00,9.00
116,Sophiehu,7377.00,9.00
117,POCKETCORGI,7346.00,9.00
118,Misclickking,7342.00,9.00
119,Te88er4ct,7242.00,9.00
120,pyrobtw,7190.00,9.00
121,houguoyu,7146.00,8.00
122,cnlzl,7140.00,8.00
123,breakingGrieven,7079.00,8.00
124,Nomad Adai,7073.00,8.00
125,Nitcall,7069.00,8.00
126,WEIHAO6,7021.00,8.00
127,LouisYT111,7001.00,8.00
128,Scentegg,6973.00,8.00
129,LongKuan,6910.00,8.00
130,shirororo,6872.00,8.00
131,LadderToTop,6809.00,8.00
132,HittndRun,6729.00,8.00
133,buzta,6720.00,8.00
134,JiaJia777,6701.00,8.00
135,Alone1,6687.00,8.00
136,2026HSNM,6664.00,8.00
137,I got nuts,6618.00,8.00
138,Suibianba,6584.00,8.00
139,llllf,6548.00,8.00
140,rebelsuttle,6538.00,8.00
141,itachi00,6537.00,8.00
142,gg2574,6497.00,8.00
143,sheriffff,6476.00,8.00
144,Mr Splash,6431.00,8.00
145,jim2127,6417.00,8.00
146,Callboy2026,6415.00,8.00
147,Look1nMyEyes,6372.00,8.00
148,Nic1988,6341.00,8.00
149,TheDutchRabbit,6294.00,8.00
150,Colourmc55,6252.00,8.00
151,xlpoke,6210.00,8.00
152,Nan77,6209.00,8.00
153,xh999,6205.00,8.00
154,147902435672,6196.00,8.00
155,ZHANG SIYI,6193.00,8.00
156,Godess_Of_Poker,6186.00,8.00
157,yingying888,6179.00,8.00
158,hithand,6176.00,8.00
159,noBluffBR,6133.00,8.00
160,YuanBao Papa,6130.00,8.00
161,Lucky-Lucky,6123.00,8.00
162,Isaias Rocha,6105.00,8.00
163,luckyPositive,6071.00,8.00
164,rankkalaji,6067.00,8.00
165,Diplomacia,6051.00,8.00
166,ForrestGump1,6040.00,8.00
167,MrOreo7,6038.00,8.00
168,Loveandpeace1,6034.00,8.00
169,INIAAAA,5999.00,8.00
170,dzacharas,5997.00,8.00
171,Mentor_,5963.00,8.00
172,DL-Jiang tian,5906.00,8.00
