Rank,Nickname,Points,Prize
1,Rafagorgory,3543.00,200.00
2,tiger@02,3005.00,160.00
3,michtheo,2929.00,130.00
4,Artem Semenichev,2638.00,100.00
5,Troianchik,2416.00,80.00
6,StupidLatte,2119.00,60.00
7,Zvezda,2107.00,50.00
8,cWix10,1804.00,40.00
9,raccoon_lake,1571.00,30.00
10,ZeroEmpathy,1563.00,25.00
11,drgarai,1535.00,25.00
12,de_Dakwerker,1368.00,20.00
13,MaLiNa_00,1295.00,20.00
14,linyiyue520,1257.00,20.00
15,ChangeMyMind,1243.00,20.00
16,successus247,1211.00,15.00
17,PeraKoyote,1192.00,15.00
18,Gadha@04,1185.00,15.00
19,GTOAPPrentice,1129.00,15.00
20,JeeJee888,1089.00,15.00
21,Talent Issues,1077.00,15.00
22,PaduaC,1066.00,15.00
23,Back2theFuture,1049.00,15.00
24,SoldeOut,1041.00,15.00
25,no hair,1027.00,15.00
26,TetrisCulture,912.00,10.00
27,yanemo,886.00,10.00
28,IXI 101,844.00,10.00
29,WiIITheWise,823.00,10.00
30,xxxxV,812.00,10.00
31,0ddsock,806.00,10.00
32,marche_lino,804.00,10.00
33,Mc4Bet,795.00,10.00
34,Medivh1993,763.00,10.00
35,Vlad V,757.00,10.00
36,gfdq,744.00,10.00
37,Mafalda100,741.00,10.00
38,BornToPunt,736.00,10.00
39,Chainvkci,713.00,10.00
40,Rickk Daltonn,708.00,10.00
41,Cosm!co,693.00,10.00
42,FoldinatorX,685.00,10.00
43,chisG94,679.00,10.00
44,Internetive,638.00,10.00
45,KruhJeBuh,628.00,10.00
46,Oskar Eyduk,614.00,10.00
47,DRAKE0THERULER,594.00,10.00
48,TatiShoveAir,588.00,10.00
49,TheCamel,586.00,10.00
50,rightforward,559.00,10.00
51,1MoreTry_,559.00,8.00
52,YuHannah8,553.00,8.00
53,justtwo,525.00,8.00
54,Ajeje Brazorf,524.00,8.00
55,Homer Calls,512.00,8.00
56,Kenny Schaeffer,510.00,8.00
57,zsergo,487.00,8.00
58,Nedostup_92,479.00,8.00
59,skilibilli,464.00,8.00
60,SuperPumper,458.00,8.00
61,WaddlePaw,458.00,8.00
62,TiltedAgain,457.00,8.00
63,FreddyTheFirst,457.00,8.00
64,ElShaddai,456.00,8.00
65,CtrlzCtrlV,455.00,8.00
66,Luzna_guma,454.00,8.00
67,Shakkablaffa,452.00,8.00
68,natiNN,445.00,8.00
69,Thin-Value,433.00,8.00
70,Leilabagi24,417.00,8.00
71,HerCyborg,417.00,8.00
72,Unblocker,416.00,8.00
73,Antonymous,416.00,8.00
74,EV37,413.00,8.00
75,lyw123,404.00,8.00
76,wanjia567,404.00,8.00
77,Professor413,401.00,8.00
78,I_AM_GEM,401.00,8.00
79,yuchang168,393.00,8.00
80,Tomcsifgsd,392.00,8.00
81,Cho Ku Rei,388.00,6.00
82,obesed22,381.00,6.00
83,MC Champagne,377.00,6.00
84,A Lysakovsky,374.00,6.00
85,Butcher In Town,360.00,6.00
86,MartLaar,344.00,6.00
87,14-06-2017,344.00,6.00
88,JimmyChang!,341.00,6.00
89,master90,338.00,6.00
90,intylerwetrust,331.00,6.00
91,yungCouch,320.00,6.00
92,wiselmas,318.00,6.00
93,Last_chance_40,315.00,6.00
94,KhaoSoi555,311.00,6.00
95,NotBillyCristal,304.00,6.00
96,clean,301.00,6.00
97,Guglielmo,300.00,6.00
98,Stuar_Two,298.00,6.00
99,WilliamMunny,297.00,6.00
100,Healingsoul,294.00,6.00
101,seapanda,292.00,6.00
102,pureCu,288.00,6.00
103,IoanLT,287.00,6.00
104,Honami Ichinose,283.00,6.00
105,Creiben,277.00,6.00
106,Dennis Henn,276.00,6.00
107,Valery Gukasov,276.00,6.00
108,DadLL,276.00,6.00
109,O0ll0O0ll,271.00,6.00
110,11CentoE11,271.00,6.00
111,9ght Melancholy,271.00,5.00
112,Barak_Kuda,270.00,5.00
113,FdoFdo,270.00,5.00
114,satorill,262.00,5.00
115,pozy,262.00,5.00
116,GTO6,261.00,5.00
117,iantampolski,257.00,5.00
118,UntilClimax,256.00,5.00
119,AAxiangruyimo,255.00,5.00
120,N-I-C-C111,253.00,5.00
121,HighRollerJW,250.00,5.00
122,Panaprime,247.00,5.00
123,bluffingbard,247.00,5.00
124,T Augaliyev,247.00,5.00
125,P0kerd0ss1,246.00,5.00
126,Macha52,243.00,5.00
127,tommybbg,242.00,5.00
128,um777rc,240.00,5.00
129,EXISTTENCE,236.00,5.00
130,ItGoesBrrrh,235.00,5.00
131,NoHomeJerome4,233.00,5.00
132,GrigsPWNZ,232.00,5.00
133,HardLines______,232.00,5.00
134,Road2LS,231.00,5.00
135,atamec,230.00,5.00
136,SAVARIBIEN,228.00,5.00
137,ZzzzZzzzaa,228.00,5.00
138,Ultra_Instinct,228.00,5.00
139,BojanPetrovic,227.00,5.00
140,PerritoMalvado,227.00,5.00
141,Bangkok Climber,225.00,5.00
142,ItsstillmeBs,224.00,5.00
143,DorinRusu,224.00,5.00
144,JackOVO,221.00,5.00
145,Checkchicken,221.00,5.00
146,Sunny bee,217.00,5.00
147,WannaParties,215.00,5.00
148,Yipee,214.00,5.00
149,Egor Bryzgalov,214.00,5.00
150,I Ivanov,214.00,5.00
