Rank,Nickname,Points,Prize
1,KOORA3,5522.00,150.00
2,Smeargle,5163.00,120.00
3,htmht,4096.00,100.00
4,Paszuly,3948.50,85.00
5,DCB1234,3897.00,70.00
6,A-BAO,3571.00,55.00
7,SeatFive,3296.00,45.00
8,luckyCOC1,3090.00,35.00
9,ConkeyDong,2782.50,30.00
10,InFlowState,2466.00,25.00
11,PKWiz,2377.00,25.00
12,WRedo,2033.00,20.00
13,Compostela,2019.00,20.00
14,Jakinimabi,2001.00,20.00
15,Navuhodonosr,1939.00,18.00
16,Rafafa,1829.00,18.00
17,Perro Dinero,1662.00,16.00
18,fish2026fish,1600.50,16.00
19,Maxplan,1587.00,15.00
20,SSSL001,1556.00,14.00
21,shake ying,1431.00,13.00
22,Chan Chu,1396.00,13.00
23,JogaBonito11,1352.00,12.00
24,BaddTeddy,1349.50,12.00
25,ustcedu,1136.00,11.00
26,yukleo,1108.00,11.00
27,Kaizoku Zoro,1104.00,11.00
28,5_hawn,1098.00,10.00
29,111XXX,1087.50,10.00
30,CashFlowGuru,1071.00,10.00
31,wozhinengying,1055.50,9.00
32,Saato-Sale,1053.00,9.00
33,Super_Hans_,1052.00,9.00
34,BuNkR_B,1052.00,8.00
35,D Pocket Nimni,1033.00,8.00
36,fearteller,1026.00,8.00
37,FluffyLamb,995.00,8.00
38,MayNutss,993.00,7.00
39,ENEMC15,981.00,7.00
40,Fischercito,938.00,7.00
41,Poker Alan,879.00,6.00
42,jpjphuilai,871.00,6.00
43,Johannes Raver,838.00,6.00
44,gzboy11,820.50,6.00
45,DWsnoiL,814.00,6.00
46,MartyMcbluff 81,784.50,6.00
47,DiWangJing,776.00,6.00
48,DOHK1XOT,760.50,6.00
49,F5-110,751.50,6.00
50,SolidState3,733.00,6.00
51,ZYN1108,731.50,5.00
52,U-C-O,727.00,5.00
53,OurBoiBoris,725.00,5.00
54,S Scherbovsky,713.00,5.00
55,iDrnk3nFalcn_69,706.00,5.00
56,Wu51,689.00,5.00
57,gogo_jungle,681.00,5.00
58,Brachol,680.00,5.00
59,athanasia-,676.00,5.00
60,MaG T,666.00,5.00
