Rank,Nickname,Points,Prize
1,Krierkhy,44877.00,150.00
2,BetBetAllin!!,39958.00,110.00
3,mm111222,32597.00,100.00
4,h8me0rl0veme,30295.00,90.00
5,QZX-A@,29946.00,80.00
6,Tourbillonback,28771.00,80.00
7,DiosVoluntad,26957.00,70.00
8,fsxyncg668,26629.00,70.00
9,ANDYLAU927,25212.00,60.00
10,JACKYHU,24279.00,60.00
11,ukg2000,22406.00,50.00
12,KibagamiGenjuro,21273.00,40.00
13,Mahoraga,19015.00,30.00
14,WxHuangyang,18729.00,20.00
15,vetal2k,18057.00,16.00
16,Fritzie,17737.00,16.00
17,Jianggg,16734.00,15.00
18,kiwifff,16243.00,15.00
19,XANDRRR,15448.00,15.00
20,NYixuan-jialian,15033.00,14.00
21,linuspoker,14368.00,14.00
22,kangdaniel,14327.00,14.00
23,I got nuts,14108.00,14.00
24,VLADIQPRIME,14049.00,13.00
25,HumbleJake,13569.00,13.00
26,Candyman_,12975.00,13.00
27,Duem1,12908.00,13.00
28,Anton__Lv,12775.00,12.00
29,PIPOCA,12575.00,12.00
30,KulioM,12475.00,12.00
31,Kakahirmutis,12308.00,12.00
32,sst9,12141.00,12.00
33,P0512-4848,12062.00,11.00
34,Stanley_ho,11810.00,11.00
35,jay201,11739.00,11.00
36,EP0nGe,11731.00,11.00
37,Hedss,11719.00,11.00
38,TregO,11645.00,10.00
39,Easypokeriiii,11615.00,10.00
40,CrazyPapillon,11559.00,10.00
41,aleksandrpav1,11479.00,9.00
42,xiaoyuan666,11461.00,9.00
43,slabii,11330.00,9.00
44,jinmay,11223.00,9.00
45,playplaygay,10989.00,9.00
46,dead420,10875.00,9.00
47,NVMkk,10863.00,9.00
48,zhangjiahao888,10670.00,9.00
49,Maximilien811,10653.00,9.00
50,Elonone,10653.00,9.00
51,Fishyhsif,10268.00,9.00
52,kean1992,10262.00,9.00
53,kantaka,10218.00,9.00
54,MrOreo7,10212.00,9.00
55,onoppe,10174.00,9.00
56,Lost yourself,9889.00,9.00
57,Mokaaa1,9824.00,9.00
58,HY-tournament,9730.00,9.00
59,salladhor,9710.00,9.00
60,BLIND RUNNER,9443.00,9.00
61,Juan Ortiz,9356.00,9.00
62,Y@_@Y,9318.00,9.00
63,FindingDori89,9289.00,9.00
64,Aco80,9273.00,9.00
65,Raise2High,9239.00,9.00
66,2000 HOURS,9218.00,9.00
67,Chrzaszcz,9216.00,9.00
68,youweibi,9138.00,9.00
69,cathy09,9080.00,9.00
70,libertine666,9004.00,9.00
71,Leon_zik,8973.00,9.00
72,Ezev93,8870.00,9.00
73,loveziyou,8860.00,9.00
74,foxnic7777,8707.00,9.00
75,stan2024,8536.00,9.00
76,ninoIK333,8448.00,9.00
77,I-love-i-win,8424.00,9.00
78,Kaflore,8411.00,9.00
79,cnlzl,8333.00,9.00
80,Anabasis,8325.00,9.00
81,Yuriy Ivanov,8314.00,9.00
82,AEECREPRESENT,8246.00,9.00
83,littleBitONo4ko,8236.00,9.00
84,panda8002,8192.00,9.00
85,fiphti---fiphti,8170.00,9.00
86,look2026,8145.00,9.00
87,Cosette,8108.00,9.00
88,murat607,8096.00,9.00
89,Zilchws,8086.00,9.00
90,Rascabusha,8040.00,9.00
91,Quantis,7880.00,9.00
92,VIKTAR0000,7824.00,9.00
93,JLUMaster,7812.00,9.00
94,mixalis,7781.00,9.00
95,HustleRain,7762.00,9.00
96,FreeYB,7752.00,9.00
97,math teacher,7744.00,9.00
98,XJZZ007,7714.00,9.00
99,Baomi,7692.00,9.00
100,kede1987,7642.00,9.00
101,NiHouYu,7636.00,9.00
102,Dracoulas,7570.00,9.00
103,Thorito,7531.00,9.00
104,Roadtosrt,7506.00,9.00
105,Alkatrax,7483.00,9.00
106,ggpockor666,7453.00,9.00
107,CrownUguy,7415.00,9.00
108,RasNestah,7341.00,9.00
109,Gentle_soul,7339.00,9.00
110,Bluubluuu,7335.00,9.00
111,koreykore,7314.00,9.00
112,rukorubi,7300.00,9.00
113,enot194,7245.00,9.00
114,Pkcn007,7187.00,9.00
115,plsDNtilt,7101.00,9.00
116,Nadezhda78,7098.00,9.00
117,Michel Well,7046.00,9.00
118,YANG ZAI,6953.00,9.00
119,Shurupk1n,6953.00,9.00
120,cantlosesor,6913.00,9.00
121,Sarkis Papazyan,6860.00,8.00
122,SaQuu,6856.00,8.00
123,FwwFww,6643.00,8.00
124,SapsanRF,6626.00,8.00
125,Apersolver,6605.00,8.00
126,jiaojian,6571.00,8.00
127,SolvedGoodMan,6530.00,8.00
128,Ophelia69,6520.00,8.00
129,Eddy_Fizzio,6496.00,8.00
130,speed-1,6468.00,8.00
131,TimmyTimmyTimmy,6443.00,8.00
132,niehuo_2024,6431.00,8.00
133,ChuckyJT,6428.00,8.00
134,tonshy,6427.00,8.00
135,Molfetta_,6361.00,8.00
136,110HW@MP651,6351.00,8.00
137,colooooo,6342.00,8.00
138,xingyayile,6332.00,8.00
139,Empedoclus,6304.00,8.00
140,sator-x,6303.00,8.00
141,Fatrog88,6242.00,8.00
142,houguoyu,6191.00,8.00
143,Gustavo5,6185.00,8.00
144,Give money1,6121.00,8.00
145,Arbitre88,6119.00,8.00
146,Adrian0s,6112.00,8.00
147,Cer@estres,6109.00,8.00
148,UUTI,6049.00,8.00
149,Misclickking,6023.00,8.00
150,MDSenkyu,6015.00,8.00
151,vinsanity151515,6006.00,8.00
152,BocaFB,5993.00,8.00
153,iFbby,5963.00,8.00
154,Uzhar_MD,5957.00,8.00
155,sdor25,5942.00,8.00
156,voicesless,5896.00,8.00
157,Alexeymish81,5893.00,8.00
158,Alan lin,5886.00,8.00
159,Awake_4_Win,5885.00,8.00
160,POCKETCORGI,5882.00,8.00
161,whyalways[me],5869.00,8.00
162,PR0LEG0LAS,5867.00,8.00
163,PatriciaCastell,5857.00,8.00
164,nonutsnoallin!,5851.00,8.00
165,br3lly,5847.00,8.00
166,youpimp,5840.00,8.00
167,JesseCDXX,5819.00,8.00
168,jinyugong,5801.00,8.00
169,Cssper,5772.00,8.00
170,krunchee,5771.00,8.00
171,Chak5165,5769.00,8.00
172,tigertiger888,5769.00,8.00
173,hanhanh777,5757.00,8.00
174,dzacharas,5748.00,8.00
175,Weilarn,5741.00,8.00
176,Foster1337,5700.00,8.00
177,lgflatron222,5646.00,8.00
178,fhyph,5604.00,8.00
179,herewego11,5586.00,8.00
180,endurer,5567.00,8.00
181,MercyRiver910,5543.00,8.00
182,UnleashTheEdge,5543.00,8.00
183,maDe888,5543.00,8.00
184,peshku999,5506.00,8.00
185,Bestillthinking,5502.00,8.00
186,Oopsushi,5494.00,8.00
187,itachi00,5482.00,8.00
188,sonicsonic1,5456.00,8.00
189,TFKimmy7,5443.00,8.00
190,Galdor1,5410.00,8.00
191,Belailija,5405.00,8.00
192,kingofrunning,5405.00,8.00
193,WJBF0402,5403.00,8.00
194,kuromi666,5398.00,8.00
195,tantiehua,5375.00,8.00
196,ZaoZaoPoker,5368.00,8.00
197,Shen Nana,5356.00,8.00
198,PatheticLoser,5343.00,8.00
199,JoseMariaGG,5338.00,8.00
200,11Didgori21,5296.00,8.00
201,BritneYSears,5272.00,8.00
