Rank,Nickname,Points,Prize
1,BOOMBOOMZ,4694.00,120.00
2,whitespir1t,3743.50,90.00
3,Anybix,3223.00,70.00
4,sunrunsun,3190.00,55.00
5,Ovahmind,2582.00,40.00
6,kwbbbnm,2522.00,30.00
7,AnD19990,2412.50,25.00
8,22oo22,2239.50,20.00
9,LelouchLulu,2079.00,15.00
10,JBLTourPro,1877.00,12.00
11,Aurelio Vallone,1840.00,11.00
12,Rebegin,1771.00,11.00
13,WhoChuLev,1666.00,10.00
14,nestorbloque,1612.00,10.00
15,Ship_to_Brazil,1582.00,9.00
16,forrestrun,1395.50,9.00
17,SpaceColonist,1358.00,9.00
18,Tobetop2026,1281.00,8.00
19,Peer Gynt,1277.00,8.00
20,Love9998,1253.00,8.00
21,lampatrampa,1193.00,7.00
22,JEEGROBO,1159.00,7.00
23,Carnerahh,1148.50,7.00
24,EasyKn0wn,1139.00,7.00
25,Keepi19,1111.00,7.00
26,Virtud,1077.00,6.00
27,hgf19753,1061.00,6.00
28,S!Rmucks@lot,1045.00,6.00
29,IanDowie,1033.00,6.00
30,rekt_lol,1015.50,6.00
31,Prince Dastan,999.50,6.00
32,Tutuzin145,966.00,6.00
33,lyxlyc,954.50,6.00
34,Scout_0916,945.00,6.00
35,Castertroy1979,937.50,6.00
36,999kkk,911.00,5.00
37,Maliciouss,897.00,5.00
38,GTOAPPrentice,891.00,5.00
39,Mr_Spade,869.50,5.00
40,Jim _,865.00,5.00
41,RadoroDaroSlavo,853.00,5.00
42,GHOST352,848.00,5.00
43,htmht,845.00,5.00
44,LuckyS777,823.00,5.00
45,Magzy,813.00,5.00
46,OverbetOracle,812.00,5.00
47,BocasShade,795.00,5.00
48,NitReg,792.00,5.00
49,KoreanBOSS,784.50,5.00
50,SinnerAce,782.00,5.00
51,Picu10,764.00,5.00
52,BigBetCat,750.00,5.00
53,Block Story,745.00,5.00
54,Wan_Booyn,736.00,5.00
55,radzio40,728.00,5.00
56,NLBR,728.00,5.00
57,o_--_o,727.00,5.00
58,eesueesu,722.00,5.00
59,StoicValue,719.00,5.00
60,enken68,714.00,5.00
61,gotham2795,711.00,4.00
62,china-fishy,706.00,4.00
63,Sina Nikbakht,705.00,4.00
64,Chocolate Ace,697.00,4.00
65,Talent Issues,687.00,4.00
66,BoRich888,682.00,4.00
67,4EverBessa,675.00,4.00
68,VIVERON,672.00,4.00
69,fish0017,671.00,4.00
70,Cosm!co,651.00,4.00
71,Kh@LL@S,642.50,3.50
72,7ZZZ7,641.00,3.50
73,Xanderale,637.00,3.50
74,CMSYUR,622.00,3.50
75,klapperkaak,609.00,3.50
76,Protools,602.00,3.50
77,SilentAllIn,590.00,3.50
78,crybaby,583.50,3.50
79,T1LT3R,569.00,3.50
80,JJ_still,569.00,3.50
81,Branka Sovrlic,567.00,3.50
82,trotmant,554.00,3.50
83,YourJinx,545.00,3.50
84,Pesm11,532.00,3.50
85,XxX7777777,529.00,3.50
86,DV_DV,520.00,3.50
87,sAnt1n1,510.00,3.50
88,GoodTasteX,499.00,3.50
89,Otecgoda,486.00,3.50
90,VSlow,475.50,3.50
91,Dorian Yang,468.00,3.50
92,Skeletor8,467.00,3.50
93,ArtofWaar,463.00,3.50
94,MacKO358,458.00,3.50
95,AceVes0,444.00,3.50
96,AtaTheGreat,432.00,3.50
97,AllinG1,430.00,3.50
98,HercegNovij,424.00,3.50
99,Rick_Poker121,420.00,3.50
100,sfgm,414.00,3.50
101,Tr1ck1,410.00,3.00
102,GerryFriedle,409.00,3.00
103,MuGe_,406.50,3.00
104,chiptome,402.00,3.00
105,eroshome115,388.50,3.00
106,jonbake,384.00,3.00
107,A Piskunov,382.00,3.00
108,papaped,377.00,3.00
109,Blademan,373.00,3.00
110,stillerror,371.00,3.00
111,Torreslwp,371.00,3.00
112,LostMyMindset,369.00,3.00
113,Yspenyanin1,366.00,3.00
114,Poker rocks,365.00,3.00
115,Bjornsiorkr,363.00,3.00
116,ClamdownB,360.00,3.00
117,fakene,360.00,3.00
118,HCole,359.00,3.00
119,OhHeySheld0n,358.00,3.00
120,CallMeLalo1993,353.00,3.00
121,BBJPLEASE,346.00,3.00
122,New Edge,343.00,3.00
123,Phanh,343.00,3.00
124,qiangboy,342.00,3.00
125,squeezo,341.00,3.00
126,OdiosoNgreidoHR,341.00,3.00
127,JohnTing,339.00,3.00
128,Sena QAQ,338.00,3.00
129,colooooo,338.00,3.00
130,Anita_Max_Win,332.00,3.00
131,neo79,332.00,2.50
132,xNkjc,331.00,2.50
133,Przemow200,331.00,2.50
134,Superwudi6,330.00,2.50
135,LutherBlissett,328.00,2.50
136,BlancNA,325.00,2.50
137,jorjo,321.00,2.50
138,Axxxt,317.00,2.50
139,CVMCVMCVM,315.00,2.50
140,BDS91,314.00,2.50
141,admaika,314.00,2.50
142,Y3333,311.50,2.50
143,P1996-3203,310.00,2.50
144,growupgg26,306.00,2.50
145,disater,306.00,2.50
146,TypeOk,297.00,2.50
147,WrankF,295.00,2.50
148,orbcrazyk,293.00,2.50
149,e4-e5,292.00,2.50
150,GIVEMEUP99,291.00,2.50
151,grindli,290.00,2.50
152,Blue_Horizon,289.00,2.50
153,romanishin97,287.00,2.50
154,Gold_1305,286.00,2.50
155,MoneyPursuit,282.00,2.50
156,ObliqueFable,279.00,2.50
157,P0kerd0ss1,278.00,2.50
158,Penguinking,277.00,2.50
159,ZorZen,275.00,2.50
160,D2rvin,275.00,2.50
161,buttonpusher,274.00,2.50
162,rk1602,273.00,2.50
163,SIN PIEDAD!,272.00,2.50
164,white camel,269.00,2.50
165,chao897,269.00,2.50
166,Tof38,268.00,2.50
167,God of wealth 8,268.00,2.50
168,la manka,267.00,2.50
169,portwizard,266.50,2.50
170,Strawbeans,265.00,2.50
171,elliahh,265.00,2.50
172,Lashby,264.00,2.50
173,Vexilo,264.00,2.50
174,RemyM,263.00,2.50
175,WizCharm8,261.00,2.50
176,Bomeychat 12,259.00,2.50
177,erabur,256.00,2.50
178,Leilabagi24,253.50,2.50
179,WM-AA,251.50,2.50
180,floynk,250.50,2.50
181,NewLuckyMen,247.00,2.50
182,GGVigiLande,246.00,2.50
183,GGana_7,246.00,2.50
184,Luckyfish1888,244.00,2.50
185,YL poker,244.00,2.50
186,Existtencee,244.00,2.50
187,Dominate_poker,243.00,2.50
188,Mrs MIYAGI,240.00,2.50
189,MonoxideOwk,239.00,2.50
190,Kilo Czar,236.00,2.50
191,Aste_,236.00,2.50
192,yyhh979,235.00,2.50
193,Tiltdistributor,233.00,2.50
194,N-__-N,232.50,2.50
195,3ns@b@hnur,231.00,2.50
196,Slow man,230.00,2.50
197,Nikitamble,229.00,2.50
198,ddppep,228.00,2.50
199,yo-zuri,227.00,2.50
200,Mr_Vercotti,227.00,2.50
