Rank,Nickname,Points,Prize
1,Matjaz Vogrinec,971.00,1400.00
2,Zeljko Tokic,715.50,800.00
3,RiverRunAA,499.00,500.00
4,H Rodriguez,496.00,380.00
5,Michael Weiss,477.00,320.00
6,Boris Premovic,455.00,300.00
7,Levente Szabo,434.00,280.00
8,Ben Raven,428.00,280.00
9,joaofilho,414.00,260.00
10,Gabor Burgony,409.00,240.00
11,Manuel Saavedra,376.00,220.00
12,Espolon,301.00,220.00
13,Angel Ganchev,296.00,200.00
14,Gergely Kulcsar,273.00,200.00
15,P Sekinger,270.00,180.00
16,Checazzofai,256.50,180.00
17,Melker Almleaf,244.00,180.00
18,I MP I,228.00,160.00
19,blzbu,212.00,160.00
20,N Dobrachev,212.00,160.00
21,VietJetAir,206.50,160.00
22,Pierre Gineste,201.00,140.00
23,George Pittam,180.00,140.00
24,ImTHEcharlie,176.00,140.00
25,R Gabdullin,175.00,140.00
26,Hugh_Hustler,175.00,140.00
27,TropicalTilt,167.00,140.00
28,FOFO97,166.00,120.00
29,ElPerroMagico1,165.00,120.00
30,Joseph Adams,157.50,120.00
31,N Evdokimov,150.00,120.00
32,Filip685,145.00,100.00
33,SIR NAPKINS,141.00,100.00
34,Matthias Ehlers,138.00,100.00
35,knxwledge,133.00,100.00
36,Pintoto,128.00,100.00
37,Nyuli Tibor,128.00,100.00
38,LaabD,127.00,100.00
39,chiptake,120.00,100.00
40,Agustin Coelli,117.00,100.00
41,Sergei Pronin,116.00,
42,88max,114.50,
43,Nelson Alves,110.50,
44,Kamil Szulc,108.00,
45,xbabauu,104.00,
46,abarros,102.00,
47,purrrrrrrrrr,94.00,
48,Rodrigo Paredes,94.00,
49,Aram Oganyan,94.00,
50,DingLiren,88.00,
