Rank,Nickname,Points,Prize
1,EdwarD TeacH-,43084.00,30.00
2,Mossad,39840.00,25.00
3,tbolelli,38666.00,21.00
4,wuy1lang,36371.00,21.00
5,Pirlohenry2025,36022.00,17.00
6,Fish isildur,35089.00,17.00
7,Sikamor99,33506.00,13.00
8,evgen222555,31033.00,13.00
9,onghoangallin,29841.00,10.00
10,allin_brother,25064.00,10.00
11,zhengjinglaotou,22360.00,7.00
12,Mach Roe,22177.00,5.00
13,Ted S,20114.00,5.00
14,Kinangcao,19960.00,5.00
15,BINIDAxie,19908.00,5.00
16,L-e-o,19449.00,4.50
17,kapystin,18721.00,4.50
18,ALI-VENTURA,18574.00,4.00
19,explain fire,18338.00,4.00
20,wealen,17898.00,4.00
21,Push72s,17862.00,3.50
22,haoba111,17807.00,3.50
23,pomor14,17649.00,3.50
24,Scratch_wzp,16613.00,3.50
25,emilem87,16492.00,3.00
26,guratp,16492.00,3.00
27,diaspora680,16462.00,3.00
28,SeeYouCoco,16211.00,3.00
29,RomanV,16022.00,3.00
30,Asthma88,15739.00,2.50
31,zxc28709277,15655.00,2.50
32,Roy9781,15294.00,2.50
33,nuanleee,15166.00,2.50
34,A Ishtuganov,15146.00,2.50
35,cldzOrr,15143.00,2.50
36,Nealcafffrey,14754.00,2.00
37,Che crazy,14654.00,2.00
38,TeeTapTep,14633.00,2.00
39,ag3nt911,14568.00,2.00
40,4ipa4e4i4ek,14455.00,2.00
41,Andrei Oprica,14204.00,2.00
42,SaintValentine,13987.00,2.00
43,Hong Eun-chae,13789.00,2.00
44,xiaopangxie888,13782.00,2.00
45,PLmoon,13705.00,2.00
46,makaronii,13644.00,2.00
47,Rom@V,13539.00,2.00
48,al210584,13421.00,2.00
49,nop9Igok_gpyrou,13274.00,2.00
50,jianganzhu777,13014.00,2.00
51,hesoyam0,12625.00,2.00
52,Qhx10,12580.00,2.00
53,P0LLito,12473.00,2.00
54,Hungry Beatle,12463.00,2.00
55,ARCHI52,12446.00,2.00
56,Canis Majori,12382.00,2.00
57,ECodali,12174.00,2.00
58,rainrain,12137.00,2.00
59,SixthSpeed,12056.00,2.00
60,Serj Osa,12010.00,2.00
61,elboss,11945.00,1.80
62,blmx5969,11882.00,1.80
63,qqqqq90990,11838.00,1.80
64,lkhjstcvb,11810.00,1.80
65,matilda4i4a,11669.00,1.80
66,BTBK86,11663.00,1.80
67,Jeazzeman,11644.00,1.80
68,shengcunweiji,11553.00,1.80
69,ei_wis,11440.00,1.80
70,1200kg,11428.00,1.80
71,xiaoM,11412.00,1.50
72,Alena K-a___13,11343.00,1.50
73,M Metel,11338.00,1.50
74,Chirun_Y,11182.00,1.50
75,Eridan Noada,10935.00,1.50
76,Guanxing Zhuge,10767.00,1.50
77,KSV2903,10560.00,1.50
78,Aldibrave,10541.00,1.50
79,Dilettante_,10491.00,1.50
80,wxxxxxxxxx,10458.00,1.50
81,XTYG,10398.00,1.40
82,Pipadios,10316.00,1.40
83,MrHeisenberg777,10314.00,1.40
84,PolkeNL,10285.00,1.40
85,ol0wtp,10223.00,1.40
86,pzyyyyy,10188.00,1.40
87,GOR371,10113.00,1.40
88,GARE3A,9995.00,1.40
89,Vavan_NL,9960.00,1.40
90,DEJ_DEJ-DEJ,9930.00,1.40
91,call any allin,9902.00,1.40
92,fish@2134,9882.00,1.40
93,mosster,9814.00,1.40
94,Hotichh,9748.00,1.40
95,xENEMYx,9693.00,1.40
96,Klinovich,9684.00,1.40
97,HowardLovecraft,9680.00,1.40
98,MoonBallad,9639.00,1.40
99,RoughRafff,9606.00,1.40
100,F3nikS,9577.00,1.40
101,Weilarn,9481.00,1.20
102,1225,9434.00,1.20
103,diablo1981,9429.00,1.20
104,elchaza3011,9393.00,1.20
105,badbeat886,9375.00,1.20
106,damingzhou,9333.00,1.20
107,donk126,9331.00,1.20
108,gan6959,9311.00,1.20
109,Rocio Palermo,9265.00,1.20
110,Kenny100000014,9242.00,1.20
111,nic!,9206.00,1.20
112,ukato,9150.00,1.20
113,Ruuuuok,9058.00,1.20
114,L11111K,9040.00,1.20
115,nidzeks1312,9021.00,1.20
116,v_chenyipin2024,9016.00,1.20
117,kx21,8979.00,1.20
118,BigDen1991,8977.00,1.20
119,ghoatfx6,8922.00,1.20
120,AKndre,8873.00,1.20
121,Qwhich,8856.00,1.10
122,playlikefishh,8818.00,1.10
123,Zolroth,8796.00,1.10
124,Mykola99,8789.00,1.10
125,Bez_gryazi,8708.00,1.10
126,Bra2,8695.00,1.10
127,WJ_S1mple,8652.00,1.10
128,Nutscake,8642.00,1.10
129,rgau,8558.00,1.10
130,no@ri,8543.00,1.10
131,Why[So]Serious,8534.00,1.10
132,UziMantana,8442.00,1.10
133,P6926-2961,8432.00,1.10
134,svgr,8307.00,1.10
135,Sharhan3795,8297.00,1.10
136,TrueteIIer,8294.00,1.10
137,cascala75,8270.00,1.10
138,VBSW Rich,8201.00,1.10
139,GG2025GG,8087.00,1.10
140,Miss Aladdin,8055.00,1.10
141,SasuCajbeC,8043.00,1.00
142,CN NO1,7925.00,1.00
143,mlonar,7883.00,1.00
144,TaiHao,7871.00,1.00
145,Allenzheng,7805.00,1.00
146,TNT9898,7744.00,1.00
147,My Little Sarah,7723.00,1.00
148,ganttelli,7687.00,1.00
149,FelixDeSouza,7687.00,1.00
150,miguellamperti,7643.00,1.00
151,MoneyformeBr,7625.00,0.90
152,KukythePokerDog,7614.00,0.90
153,advantage,7591.00,0.90
154,kuklotank,7580.00,0.90
155,airberun_gg,7513.00,0.90
156,H0rtex,7467.00,0.90
157,haiying,7414.00,0.90
158,Dynatmon,7359.00,0.90
159,mzs1504,7213.00,0.90
160,aTaTa_,7191.00,0.90
161,Rebeckoff,7153.00,0.90
162,P4314-6457,7042.00,0.90
163,AG_pokerA,6984.00,0.90
164,dirty_noname,6962.00,0.90
165,Silverhand-,6945.00,0.90
166,nimitawa,6934.00,0.90
167,Lendary,6843.00,0.90
168,Broskii,6808.00,0.90
169,MonkeyYe,6806.00,0.90
170,Fish-man,6758.00,0.90
171,bgfgqlbf34y,6718.00,0.80
172,Svv3315,6692.00,0.80
173,43j28,6675.00,0.80
174,Mbbwy,6666.00,0.80
175,SuperJJack,6645.00,0.80
176,DONGSHANZAIQ,6630.00,0.80
177,humuluslupulus,6603.00,0.80
178,C4psl0ck tr0j4n,6602.00,0.80
179,Guest777,6575.00,0.80
180,ColdRisk,6571.00,0.80
181,bad_russian36,6494.00,0.80
182,skillgame_co_il,6484.00,0.80
183,redqqq,6436.00,0.80
184,GrassCarp1111,6421.00,0.80
185,NoBlocker,6375.00,0.80
186,dogpk,6338.00,0.80
187,Eli_ElezrAA,6332.00,0.80
188,ApPoison,6292.00,0.80
189,Pelusaarg,6266.00,0.80
190,xinkangjia8,6257.00,0.80
191,SSDWWA,6254.00,0.70
192,BabyGato,6216.00,0.70
193,joy0616,6194.00,0.70
194,Alemba,6166.00,0.70
195,bonatcat3,6164.00,0.70
196,faaat580,6164.00,0.70
197,C--3PO,6146.00,0.70
198,dungbattaoallin,6135.00,0.70
199,OnlyLuckyWinner,6098.00,0.70
200,wQQt,6080.00,0.70
201,Dr_Gregory,6057.00,0.70
202,JackJungle,6055.00,0.70
203,Overdose11,6030.00,0.70
204,KAnuTaH_MeCuBo,6025.00,0.70
205,KillingEdg3,6022.00,0.70
206,BigCoral,5986.00,0.70
207,Tubylandu,5968.00,0.70
208,ccsuccsuzc,5966.00,0.70
209,lorez01,5950.00,0.70
210,Korablev25,5947.00,0.70
211,Tero ocelotl,5941.00,0.70
212,PokerFaceDD,5919.00,0.70
213,Tasia2030,5917.00,0.70
214,S3m0l3S,5911.00,0.70
215,CZY0010,5878.00,0.70
216,addnolol,5863.00,0.70
217,Flower !,5847.00,0.70
218,ChaCha5678,5829.00,0.70
219,OtB_PeruvnPysch,5828.00,0.70
220,treeee07,5798.00,0.70
221,FOCUS GOD,5776.00,0.70
222,M V P _,5771.00,0.70
223,0f0rtuna,5736.00,0.70
224,4ekHyTblu,5736.00,0.70
225,MyBigDreams,5701.00,0.70
226,Lebron Games,5694.00,0.70
227,JGB-MSGG,5686.00,0.70
228,Vito_Kornelius,5666.00,0.70
229,1morebeer,5659.00,0.70
230,L3ON3L,5616.00,0.70
