Rank,Nickname,Points,Prize
1,onlyfishhhhhhhh,44529.00,250.00
2,EVA92,37696.00,180.00
3,Daniel 2025-2,32816.00,160.00
4,Fritzie,32508.00,150.00
5,Jiangpoker,32206.00,140.00
6,Agrr4Rollz,28360.00,140.00
7,ririwei,28294.00,130.00
8,10_VULTURUL_10,27190.00,130.00
9,AhowtoloseA,26648.00,120.00
10,wasilij,25394.00,120.00
11,God_bless you,24957.00,100.00
12,liyangx,24484.00,80.00
13,Cuzq,23850.00,70.00
14,no name123,23694.00,60.00
15,Bravas,23129.00,50.00
16,mskfyanfo,22132.00,40.00
17,china-fishy,21909.00,30.00
18,o6F2nZ0vQ,20281.00,30.00
19,LUCKYGJJ,20075.00,30.00
20,pandaking001,18605.00,30.00
21,TEDDY-BEAR,18352.00,30.00
22,xinghui768,18094.00,30.00
23,dashaoyu,17293.00,30.00
24,YANG LlU,16774.00,30.00
25,LosingDay,16113.00,30.00
26,shelven0123,15017.00,30.00
27,vena001,14834.00,20.00
28,HOVROMERO,14632.00,20.00
29,brpokerpr0,14223.00,20.00
30,small_AI,14206.00,20.00
31,ZHANG SIYI,14157.00,20.00
32,maxxll_1,14075.00,20.00
33,XJZZ007,13953.00,20.00
34,lkmzzzz,13596.00,20.00
35,FocusOnBike,13189.00,20.00
36,LuckyXinyu,13163.00,20.00
37,goTop1,12988.00,20.00
38,m0o0n,12901.00,20.00
39,Omnibuss,12733.00,20.00
40,Miaacue,12448.00,20.00
41,QiaoBZ,11886.00,15.00
42,klokter,11519.00,15.00
43,CCTV9,11359.00,15.00
44,Wowie_Zowie,11168.00,15.00
45,odiodeldios,11022.00,15.00
46,MMusashi,10838.00,15.00
47,BraveWater1,10784.00,15.00
48,geegeegeeG,10636.00,15.00
49,SB2501,10560.00,15.00
51,wh5baizh88888,10429.00,15.00
52,Sparkels,10397.00,15.00
53,NAES1,10311.00,15.00
54,horsebox30,10086.00,15.00
55,OslikUA_Love,10067.00,15.00
56,Moreallin,10033.00,15.00
57,TetrisCulture,9983.00,15.00
58,fishbear2025,9527.00,15.00
59,CZZ3,9493.00,15.00
60,LaParpinade,9214.00,15.00
61,onlybluff_river,9196.00,15.00
62,lebroncu,9132.00,15.00
63,Robb9444,9064.00,15.00
64,Liii,9042.00,15.00
65,BrotherSpray,8936.00,15.00
66,Mrhiphop07,8897.00,15.00
67,n0scete1psum,8576.00,15.00
68,knife2017,8542.00,15.00
69,e4-e5,8517.00,15.00
70,Jay321,8410.00,15.00
71,Braia Alexandru,8215.00,15.00
72,Cho2ee,8191.00,15.00
73,Lockerl7199,8185.00,15.00
74,DeepMess,8029.00,15.00
75,Apersolver,7947.00,15.00
76,Check_Fold__,7887.00,15.00
77,Haoyang Lu,7782.00,15.00
78,Hannah13,7630.00,15.00
79,OBLoMov@,7625.00,15.00
80,James_Zhi,7494.00,15.00
81,MateeCocido,7450.00,15.00
82,xiaoan123456,7413.00,15.00
83,ShPokerKing79,7387.00,15.00
84,Suspended Nerd,7309.00,15.00
85,Stepan Solianyk,7308.00,15.00
86,Wanningboys,7172.00,15.00
87,X9999xx,6996.00,15.00
88,ALEXALEXYXUNG,6962.00,15.00
89,SubineAuksine,6913.00,15.00
90,20yo,6889.00,15.00
91,KATSP45,6740.00,15.00
92,HDog16,6692.00,15.00
93,Galeao Cumbica,6675.00,15.00
94,wuyangwuyang,6569.00,15.00
95,LOCCO,6386.00,15.00
96,Poker_Justice_1,6379.00,15.00
97,buhuibeibb,6349.00,15.00
99,kei2000,6109.00,15.00
100,Nai Somchai,6063.00,15.00
101,Pay0990,6034.00,15.00
102,fishgggs,6034.00,15.00
103,ChuckZQ,6017.00,15.00
104,dimomo,6011.00,15.00
105,Jadeenthusiasts,5898.00,15.00
106,GTOW1zard,5888.00,15.00
107,Scentegg,5839.00,15.00
108,hazza257,5825.00,15.00
109,ckhaoyun,5785.00,15.00
110,LootNRun,5751.00,15.00
111,Chefxxx,5748.00,15.00
112,0 B I,5721.00,15.00
113,aijiujiu,5656.00,15.00
114,Kristo914,5648.00,15.00
115,Starlock,5624.00,15.00
116,P0kerd0ss1,5620.00,15.00
117,shrimp-TY,5602.00,15.00
118,PotWhale,5560.00,15.00
119,YMan,5544.00,15.00
120,R4KEMACHINE,5532.00,15.00
121,Comissaires,5471.00,15.00
122,Firess,5445.00,15.00
123,Pkr_McPkrFace,5392.00,15.00
124,KennyK02,5356.00,15.00
125,GodRunPls,5317.00,15.00
126,yasuom,5284.00,15.00
127,Lucyluck888,5222.00,15.00
128,Seanyayaying,5221.00,15.00
129,wooyzzz,5218.00,15.00
130,hunterQAQ,5184.00,15.00
131,IBA1,5178.00,15.00
132,Caffreyy,5162.00,15.00
133,TG1987,5064.00,15.00
134,mengardinha,5060.00,15.00
135,YSWmtLmkYx,5056.00,15.00
136,Strange_Fish,5048.00,15.00
137,ganshiguijiao,4999.00,15.00
138,FreeYB,4979.00,15.00
139,Fols,4976.00,15.00
140,Leadbone,4908.00,15.00
141,nobody321,4864.00,15.00
142,CyberTony,4856.00,15.00
143,Plingplong,4837.00,15.00
144,SaySorry!,4826.00,15.00
145,PowerlicH,4814.00,15.00
146,IWant2PlayAGame,4783.00,15.00
147,kderling,4782.00,15.00
148,RiverRatKing,4759.00,15.00
149,Jianggg,4738.00,15.00
150,KukocToni,4714.00,15.00
151,mobius16,4708.00,15.00
152,onlybluezzzz,4693.00,15.00
153,99NeverLose,4685.00,15.00
