Rank,Nickname,Points,Prize
1,tupu22,46544.00,90.00
2,SHOKS,45905.00,70.00
3,XXXTiltacion,43679.00,65.00
4,NTMR uni,43649.00,60.00
5,ppkkndwsi,38206.00,55.00
6,Hellblade-,36229.00,50.00
7,Born2Tilt,35308.00,45.00
8,Somesaylove,33346.00,40.00
9,nlConnor,31735.00,35.00
10,ExChangeR,31334.00,35.00
11,xuanjing01,29680.00,30.00
12,DukeNukemF,28062.00,25.00
13,freestyle123,27760.00,20.00
14,dzpkzshg,27531.00,15.00
15,MiraclePandaSol,27052.00,10.00
16,DisciplineC,23573.00,10.00
17,vokapot,22885.00,9.00
18,wlsrnjs123,22658.00,9.00
19,Ohnonevermore,22018.00,9.00
20,Tw Wei Li DCAC,19994.00,9.00
21,Olafrenky,19790.00,9.00
22,bryant193,19222.00,8.00
23,Layonel,18694.00,8.00
24,jinyugong,18660.00,8.00
25,Opisbad,18466.00,8.00
26,Qsyj,17896.00,8.00
27,xinlu07113,17822.00,7.00
28,Last59,17726.00,7.00
29,Serifos,17273.00,7.00
30,Coldweather__,16952.00,7.00
31,zenus777,16343.00,7.00
32,xViRuSx98,16201.00,7.00
33,NSPD,16136.00,6.00
34,paomarou,16114.00,6.00
35,techchang,15961.00,6.00
36,hsrf,15906.00,6.00
37,hanhanh777,15899.00,6.00
38,SkyBoy23,15655.00,6.00
39,WoWulam,15539.00,6.00
40,catttty,14939.00,6.00
41,aneku1eee,14758.00,6.00
42,simple_magic,14530.00,6.00
43,j83s86a15a18,14499.00,6.00
44,Damondy,14494.00,6.00
45,Angler_Fish,14448.00,6.00
46,FourKingBell,14227.00,6.00
47,Joker_86,13980.00,6.00
48,Hedss,13587.00,6.00
49,Yu_Den,13373.00,6.00
50,GOD_SH,13159.00,6.00
51,FON4ME,13153.00,6.00
52,Lukzinn11,13122.00,6.00
53,Edward Morra,12922.00,6.00
54,Viktor Frankl,12890.00,6.00
55,ztsst,12374.00,6.00
56,Yidunyy,12302.00,6.00
57,pipecmolodec,12201.00,6.00
59,Toms_,12034.00,6.00
60,Brent sisiren,12018.00,6.00
61,izft,11941.00,6.00
62,Fish910s,11853.00,6.00
63,BlueBull99,11781.00,6.00
64,Queenk,11714.00,6.00
65,senechkammm,11601.00,6.00
66,Tide888,11550.00,6.00
67,stevesan,11506.00,6.00
68,Gingues,11479.00,6.00
69,Lucky_xiaomili,11226.00,6.00
70,Hachimi_Y,11224.00,6.00
71,3Jla9l ne4eHbka,11213.00,6.00
72,kanekiszn,11209.00,6.00
