Rank,Nickname,Points,Prize
1,Grizs,1806.00,25.00
2,Stephanie92,1769.00,20.00
3,Fenggugui,1699.00,17.00
4,GooD_BuH,1328.00,14.00
5,Tiamat777,1165.00,11.00
6,cubacka,992.00,9.00
7,OneandonlY-,898.50,8.00
8,Stewar,857.00,7.00
9,ag3nt911,842.50,6.00
10,chikipoker,827.00,5.00
11,elveon88,712.00,4.00
12,CrazyFolds,702.00,3.50
13,Two7OfCards,671.00,3.50
14,34-35,660.00,3.00
15,Limpiooo,650.00,2.50
16,eLement525,636.50,2.50
17,zhangmei520,619.50,2.50
18,ThugFish,610.00,2.50
19,Shinx,573.00,2.00
20,CRMAllan,543.00,2.00
21,niemambopoco,535.00,2.00
22,SAZUKE-UCHIHA,533.00,2.00
23,V4zqu3zOrn,531.00,1.80
24,yanyun1,528.00,1.80
25,Bidjo_R,520.00,1.80
26,Lucker13660,509.50,1.60
27,gomito10,504.00,1.60
28,Lilyzoo,490.00,1.60
29,ZzZ[GG],489.00,1.60
30,ICE Mendelson,484.00,1.40
31,alex_yang22,481.50,1.40
32,gram52,472.00,1.40
33,kas_i_ko_,470.50,1.40
34,Yura66,465.00,1.20
35,simpson_,465.00,1.20
36,Volkozay,446.00,1.20
37,GODHAND!,436.00,1.00
38,aliyou,429.50,1.00
39,Cuihuali,419.50,1.00
40,Laziale,416.50,1.00
41,manha11an,413.00,0.80
42,Were 05,411.00,0.80
43,AJ valentiner,410.00,0.80
44,yohan[Ga],409.00,0.80
45,Svv3315,401.00,0.80
46,Hanabi333,401.00,0.80
47,vlad548,388.00,0.80
48,novosibirskiano,387.00,0.80
49,I am PokerKing,383.00,0.80
50,ethbull,370.00,0.80
51,alibaba_ma,369.50,0.80
52,Ai--bot,362.00,0.80
53,88_Artur!,362.00,0.80
54,OoooSIMPIOoooO,358.00,0.80
55,OhMyGodFish-A,355.00,0.80
56,HardBoiledEgg,354.00,0.80
57,prodek,354.00,0.80
58,Tkachuk96,353.50,0.80
59,Kiwee,353.50,0.80
60,le Roi-Soleil,353.00,0.80
61,kr1st3,352.00,0.60
62,Jeff Beson,349.00,0.60
63,2ndRunner,345.00,0.60
64,JUEGAJR17,342.00,0.60
65,failureAA,340.00,0.60
66,LoBiDou,336.00,0.60
67,olesaf,334.00,0.60
68,mythological,333.00,0.60
69,AAbeatKK,332.50,0.60
70,Ride Or Die,330.00,0.60
71,Michael Hiraki,327.00,0.60
72,BagadtDagoly,323.00,0.60
73,billy loomis,322.00,0.60
74,David Waa,320.00,0.60
75,zhangyangk83,317.00,0.60
76,treeefidddy,316.00,0.60
77,Kaligone,316.00,0.60
78,Kogi44,311.00,0.60
79,anny0321,310.50,0.60
80,aeduardo55,310.00,0.60
81,Laguznyak,310.00,0.40
82,Pipadios,306.00,0.40
83,myluna6996,306.00,0.40
84,bogyta,302.50,0.40
85,HARU74,301.00,0.40
86,PROFETA,299.00,0.40
87,koderek,299.00,0.40
88,LOL32212,299.00,0.40
89,Dwight Shrute,295.00,0.40
90,Ricke_Big_Head,292.00,0.40
91,He ccaTb,291.00,0.40
92,Deerslayer,290.00,0.40
93,HalorrralG,286.50,0.40
94,Makclmka,283.50,0.40
95,ApeiStacks,281.00,0.40
96,annafish,280.00,0.40
97,Macanas,278.00,0.40
98,yangmoon,278.00,0.40
99,EV_Poker,278.00,0.40
100,selfvself,277.00,0.40
101,Letsrock_,272.00,0.40
102,DayOneToday,271.00,0.40
103,somidwey,270.50,0.40
104,yichen88_hk,270.00,0.40
105,CHAMIGO,270.00,0.40
106,ZaytsevaQQ,267.00,0.40
107,Backzy,261.00,0.40
108,maycolor,259.00,0.40
109,kitishe,257.00,0.40
110,nicknametaken,257.00,0.40
111,Yara1984,257.00,0.30
112,PanteritMori,256.00,0.30
113,NightWOlfby,256.00,0.30
114,NetDepositor,254.00,0.30
115,NihaoBrothers,251.00,0.30
116,CharlesInGame,251.00,0.30
117,MrRedCrow,250.50,0.30
118,octan101,249.50,0.30
119,RJJ9453,249.00,0.30
120,bujdi9202,243.00,0.30
121,SkelterAAA,243.00,0.30
122,hwlm,243.00,0.30
123,Paulhachi,243.00,0.30
124,Sturmhaube88,242.50,0.30
125,IwanPower,242.50,0.30
126,ForeverYong,242.50,0.30
127,mam212,240.50,0.30
128,DanCurly,240.50,0.30
129,maslak270,240.00,0.30
130,BogD@d,239.00,0.30
131,kingjackMF,239.00,0.30
132,tuquinho88,237.50,0.30
133,HadiDnv,237.00,0.30
134,El_Pianista,237.00,0.30
135,Torgaren_,233.00,0.30
136,Pain and Panic,233.00,0.30
137,Kot_jungley,233.00,0.30
138,Whafle,232.50,0.30
139,jianganzhu777,231.00,0.30
140,Bojangles1989,231.00,0.30
141,KKAllinKA,231.00,0.20
142,snake701,227.00,0.20
143,baabaa32,224.00,0.20
144,Davidjd,223.00,0.20
145,PedroEsquerdo,223.00,0.20
146,zmiotewas,222.00,0.20
147,Shabardin_88,222.00,0.20
148,Nikolai218,219.00,0.20
149,Sans666,218.00,0.20
150,aaaaauuuuummmmm,218.00,0.20
151,Penestacio,218.00,0.20
152,Makwinter,216.00,0.20
153,n0future,216.00,0.20
154,zani420,215.00,0.20
155,MachadoBlack,215.00,0.20
156,xuan1530,213.00,0.20
157,Moldrim,212.00,0.20
158,negobill88,211.00,0.20
159,ELINSBACK123,208.00,0.20
160,ElDogThor,207.00,0.20
161,Andriy0314,206.50,0.20
162,duybuhet,206.00,0.20
163,Ahafonod,206.00,0.20
164,Eduard1789,206.00,0.20
165,Fisherka,205.00,0.20
166,EtnB,204.50,0.20
167,jing5278,204.00,0.20
168,Dalinger,203.50,0.20
169,Targitay77,203.00,0.20
170,Le Lorrain,203.00,0.20
171,molodoy_gg,202.00,0.20
172,OSA913,201.00,0.20
173,RAFAELAUGUSTO,201.00,0.20
174,wuyihengliu,200.50,0.20
175,NL2026Profit,200.00,0.20
176,Luborg,200.00,0.20
177,PinguaMito99,200.00,0.20
178,Mr Patrick,199.00,0.20
179,signig,199.00,0.20
180,O_magno,199.00,0.20
181,BanksP,198.50,0.20
182,UribeP,198.00,0.20
183,virman_piikkii,197.00,0.20
184,Fetmeluck,197.00,0.20
185,grzelaa1979,196.00,0.20
186,BackyardignCh,196.00,0.20
187,JMRomo,195.00,0.20
188,Faust09,195.00,0.20
189,vosmiklinka,194.00,0.20
190,LaSyN,193.00,0.20
191,Jesus B,193.00,0.20
192,Matias Andre,191.50,0.20
193,naxier,191.50,0.20
194,hemitori488,190.50,0.20
195,QuieteFujiSnail,188.00,0.20
196,kim520,187.00,0.20
197,Tifani,187.00,0.20
198,TpRAu,186.50,0.20
199,pokerrick,186.00,0.20
200,AndrewBear_N1,186.00,0.20
201,MissAivil,186.00,0.10
202,Snile10,185.00,0.10
203,PokerBot01,185.00,0.10
204,OSHO WIN,184.00,0.10
205,dunamar,184.00,0.10
206,sonntagskind,184.00,0.10
207,R---M,184.00,0.10
208,shimano76,184.00,0.10
209,CAlm-Flame,184.00,0.10
210,sladok_ponchiq,183.00,0.10
211,Andrevv,182.00,0.10
212,KrisCatWoo,182.00,0.10
213,AlignedGain88,181.00,0.10
214,Shugaa,181.00,0.10
215,coffeedrinker,180.00,0.10
216,mariman99,180.00,0.10
217,bgoz22,179.00,0.10
218,Boyin,178.50,0.10
219,Joker88000,178.00,0.10
220,rhyme999,178.00,0.10
221,RaczekPol,178.00,0.10
222,R3n4C3,177.00,0.10
223,Notam,176.00,0.10
224,Rusty Wite,175.50,0.10
225,LucasG06,175.00,0.10
226,klauth88,175.00,0.10
227,AndyHdz7,173.00,0.10
228,BMZPOKER,172.00,0.10
229,ons11,172.00,0.10
230,AndreiBogdan4,171.00,0.10
231,rakemashina,171.00,0.10
232,Jaymaster,170.00,0.10
233,marcelowwwww,170.00,0.10
234,CrazyQi,170.00,0.10
235,Niroxx,170.00,0.10
236,UncleChip,169.00,0.10
237,Askanix,169.00,0.10
238,Elatleta,169.00,0.10
239,K i T,169.00,0.10
240,JesusIsTheKing,168.00,0.10
241,ZacJumpOne,168.00,0.10
242,Quattroruote,166.00,0.10
243,PKU_duguai,166.00,0.10
244,OuO_,165.00,0.10
245,RUSLAN77778,164.00,0.10
246,BadimN,164.00,0.10
247,Robinyo,163.00,0.10
248,ED001457,162.50,0.10
249,PHASHA,162.00,0.10
250,LuckyStiff,162.00,0.10
251,1101yu,161.00,0.10
252,P2259_5689,158.50,0.10
253,hammy2000,158.50,0.10
254,wital850,158.00,0.10
255,RiCkDiE,158.00,0.10
256,AllinMank0 dayo,158.00,0.10
257,VENETRU,158.00,0.10
258,michelim 2,157.50,0.10
259,Valcacec,157.00,0.10
260,Caligula_1,157.00,0.10
261,Bulletrec,155.50,0.10
262,ElProfemagic,155.00,0.10
263,fominha,155.00,0.10
264,UrusMartan1994,154.50,0.10
265,aav1koo,154.00,0.10
266,Qiang G,154.00,0.10
267,El_Nueve9,154.00,0.10
268,pol221,153.00,0.10
269,jonaRCM,153.00,0.10
270,bigluckdog,152.00,0.10
271,isava75,152.00,0.10
272,7E7RA,151.50,0.10
273,Swamphiker,151.00,0.10
274,Hasset-thewolf,151.00,0.10
275,zapatito,151.00,0.10
276,GsWho,149.00,0.10
277,elbuda,149.00,0.10
278,dacw06,148.50,0.10
279,NoSkillNoLuck91,148.00,0.10
280,Karoln99,148.00,0.10
281,Raguezz,147.50,0.10
282,Necros777,147.00,0.10
283,AlPHA1545,147.00,0.10
284,xSpikeRx,147.00,0.10
285,lnxea,147.00,0.10
286,Eggie808,146.50,0.10
287,76lsp,146.00,0.10
288,WitckKing,145.50,0.10
289,wrthjke,145.00,0.10
290,mariorks1,145.00,0.10
291,Marvelous19,144.00,0.10
292,Laxante,143.50,0.10
293,Gun-N,143.50,0.10
294,Ank7673,143.00,0.10
295,Nano_persik,143.00,0.10
296,3ABOD4AHIH,142.00,0.10
297,Alexorloffs,141.00,0.10
298,phoen1x13,141.00,0.10
299,Szczecin!,141.00,0.10
300,gunsandglory,141.00,0.10
301,Wangwang8888,141.00,
302,defencee,140.00,
303,procherk-,140.00,
304,Wardienn,140.00,
305,DaniGG,140.00,
306,Audit88,140.00,
307,Ganjalf94,140.00,
308,MuncheeseNL,140.00,
309,Iplayinplus,139.00,
310,Faker1@,138.50,
311,lymnnmyl,138.00,
312,cDad@2022,138.00,
313,soldier47k,137.00,
314,AngukaNayo,137.00,
315,Pharrmell PL,136.00,
316,CrPrs,135.00,
317,MagNet0,135.00,
318,Aleh07,135.00,
319,WinLWin,135.00,
320,Redwaer,135.00,
321,NapoleOnTilt,134.50,
322,PolonyiKing2005,134.00,
323,Borisova V,134.00,
324,XB1IVIXN,134.00,
325,hhjany,133.50,
326,ComanderKen21,133.00,
327,A6blpBaJIr,133.00,
328,fedep25,133.00,
329,DVsobaka,133.00,
330,Lihotvor,132.50,
331,Bonia06,132.00,
332,DanWhite,132.00,
333,the_new_day,132.00,
334,bambinosaur,131.00,
335,marko1987,131.00,
336,shukibas1,131.00,
337,vjctor,131.00,
338,DEMOASUS,131.00,
339,carlos444,131.00,
340,bolitadealgodon,131.00,
341,DKender,131.00,
342,Prevalue,130.00,
343,int608,129.00,
344,ImBoy,129.00,
345,TroyalFlush,129.00,
346,xTURBOKILLERx,129.00,
347,Pardorif,129.00,
348,Delta8-THC,129.00,
349,Creus37,129.00,
350,shelfy,129.00,
