Rank,Nickname,Points,Prize
1,And then you,6897.50,150.00
2,000982@,6248.00,120.00
3,hzc3,6013.00,100.00
4,yukleo,4599.00,85.00
5,neverfoldes,3621.00,70.00
6,dysonman89,3579.00,55.00
7,KOORA3,3367.00,45.00
8,Smeargle,2766.50,35.00
9,DeepAntE,2583.00,30.00
10,MZ998,2581.00,25.00
11,VictorIon,2402.50,25.00
12,Chan Chu,2289.00,20.00
13,rocKoK,2227.50,20.00
14,shake ying,2159.00,20.00
15,Javelove,2098.00,18.00
16,Perro Dinero,1914.00,18.00
17,Navuhodonosr,1901.00,16.00
18,ConkeyDong,1864.50,16.00
19,BaddTeddy,1856.00,15.00
20,StrongerRicher,1850.00,14.00
21,ENEMC15,1803.50,13.00
22,KLLLLL,1679.50,13.00
23,FocusLebao,1634.00,12.00
24,InFlowState,1594.00,12.00
25,Paszuly,1590.00,11.00
26,derxiahei,1487.00,11.00
27,Dkdynamite,1480.00,11.00
28,ragerB,1437.00,10.00
29,Rafafa,1418.00,10.00
30,SCounterS,1411.50,10.00
31,A-BAO,1353.00,9.00
32,Quebracho_EV,1329.00,9.00
33,am riduri,1291.00,9.00
34,abu1086,1230.00,8.00
35,Enlassombras,1217.00,8.00
36,krunz,1186.00,8.00
37,Maxplan,1170.50,8.00
38,5_hawn,1105.00,7.00
39,Hugo de Groot,1052.00,7.00
40,Saato-Sale,1041.00,7.00
41,DiWangJing,1034.00,6.00
42,fearteller,1029.00,6.00
43,V9527V,1013.00,6.00
44,Lushao888,978.00,6.00
45,VasiBanu,963.00,6.00
46,Super_Hans_,963.00,6.00
47,TOmodell,950.00,6.00
48,KobraKGY,932.00,6.00
49,MaG T,910.00,6.00
50,TheKub@n,901.00,6.00
51,Plutonium239,884.00,5.00
52,Nikolaikos63,858.50,5.00
53,waitekb,834.00,5.00
54,SIRIE,825.50,5.00
55,Tomski88,814.00,5.00
56,MidOne1,808.50,5.00
57,VCLi15,804.50,5.00
58,DOHK1XOT,789.50,5.00
59,smoothfish,789.00,5.00
60,GEORGIAN MAN,770.00,5.00
