Rank,Nickname,Points,Prize
1,And then you,5896.00,150.00
2,Smeargle,4638.00,120.00
3,000982@,4214.00,100.00
4,Igor Dyadyuk,4140.50,85.00
5,DCB1234,3961.50,70.00
6,KOORA3,3416.00,55.00
7,A-BAO,3176.50,45.00
8,yukleo,3149.00,35.00
9,ConkeyDong,2732.00,30.00
10,Compostela,2427.00,25.00
11,ALLPC,2424.00,25.00
12,JogaBonito11,2331.00,20.00
13,Quebracho_EV,2092.00,20.00
14,Chan Chu,1986.00,20.00
15,Silly goose,1704.00,18.00
16,ragerB,1646.00,18.00
17,shake ying,1646.00,16.00
18,SBSTNBOCCO,1645.00,16.00
19,DiWangJing,1597.00,15.00
20,BaddTeddy,1549.50,14.00
21,Monellerma,1523.00,13.00
22,Alan Watts,1482.00,13.00
23,SpravaMyasoBlt,1476.00,12.00
24,fearteller,1448.00,12.00
25,dalepalmer,1423.00,11.00
26,Edelweiss128,1381.00,11.00
27,derxiahei,1367.00,11.00
28,RSNL,1366.00,10.00
29,wozhinengying,1355.00,10.00
30,Shen Anisiia,1332.00,10.00
31,waitekb,1297.50,9.00
32,SlyShadow,1268.00,9.00
33,ENEMC15,1210.50,9.00
34,PacPacN1,1143.00,8.00
35,PKWiz,1138.00,8.00
36,rocKoK,1133.00,8.00
37,goodriver111,1127.00,8.00
38,VasiBanu,1118.00,7.00
39,yayalailo,1088.00,7.00
40,StrongerRicher,1086.00,7.00
41,VictorIon,1060.00,6.00
42,June The Shark,1046.00,6.00
43,fish2026fish,1007.00,6.00
44,kkchena,1006.00,6.00
45,MidOne1,978.50,6.00
46,Super_Hans_,953.00,6.00
47,U-C-O,927.50,6.00
48,OcuIus Tertius,920.00,6.00
49,MZ998,915.00,6.00
50,ArthurCorda,914.00,6.00
51,Violet@,890.00,5.00
52,DopeKill,888.00,5.00
53,Plutonium239,875.00,5.00
54,Enlassombras,868.00,5.00
55,Tomski88,865.00,5.00
56,Dhhjk,852.00,5.00
57,HardAndLong,851.50,5.00
58,yuan001yuan,817.00,5.00
59,ZHANZHISHENG,808.50,5.00
60,111XXX,804.00,5.00
