Rank,Nickname,Points,Prize
1,bad nick,2087.50,500.00
2,Evannnnnnn,1825.00,400.00
3,Diego Emperador,1816.00,320.00
4,derHeinrich,1807.00,260.00
5,Djon Wik,1770.00,210.00
6,onetimenamera,1400.00,170.00
7,LonelyBrainCell,1305.50,140.00
8,illlililil,1216.00,110.00
9,Angelo Krom,1195.50,90.00
10,End of Summer,1102.50,70.00
11,Jonathan___,1097.50,70.00
12,Ignacio Puebla,1083.00,60.00
13,ToxicF[][][][]r,964.00,60.00
14,GiorDream,939.50,60.00
15,Evil horse,938.00,60.00
16,Pikoro,912.00,60.00
17,Juan Marquez,899.00,60.00
18,LosMuchosHeapos,864.00,50.00
19,LunarWisp,815.00,50.00
20,OneDecision,810.00,50.00
21,Rafal Maluchnik,717.50,50.00
22,DobbyNoBluffea,599.00,50.00
23,o0oo,592.00,50.00
24,C Chassagne,574.00,50.00
25,Btrthnyou,566.00,40.00
26,F Kapetanovic,540.00,40.00
27,Hey________Bong,538.00,40.00
28,YourSweetLover,529.00,40.00
29,Nelfi,528.00,40.00
30,OriVH30o,512.00,40.00
31,Filip685,504.00,40.00
32,Lucky_fans,503.50,40.00
33,GenghisKhan_,502.00,40.00
34,fish20260114,487.50,40.00
35,memakebighand,469.00,40.00
36,Diego A Torres,405.00,40.00
37,Tu Bui,396.50,30.00
38,ll_Kiwicito_ll,393.00,30.00
39,M Kaliszewicz,380.00,30.00
40,Ameliovich,355.00,30.00
41,Melker Almleaf,346.00,30.00
42,HIGH ENERGY,342.00,30.00
43,Invisible MaN,336.50,30.00
44,biwei_9999,329.00,30.00
45,ProbablyFine,324.00,30.00
46,ProfitCut,322.00,30.00
47,Beer y GinTonic,311.50,30.00
48,MMelo,309.00,30.00
49,I Perez Peredo,298.00,30.00
50,SimbaJoJo,279.00,30.00
51,NITsvenKin,277.00,30.00
52,agamerr,276.00,30.00
53,ERA7ER,274.00,30.00
54,Dzflyhigh8888,268.50,30.00
55,DjiangoAA,262.00,30.00
56,iantampolski,262.00,30.00
57,Gelipter,256.00,30.00
58,Tom_tm,244.00,30.00
59,UsedToBluff,239.00,30.00
60,V Nebogin,237.00,30.00
61,Robin Lacey,234.00,25.00
62,Halfy Potter,233.00,25.00
63,Nikolo_Budkin,232.00,25.00
64,ceilingxholdus,226.00,25.00
65,Dase1n,223.00,25.00
66,Loven,214.00,25.00
67,Marko Lekic,202.00,25.00
68,Sea Dollars,200.00,25.00
69,Mentalizing,200.00,25.00
70,Azarix,199.00,25.00
71,Cnacu CoxpaHu,197.00,25.00
72,GGanador,189.00,25.00
73,Nickorama8,187.00,25.00
74,NMA922,185.00,25.00
75,LaliAgain,177.00,25.00
76,WhiteMaIe,173.00,25.00
77,IwantMiIIioN,171.00,25.00
78,Lukey27,169.00,25.00
79,Aamakualenalena,165.50,25.00
80,Flafercina,165.00,25.00
81,IoanLT,158.00,25.00
82,FrequencyRaiser,155.00,25.00
83,V85 TT,154.00,25.00
84,Koszi90,153.00,25.00
85,RichParents2006,150.00,25.00
86,ismailkartal,150.00,25.00
87,opaaaaaa,149.00,25.00
88,xingyunbaobao,146.50,25.00
89,Modo Divino,146.00,25.00
90,FlyingDisc,144.00,25.00
91,Enlassombras,144.00,
92,JohnBooker,143.00,
93,Fiishking,142.00,
94,Shawn Buchanan,132.00,
95,Janghjoo,131.50,
96,Pagenotfound4o4,131.00,
97,GoogleScholar,131.00,
98,MrVanWeyden,130.50,
99,ZzzzZzzzaa,130.00,
100,wenh8888,129.00,
