Rank,Nickname,Points,Prize
1,Brave Riu,4572.50,120.00
2,yahubom,4366.50,90.00
3,Anybix,4268.50,70.00
4,LostMyMindset,3268.50,55.00
5,whitespir1t,2585.00,40.00
6,JstDoIt,2229.00,30.00
7,StoicValue,2220.00,25.00
8,rekt_lol,2179.50,20.00
9,ZHANG SIYI,1836.50,15.00
10,BoRich888,1814.00,12.00
11,Noctiluca,1711.00,11.00
12,kali7ar,1438.00,11.00
13,VIVERON,1173.50,10.00
14,LelouchLulu,1085.00,10.00
15,yggdras1l,1072.00,9.00
16,smokepvc,1064.00,9.00
17,Yspenyanin1,1055.50,9.00
18,DoraemonTG,1055.00,8.00
19,GIVEMEUP99,1027.50,8.00
20,forrestrun,1024.00,8.00
21,OverbetOracle,1015.50,7.00
22,fish0017,1015.00,7.00
23,RadoroDaroSlavo,992.00,7.00
24,ArtofWaar,985.50,7.00
25,Y3llowL1ne,958.00,7.00
26,YourJinx,927.00,6.00
27,x-m8,902.00,6.00
28,Prince Dastan,895.00,6.00
29,XXW0414,883.00,6.00
30,Projakepro,874.00,6.00
31,Freesttyller,870.50,6.00
32,lyxlyc,869.00,6.00
33,SNUPOKER,831.50,6.00
34,Geronas,826.00,6.00
35,Skeletor8,821.00,6.00
36,NoCapJ,818.00,5.00
37,Picu10,817.00,5.00
38,Unpointment,814.00,5.00
39,Carnerahh,813.00,5.00
40,EasyKn0wn,804.00,5.00
41,Flurksenstein,795.00,5.00
42,erabur,795.00,5.00
43,Phoenix Lee,791.50,5.00
44,OdiosoNgreidoHR,774.50,5.00
45,Stackfu,766.50,5.00
46,Fortuna3,766.00,5.00
47,srybby,759.00,5.00
48,Elden_King,752.00,5.00
49,Boludo_Pe69,752.00,5.00
50,xNkjc,751.00,5.00
51,Fosteris1,736.00,5.00
52,IanDowie,703.00,5.00
53,Lamusydupacicho,702.00,5.00
54,chickenwing!,701.00,5.00
55,GHOST352,698.00,5.00
56,MeanMons,696.00,5.00
57,FaventeFato,690.00,5.00
58,XOZAIH,679.00,5.00
59,sunrunsun,678.00,5.00
60,Love9998,669.00,5.00
61,DanGs,659.50,4.00
62,HercegNovij,654.00,4.00
63,Pesm11,647.00,4.00
64,ChequieroVer,647.00,4.00
65,Kilo Czar,639.00,4.00
66,chiptome,599.00,4.00
