Rank,Nickname,Points,Prize
1,Zvezda,3339.00,200.00
2,tiger@02,2863.00,160.00
3,GTOAPPrentice,2561.00,130.00
4,ReiLuizinho,2092.00,100.00
5,Artem Semenichev,2078.00,80.00
6,htmht,1915.50,60.00
7,MAXSKII,1836.00,50.00
8,0ddsock,1803.50,40.00
9,ZeroEmpathy,1722.00,30.00
10,TetrisCulture,1585.50,25.00
11,EveryDayHere,1545.00,25.00
12,PaduaC,1481.50,20.00
13,PeraKoyote,1271.00,20.00
14,successus247,1252.00,20.00
15,feibro888,1247.50,20.00
16,michtheo,1210.00,15.00
17,linyiyue520,1193.00,15.00
18,DRAKE0THERULER,1182.00,15.00
19,TheCamel,1099.00,15.00
20,AlwaysTripping,1088.00,15.00
21,JeeJee888,1076.50,15.00
22,Betelgeuse X,1015.00,15.00
23,markezinjo,1004.00,15.00
24,ElShaddai,896.00,15.00
25,Chi_Yu_Ge,893.50,15.00
26,CtrlzCtrlV,870.00,10.00
27,yBePeHHo,862.00,10.00
28,marche_lino,840.00,10.00
29,PerritoMalvado,839.00,10.00
30,11CentoE11,832.00,10.00
31,IXI 101,814.00,10.00
32,stopcall,811.50,10.00
33,MaLiNa_00,784.00,10.00
34,raccoon_lake,771.00,10.00
35,Rickk Daltonn,759.00,10.00
36,Chainvkci,755.00,10.00
37,EV37,709.00,10.00
38,Picharacoach,707.00,10.00
39,grasun,703.00,10.00
40,drgarai,696.00,10.00
41,Mc4Bet,695.00,10.00
42,hamddung,693.00,10.00
43,KruhJeBuh,692.00,10.00
44,chisG94,683.00,10.00
45,Xtar,649.00,10.00
46,Projakepro,649.00,10.00
47,ZzzzZzzzaa,645.00,10.00
48,Chocolate Ace,642.00,10.00
49,HerCyborg,638.00,10.00
50,ftdff,630.50,10.00
51,hdakhahda,610.00,8.00
52,Vernaschi!,589.00,8.00
53,no hair,587.00,8.00
54,HardLines______,570.00,8.00
55,6 of hart,555.00,8.00
56,I Spin I Win,548.00,8.00
57,I_AM_GEM,542.00,8.00
58,Pasti11,531.00,8.00
59,Thin-Value,531.00,8.00
60,TiltedAgain,524.00,8.00
61,JimmyChang!,514.50,8.00
62,Honami Ichinose,509.00,8.00
63,Panaprime,502.00,8.00
64,AllinG1,499.00,8.00
65,Cikooo48,495.00,8.00
66,KILLSHARKS,491.50,8.00
67,whitespir1t,491.00,8.00
68,Valery Gukasov,490.00,8.00
69,stillerror,485.00,8.00
70,EasyPeeler,480.00,8.00
71,Vlad V,474.00,8.00
72,Bangkok Climber,473.50,8.00
73,Grudizey7,459.50,8.00
74,wanjia567,455.00,8.00
75,srybby,455.00,8.00
76,HighRollerJW,455.00,8.00
77,MATE0507,453.00,8.00
78,lDhariusl,451.00,8.00
79,DameDolla5,436.00,8.00
80,Unblocker,433.00,8.00
81,pureCu,433.00,6.00
82,Budilnik666,430.00,6.00
83,Shawn ye,421.50,6.00
84,WilliamMunny,392.00,6.00
85,yanemo,389.00,6.00
86,Sss9527,387.00,6.00
87,TheAndejos,385.00,6.00
88,Stackfu,379.50,6.00
89,Guglielmo,379.00,6.00
90,BojanPetrovic,376.00,6.00
91,lauraman,374.00,6.00
92,FoldinatorX,372.00,6.00
93,Goodbyepika,366.00,6.00
94,Sztea98,366.00,6.00
95,EXISTTENCE,361.50,6.00
96,Jamanda,356.00,6.00
97,seapanda,353.50,6.00
98,JackOVO,342.00,6.00
99,obesed22,339.00,6.00
100,Zuanshii,336.00,6.00
101,Antonymous,331.00,6.00
102,Lucas_MS,331.00,6.00
103,guizilaila,330.50,6.00
104,ZushaShochat,327.00,6.00
105,BDS91,321.00,6.00
106,Denepenzon,321.00,6.00
107,Dechupete,318.00,6.00
108,Stuar_Two,317.00,6.00
109,Vip Chen Hong,315.00,6.00
110,WiIITheWise,311.00,6.00
111,ChinoMoren0,310.00,5.00
112,natiNN,309.00,5.00
113,Kalin1024,305.50,5.00
114,Manuel Ruivo,305.00,5.00
115,Road2LS,300.50,5.00
116,HCISTHEBEST,298.50,5.00
117,pozy,296.00,5.00
118,Creiben,294.00,5.00
119,Fish 1984,292.50,5.00
120,yungCouch,289.00,5.00
121,Kertonia,288.50,5.00
122,KycoK_@B4apKu,279.00,5.00
123,Fermu,279.00,5.00
124,nypoker1986,279.00,5.00
125,Luzna_guma,278.00,5.00
126,no twice,278.00,5.00
127,YourJinx,277.00,5.00
128,tl_joker,276.00,5.00
129,Fosteris1,269.00,5.00
130,PlsMakeMoney,268.00,5.00
131,Jm901x,265.00,5.00
132,GTO6,260.00,5.00
133,Lexa___,257.00,5.00
134,ALLinSebi,256.50,5.00
135,zsergo,250.50,5.00
136,skilibilli,249.00,5.00
137,mppss,243.00,5.00
138,goedzo,242.00,5.00
139,SFC HUIAAI,239.00,5.00
140,Stoffer,239.00,5.00
141,bluffingbard,236.00,5.00
142,Cho Ku Rei,235.00,5.00
143,MartLaar,234.00,5.00
144,um777rc,234.00,5.00
145,TonyjonnyAA,230.00,5.00
146,KIMBUMSOO,229.00,5.00
147,syzygy22,227.00,5.00
148,FreddyTheFirst,226.50,5.00
149,issarahhh,225.00,5.00
150,Nesakyk_Mamai,224.00,5.00
