Rank,Nickname,Points,Prize
1,SirPaul,1245.00,1200.00
2,hippo132327,796.50,800.00
3,Hengsheng Lin,554.50,550.00
4,Liam Brooker,527.00,430.00
5,BerryTTT,512.50,390.00
6,Dano Vloemans,505.50,350.00
7,Agustin Coelli,428.00,320.00
8,Plsdontbluff,424.50,290.00
9,Gabor Burgony,420.00,260.00
10,Roeland Peeks,374.00,240.00
11,N Dobrachev,370.00,220.00
12,Zeljko Tokic,364.00,200.00
13,I MP I,326.00,180.00
14,J Schusteritsch,275.00,170.00
15,Owl Howell,273.50,160.00
16,psyhoagromor,262.00,160.00
17,Gooodcards,253.00,150.00
18,Roman Duong,247.00,140.00
19,Alex Wejdrup,229.00,130.00
20,P Sekinger,218.00,120.00
21,MillonaireWolf,209.00,120.00
22,TropicalTilt,175.50,110.00
23,Jan Rullkoetter,172.50,110.00
24,AV3RAGE,161.50,100.00
25,Btking,153.00,100.00
