Rank,Nickname,Points,Prize
1,Agustin Coelli,404.00,1200.00
2,Hengsheng Lin,285.00,800.00
3,Afouteza,256.00,550.00
4,J Schusteritsch,234.00,430.00
5,Gilinane,201.00,390.00
6,Robin Schmitt,180.00,350.00
7,GREAGYPoker,138.00,320.00
8,Anvar Muratov,137.00,290.00
9,PiscoSour,124.00,260.00
10,A Cvetkovic,118.00,240.00
11,Zeljko Tokic,117.00,220.00
12,2pigs1pot,111.00,200.00
13,KONGfuPANDA,108.50,180.00
14,Angelo Krom,105.50,170.00
15,I MP I,76.00,160.00
16,Roman Duong,72.00,160.00
17,FundingSecured,71.00,150.00
18,Btking,70.50,140.00
19,Mister_MJ,66.00,130.00
20,Fxltsby,57.00,120.00
21,CiuciMima,57.00,120.00
