Rank,Nickname,Points,Prize
1,Osgiliath,1741.50,750.00
2,bad nick,1398.50,580.00
3,Azarix,1339.00,450.00
4,Siebe Hartog,1320.00,350.00
5,RIMV0RD,1266.00,270.00
6,Beer y GinTonic,1260.00,230.00
7,NOGame Life,1185.00,210.00
8,BasiniK,1140.00,190.00
9,ACDC7Rock,1094.00,170.00
10,Mugi-Chan,949.00,150.00
11,Angelo Krom,921.50,140.00
12,Cameron Couch,890.00,130.00
13,WhataRiver,822.00,120.00
14,Less is more@,759.50,110.00
15,Roman Duong,753.50,100.00
16,Zeljko Tokic,726.00,100.00
17,Andrey Kuklin,723.50,90.00
18,Melker Almleaf,675.00,90.00
19,AAlleyOOp,655.00,80.00
20,Matheus Souza,639.00,80.00
21,forh7,638.00,70.00
22,P Sekinger,620.00,70.00
23,F Nuetzel,610.50,70.00
24,SHIHKA777,608.00,70.00
25,EchoTakeover,601.00,60.00
26,ILoveYOuall,559.00,60.00
27,FitzyE,546.00,60.00
28,G Kovari,542.00,50.00
29,DMTAlien,491.00,50.00
30,P Hasenburger,449.00,50.00
31,Plsdontbluff,442.00,
32,lIlIIlIIIllIlI,421.50,
33,zmbyyzvv,419.50,
34,Dano Vloemans,402.00,
35,Sharp red hands,366.00,
36,Levente Szabo,355.00,
37,kazzy,345.00,
38,isoahti,339.00,
39,Pagenotfound4o4,338.00,
40,Pathetic Beluga,288.00,
