Rank,Nickname,Points,Prize
1,Leandro Souza,2745.50,350.00
2,WiIITheWise,2011.50,270.00
3,Ifoundthem,1863.00,210.00
4,AZHU88,1706.00,170.00
5,TiltedDetective,1591.00,130.00
6,Stevie Jazz,1549.00,100.00
7,fengfenghuohu,1390.00,80.00
8,ReiLuizinho,1220.50,60.00
9,Barry1961,1207.00,50.00
10,2titi,1186.00,50.00
11,Nikolo_Budkin,1169.00,40.00
12,BBeatClownfish,1085.00,40.00
13,Richard Martin,1035.00,30.00
14,CatETH,1031.00,30.00
15,OtbBigGandon,966.00,30.00
16,iNoBluf,915.00,30.00
17,LuckyStrike2026,897.00,25.00
18,ERA7ER,839.00,25.00
19,JC Saavedra,836.00,25.00
20,Qian_Qian,795.00,25.00
21,Caipirinhas,794.00,25.00
22,Erandiel,789.00,25.00
23,Fettleif,779.00,25.00
24,S Kaiba,727.00,20.00
25,Kakic,723.00,20.00
26,mikekal98,698.00,20.00
27,krosse-hosse,685.00,20.00
28,Reg-Hunter,669.00,20.00
29,Jomeiker,667.50,20.00
30,andrechuvak1,657.00,20.00
31,wenh8888,648.00,20.00
32,Yipee,634.00,20.00
33,Shai2okC,630.00,20.00
34,Gumshark,603.00,15.00
35,Rick Rule,595.00,15.00
36,Kerchak,586.00,15.00
37,yilufa8,512.00,15.00
38,o0oo,501.00,15.00
39,JessSlash96,501.00,15.00
40,tOxic_toxiC,497.50,15.00
41,ManOnFire0,490.00,15.00
42,MaestroRUS,488.00,15.00
43,GinTOnick,482.00,15.00
44,Aamakualenalena,482.00,15.00
45,AsanteOnwatugwu,481.00,15.00
46,Eagleeye87,481.00,15.00
47,laoyuwangka,480.00,15.00
48,Zetetic,453.00,15.00
49,ElShaddai,452.50,15.00
50,R Malakhov,448.00,15.00
51,GeneralSiska,447.00,15.00
52,FriendlyGambool,437.00,15.00
53,Nikita_205,429.00,15.00
54,V Kharitonov,411.00,15.00
55,zrv_258k,410.00,15.00
56,Egor Bryzgalov,409.00,15.00
57,AllinG1,403.00,15.00
58,A Ilin,397.00,15.00
59,MMX1,386.00,15.00
60,StrepsilsDOG,385.00,15.00
61,Xvmiles,384.00,15.00
62,V85 TT,378.00,15.00
63,G Reis Santos,376.00,15.00
64,Thu_X,376.00,15.00
65,macauk,371.50,15.00
66,Armada__,365.00,15.00
67,kidutu,356.00,15.00
68,ZzzzZzzzaa,355.00,15.00
69,dentersmsi,353.00,15.00
70,DOOMSWITCHER,349.00,15.00
71,D300,348.00,10.00
72,Lorne Malvo,339.00,10.00
73,IWILLKOYOU,321.00,10.00
74,JackpotBee,316.00,10.00
75,BBJey,309.00,10.00
76,Internetive,308.00,10.00
77,flowstate23,306.00,10.00
78,Big Ange,301.00,10.00
79,shtrfgb,295.00,10.00
80,InFIlux,295.00,10.00
81,SeregaChe,290.00,10.00
82,HerCyborg,289.00,10.00
83,plzW,284.00,10.00
84,GraciasDios22,272.00,10.00
85,Nightwish !,266.00,10.00
86,D Zabolotni,265.00,10.00
87,whyaIwaysme,263.00,10.00
88,YimoZhong,262.00,10.00
89,End1,261.00,10.00
90,Sea Dollars,261.00,10.00
91,LadyShippo,240.00,10.00
92,LetsGoSmokes,240.00,10.00
93,GTOvsGTA,238.00,10.00
94,AbuDhabi999,231.00,10.00
95,Martin Vialla,226.00,10.00
96,Danie72,224.00,10.00
97,pekson12,217.00,10.00
98,Fiishking,215.50,10.00
99,RayAHym,215.00,10.00
100,Sassh,209.00,10.00
101,Evil horse,202.00,10.00
102,callpls14,201.00,10.00
103,twill,199.00,10.00
104,Elmddd,198.00,10.00
105,Wilma1011,198.00,10.00
106,Chipopotamus,196.00,10.00
107,Yoganraj,193.00,10.00
108,SuperCoupang,192.00,10.00
109,Vasilev Vlad,191.00,10.00
110,BogdanIonut,189.00,10.00
111,TatiShoveAir,185.00,
112,Magicman71,182.00,
113,Coco529,181.50,
114,S-carlett,181.00,
115,AbsoluteChad,180.00,
116,gfdq,177.00,
117,Kennyccw,171.00,
118,CheeseKonig,170.00,
119,OnlyWins69,168.00,
120,no hair,167.00,
121,GGEZGG,163.00,
122,BluecolD,162.00,
123,Fuga89,157.00,
124,PUIIN,156.00,
125,ipayeff,155.00,
126,Volkodav3103,154.00,
127,Strong Tang,154.00,
128,Vastsa,153.00,
129,TON618-BH,148.00,
130,xueying2023,145.50,
