Rank,Nickname,Points,Prize
1,Zlata Roka,1887.50,500.00
2,derHeinrich,1770.00,400.00
3,Diego Emperador,1727.00,320.00
4,Andrew Tate III,1606.00,260.00
5,LonelyBrainCell,1252.00,210.00
6,LunarWisp,1185.50,170.00
7,onetimenamera,1144.50,140.00
8,Pavel Meshkov,964.50,110.00
9,IIllIIllI,832.00,90.00
10,Sergio_Virgin,797.00,70.00
11,Pikoro,794.00,70.00
12,F Kapetanovic,785.00,60.00
13,Lucky_fans,754.00,60.00
14,fish20260114,738.50,60.00
15,Btrthnyou,719.00,60.00
16,Jonathan___,718.00,60.00
17,LosMuchosHeapos,712.00,60.00
18,Tu Bui,677.50,50.00
19,PuntyMcPunt,664.00,50.00
20,Filip685,652.00,50.00
21,DjiangoAA,640.00,50.00
22,G Reis Santos,626.00,50.00
23,illlililil,570.50,50.00
24,Nespresso26,564.50,50.00
25,VHDY,539.00,40.00
26,Juan Marquez,539.00,40.00
27,ERA7ER,531.00,40.00
28,HoldTheFort,520.00,40.00
29,Evil horse,494.00,40.00
30,Ignacio Puebla,480.00,40.00
31,DobbyNoBluffea,475.00,40.00
32,AbundanceFlow,461.00,40.00
33,OriVH30o,461.00,40.00
34,C Chassagne,450.00,40.00
35,M Kaliszewicz,449.00,40.00
36,OneDecision,423.00,40.00
37,And Stoenescu,415.00,30.00
38,NITsvenKin,407.00,30.00
39,Yipee,405.00,30.00
40,Robin Lacey,389.50,30.00
41,LaliAgain,386.50,30.00
42,Aamakualenalena,368.00,30.00
43,MachoAppa,363.00,30.00
44,Modo Divino,322.00,30.00
45,fangfeiaa,316.50,30.00
46,GiorDream,311.50,30.00
47,Dase1n,302.00,30.00
48,G@R@,301.50,30.00
49,Buzzcut,296.00,30.00
50,Azarix,296.00,30.00
51,Djon Wik,290.00,30.00
52,WhiteMaIe,272.00,30.00
53,Hidemi-,260.00,30.00
54,Cnacu CoxpaHu,259.00,30.00
55,Pagenotfound4o4,258.00,30.00
56,ParisDedes,257.00,30.00
57,C4shUnutsGai,252.00,30.00
58,Ameliovich,244.00,30.00
59,YourSweetLover,240.00,30.00
60,Diego A Torres,232.00,30.00
61,K Markakis,230.00,25.00
62,agamerr,227.50,25.00
63,Teufelhohle!,227.00,25.00
64,Raiser Th!n,226.00,25.00
65,Gelipter,226.00,25.00
66,Kruzzzin,214.50,25.00
67,GrahamGooch,213.00,25.00
68,HIGH ENERGY,205.00,25.00
69,ILOVEYE,203.00,25.00
70,Mikhail Kotov,194.00,25.00
71,EvilSm1Le,191.00,25.00
72,OhDidIWin,188.00,25.00
73,Beer y GinTonic,184.50,25.00
74,Invisible MaN,181.00,25.00
75,Mentalizing,181.00,25.00
76,opaaaaaa,179.00,25.00
77,RichParents2006,178.00,25.00
78,D Vicente,175.00,25.00
79,MOKITOKY,174.00,25.00
80,Enlassombras,173.00,25.00
81,Franklinzz,172.50,25.00
82,Lisan al-Gaib!,172.00,25.00
83,Richard Martin,172.00,25.00
84,memakebighand,167.00,25.00
85,Shiny__Flakes,166.50,25.00
86,Marco Zevola,166.00,25.00
87,Universal Mind,166.00,25.00
88,Miha Gabric,163.50,25.00
89,Halfy Potter,158.00,25.00
90,23magic,157.00,25.00
91,Jalmari,152.00,
92,UUTTKX,152.00,
93,Fredy1287,150.00,
94,Whakapapa,149.00,
95,jajajajagigigi,149.00,
96,Rodrigo Paredes,144.00,
97,IntoTheVoid,141.00,
98,LeLoup24,141.00,
99,DannyTango,140.00,
100,CrazyWIN,139.00,
