Rank,Nickname,Points,Prize
1,allinxi,4434.50,120.00
2,Ovahmind,4314.00,90.00
3,whitespir1t,3095.00,70.00
4,SKAS18,2390.50,55.00
5,Magzy,2184.50,40.00
6,sunrunsun,2018.50,30.00
7,kwbbbnm,2015.00,25.00
8,Love2023,1761.50,20.00
9,AnD19990,1693.50,15.00
10,yggdras1l,1527.00,12.00
11,saaaaaar,1514.50,11.00
12,neo79,1510.00,11.00
13,DarkArts,1501.00,10.00
14,sAnt1n1,1390.00,10.00
15,nestorbloque,1349.00,9.00
16,admaika,1238.00,9.00
17,erabur,1227.00,9.00
18,htmht,1218.00,8.00
19,BoRich888,1188.00,8.00
20,NLBR,1176.00,8.00
21,AtaTheGreat,1140.00,7.00
22,BigBetCat,1118.00,7.00
23,WhoChuLev,1064.00,7.00
24,OdiosoNgreidoHR,1041.00,7.00
25,fish0017,1037.00,6.00
26,LelouchLulu,1021.00,6.00
27,TILTLESS!,1015.00,6.00
28,brozevv,1011.00,6.00
29,Dorian Yang,1006.50,6.00
30,999kkk,1005.00,6.00
31,NIUXZ,1001.00,6.00
32,Prince Dastan,994.50,6.00
33,GoodTasteX,948.00,6.00
34,china-fishy,944.00,5.00
35,Skeletor8,921.00,5.00
36,Waihekemi,918.00,5.00
37,Marat_Karimov,916.00,5.00
38,SinnerAce,916.00,5.00
39,trotmant,866.00,5.00
40,VSlow,860.50,5.00
41,Carnerahh,855.00,5.00
42,MuGe_,855.00,5.00
43,Tutuzin145,851.00,5.00
44,Keepi19,850.00,5.00
45,Virtud,820.00,5.00
46,Cosm!co,817.00,5.00
47,YL poker,816.00,5.00
48,GrMagician,811.00,5.00
49,North Point,802.00,5.00
50,zurdo2488,789.00,5.00
51,CMLZ,765.00,5.00
52,Jim _,748.00,5.00
53,Drag_47,745.00,5.00
54,Chocolate Ace,727.00,5.00
55,crybaby,723.00,5.00
56,Love9998,719.50,5.00
57,XXW0414,706.50,4.00
58,bayaraa bayaraa,700.50,4.00
59,JEEGROBO,696.00,4.00
60,Light01,683.00,4.00
61,VIVERON,678.00,4.00
62,7ZZZ7,677.00,4.00
63,4EverBessa,667.00,4.00
64,hgf19753,656.50,4.00
65,Fish 1984,651.50,4.00
66,Dogun,647.00,4.00
67,Ch@0t1c,646.00,3.50
68,Chinese Kungfu,642.50,3.50
69,jonbake,641.00,3.50
70,forrestrun,631.00,3.50
71,ObliqueFable,630.00,3.50
72,Peer Gynt,629.00,3.50
73,OverbetOracle,614.00,3.50
74,merely thus,612.00,3.50
75,Eemil444,612.00,3.50
76,Alinoe,609.00,3.50
77,J_Dianda,603.00,3.50
78,Torreslwp,594.50,3.50
79,Sibirbear,591.00,3.50
80,StoicValue,575.00,3.50
81,Kenny Schaeffer,573.00,3.50
82,Majstorsmora,572.00,3.50
83,LAFELLA1,569.00,3.50
84,ClamdownB,568.00,3.50
85,Castertroy1979,560.00,3.50
86,Kh@LL@S,552.00,3.50
87,MarcoVeIIii,552.00,3.50
88,Otecgoda,549.50,3.50
89,stillerror,549.00,3.50
90,Yspenyanin1,549.00,3.50
91,fakene,539.00,3.50
92,crgy9,538.00,3.50
93,eesueesu,533.00,3.50
94,ArtofWaar,529.00,3.50
95,PE_Unknown,527.00,3.00
96,Vexilo,525.00,3.00
97,HiTTo4Flop,515.00,3.00
98,DonkDoughnut,510.50,3.00
99,Block Story,510.00,3.00
100,Mrs MIYAGI,508.00,3.00
101,queen of clover,505.00,3.00
102,wwinorgohome,500.50,3.00
103,Pesm11,495.00,3.00
104,thurarbyshel,490.00,3.00
105,Phoenix-like,475.00,3.00
106,CVMCVMCVM,462.00,3.00
107,SilentAllIn,451.00,3.00
108,tothemoon__,450.00,3.00
109,Ship_to_Brazil,434.00,3.00
110,Sina Nikbakht,434.00,3.00
111,orbcrazyk,433.00,3.00
112,papaped,431.00,3.00
113,NitReg,426.00,3.00
114,GTOAPPrentice,416.00,3.00
115,EXISTTENCE,414.00,3.00
116,IoanLT,411.00,3.00
117,Delaynes,408.00,3.00
118,Kilo Czar,406.00,3.00
119,srybby,403.00,3.00
120,vickersssss,402.50,3.00
121,BarryDoinkman,401.00,3.00
122,MotkiBubu@Dudu,400.00,3.00
123,PutOnAHappyFace,400.00,3.00
124,squeezo,399.00,2.50
125,Wan_Booyn,399.00,2.50
126,enken68,399.00,2.50
127,IanDowie,395.00,2.50
128,Biggie2307,390.00,2.50
129,Poker rocks,385.00,2.50
130,Diifraa,384.00,2.50
131,GangJinns,381.50,2.50
132,lyxlyc,379.00,2.50
133,Leilabagi24,377.00,2.50
134,radzio40,375.00,2.50
