Rank,Nickname,Points,Prize
1,Grizs,1509.50,25.00
2,tristim,1464.00,20.00
3,chikipoker,1288.00,17.00
4,Warlocksword,1188.50,14.00
5,Jnn-,1161.00,11.00
6,Scuffed,961.00,9.00
7,IwanPower,955.00,8.00
8,Tokyo-Joe,921.00,7.00
9,Maksim2026,910.00,6.00
10,kas_i_ko_,885.50,5.00
11,Rokanive,854.50,4.00
12,SiempreEsHoy,840.00,3.50
13,MindTracker,746.50,3.50
14,Little fellow,730.00,3.00
15,kingjackMF,693.00,2.50
16,Patience2026,676.00,2.50
17,David Waa,670.00,2.50
18,AleksRistic,634.50,2.50
19,LittleLuckPlz,625.00,2.00
20,Jeff Beson,595.50,2.00
21,Yura66,590.50,2.00
22,alibaba_ma,541.50,2.00
23,EmptyheadPL,524.50,1.80
24,treeefidddy,517.00,1.80
25,GGr@y,517.00,1.80
26,Marshmallow54,510.00,1.60
27,Two7OfCards,509.00,1.60
28,1101yu,509.00,1.60
29,DDWXWYX,509.00,1.60
30,Ride Or Die,488.50,1.40
31,Vitaliee,479.00,1.40
32,I am PokerKing,472.50,1.40
33,JUEGAJR17,467.00,1.40
34,hwlm,454.00,1.20
35,PartiZanoMC,452.00,1.20
36,yanyun1,447.50,1.20
37,billy loomis,447.00,1.00
38,eden1st,441.00,1.00
39,crazvan,439.00,1.00
40,Ullaulle,437.00,1.00
41,kuijuikui,429.00,0.80
42,Delta8-THC,426.00,0.80
43,FragmatiGG,423.00,0.80
44,Lilyzoo,423.00,0.80
45,myluna6996,420.00,0.80
46,skoopp1,420.00,0.80
47,Petr333,415.00,0.80
48,ag3nt911,413.00,0.80
49,Mchis,397.00,0.80
50,3490123,397.00,0.80
51,V4zqu3zOrn,391.50,0.80
52,NetDepositor,389.00,0.80
53,A_Sedoi,383.00,0.80
54,Shabardin_88,380.00,0.80
55,alex_yang22,373.50,0.80
56,Lazarte-,373.00,0.80
57,CRMAllan,372.00,0.80
58,LeonBIG,371.50,0.80
59,Quattroruote,366.00,0.80
60,sl@rk,362.50,0.80
61,barbaneraZSU,358.00,0.60
62,AAbeatKK,356.50,0.60
63,sunrisegg,356.00,0.60
64,RUSLAN77778,350.50,0.60
65,F_L_H_S-YZ,350.00,0.60
66,Hide,344.00,0.60
67,zhangmei520,342.00,0.60
68,gram52,341.00,0.60
69,EV_Monster,339.00,0.60
70,QuickCR,337.50,0.60
71,Cuihuali,335.00,0.60
72,Apica,328.00,0.60
73,p_a_r_a_d_o_x,326.00,0.60
74,Mr 72o,326.00,0.60
75,kuzario 1,325.00,0.60
76,gunsandglory,319.00,0.60
77,Aleksey S,318.50,0.60
78,AlPHA1545,317.00,0.60
79,free@money,315.00,0.60
80,Paolocesar7,310.00,0.60
81,Bezbazarov,307.00,0.40
82,SVSFK,303.50,0.40
83,JMRomo,303.00,0.40
84,failureAA,303.00,0.40
85,PROFETA,303.00,0.40
86,DarlinGru,293.00,0.40
87,kim520,293.00,0.40
88,Eduard3812,286.00,0.40
89,sntiesot87,283.50,0.40
90,vosmiklinka,282.00,0.40
91,hrun,282.00,0.40
92,BBis,281.50,0.40
93,winkeke,281.00,0.40
94,NataLeeee,280.00,0.40
95,MaggieQueen,277.50,0.40
96,BlueDream96,275.50,0.40
97,Pohla,270.00,0.40
98,ZaLeaPoN!,269.00,0.40
99,cubacka,268.00,0.40
100,24fenix,261.50,0.40
101,Metal-Pescado,259.00,0.40
102,keluspionu,258.00,0.40
103,Makwinter,252.00,0.40
104,Shugaa,251.00,0.40
105,CharlesLee,249.00,0.40
106,George W Push,249.00,0.40
107,Askanix,248.00,0.40
108,LOL32212,248.00,0.40
109,Rehsif,248.00,0.40
110,smoker_36,246.00,0.40
111,Jager Meister,246.00,0.30
112,Pablo Burgos,245.00,0.30
113,olesaf,244.00,0.30
114,I_ E I_,240.00,0.30
115,Saratov64igrok,240.00,0.30
116,BMZPOKER,236.00,0.30
117,POPPOPOPO,232.00,0.30
118,HateCapitalism,231.00,0.30
119,CharlesInGame,231.00,0.30
120,Pr0mise,231.00,0.30
121,frangolokoo,231.00,0.30
122,N3ROX,230.00,0.30
123,E2GG,230.00,0.30
124,freestyle123,230.00,0.30
125,LucasG06,222.00,0.30
126,Bidjo_R,219.00,0.30
127,CatchAFishSandB,218.50,0.30
128,wyizhi44,218.50,0.30
129,Groxxxo,217.50,0.30
130,mariman99,217.00,0.30
131,Ihor Bondarenko,216.00,0.30
132,zcking,213.00,0.30
133,PimxiM_GG!!,212.00,0.30
134,apple_tree,211.00,0.30
135,Gabriale17,210.00,0.30
136,Laguznyak,210.00,0.30
137,tuquinho88,209.00,0.30
138,9Hours,208.00,0.30
139,A1batross,208.00,0.30
140,Nikolai218,208.00,0.30
141,kenopsia1,207.00,0.20
142,Buatra01,205.00,0.20
143,AuroraB0realis,205.00,0.20
144,Rusty Wite,201.50,0.20
145,BVGame,200.00,0.20
146,Kunungung,200.00,0.20
147,thonilopez,198.00,0.20
148,Kssena,198.00,0.20
149,Ed Miezitis,196.00,0.20
150,Bruh960118,196.00,0.20
151,CanCrusher,196.00,0.20
152,PayJump,194.50,0.20
153,HardBoiledEgg,194.00,0.20
154,MeJo[KPoNe],194.00,0.20
155,ALLEGRO888,192.00,0.20
156,UncleChip,192.00,0.20
157,ShyVob,192.00,0.20
158,Stephanie92,191.00,0.20
159,koderek,191.00,0.20
160,octan101,191.00,0.20
161,Tiamat777,191.00,0.20
162,ThugFish,189.00,0.20
163,OlvElBang,188.50,0.20
164,R Habibullin,188.00,0.20
165,WiniPush!,188.00,0.20
166,Juve161,188.00,0.20
167,Nubodav,185.00,0.20
168,leomonteiro20,185.00,0.20
169,Zuzi777,185.00,0.20
170,TheBushEater,185.00,0.20
171,AweemA,184.00,0.20
172,nicknametaken,183.00,0.20
173,solitario90,183.00,0.20
174,TerAn17,182.00,0.20
175,Evgenl2024,182.00,0.20
176,CAlm-Flame,181.50,0.20
177,denver23,181.00,0.20
178,AngukaNayo,180.00,0.20
179,ELINSBACK123,180.00,0.20
