Rank,Nickname,Points,Prize
1,BBProMax,45703.00,90.00
2,kruuuun,42572.00,70.00
3,Ni-JJ,40537.00,65.00
4,RSXR,39507.00,60.00
5,Liamjames,39098.00,55.00
6,zzouo1,34797.00,50.00
7,Diplomacia,33598.00,45.00
8,Transcend,33549.00,40.00
9,Summerrain,33252.00,35.00
10,Hate You,33195.00,35.00
11,seeseeKSQ,32715.00,30.00
12,kaijiayongshi3,31887.00,25.00
13,meguuu7,29954.00,20.00
14,exploit@gto,29471.00,15.00
15,ikunpoker,28264.00,10.00
16,Beleuta Alin,26610.00,10.00
17,HumbleJake,25059.00,9.00
18,Dracula69,24937.00,9.00
19,Hohohohohohoo,24461.00,9.00
20,wkpfss,22086.00,9.00
21,Woailulu,20962.00,9.00
22,breakingGrieven,20579.00,8.00
23,fishfry2026,20325.00,8.00
24,D@vidut,19282.00,8.00
25,techchang,18658.00,8.00
26,Munkh_,18224.00,8.00
27,LockMyClock,18168.00,7.00
28,runpoker,17576.00,7.00
29,im DZknow,17554.00,7.00
30,Trueteller_17,16728.00,7.00
31,kore0755,16442.00,7.00
32,Sleep_Tight94,16418.00,7.00
33,Gingues,16307.00,6.00
34,MiraclePandaSol,15447.00,6.00
35,Andre1995,15256.00,6.00
36,xy111,14978.00,6.00
37,Dianfu Zhao,14644.00,6.00
38,hsrf,14621.00,6.00
39,blackkiwi,14471.00,6.00
40,G4NSTA,13994.00,6.00
41,GGATM,13929.00,6.00
42,Kittyhaha,13927.00,6.00
43,Angmar,13769.00,6.00
44,BetBetAllin!!,13522.00,6.00
45,ggbao11,13520.00,6.00
46,mysterycrab,13501.00,6.00
47,CNdameng,12773.00,6.00
48,Bluff or not,12676.00,6.00
49,nomorelight,12667.00,6.00
50,PRace13,12588.00,6.00
51,Yursan6,12410.00,6.00
52,playASpsycho,12371.00,6.00
53,99mans99,12316.00,6.00
54,Colinww,12299.00,6.00
55,Magpie_,12205.00,6.00
56,ZeroTilt05,12113.00,6.00
57,AHTOOOXA,12035.00,6.00
58,HermanPoker,12017.00,6.00
59,Long_Lost,11670.00,6.00
60,XANDRRR,11622.00,6.00
61,T2NA,11486.00,6.00
62,SiTao911,11300.00,6.00
63,Mikevvv,11288.00,6.00
64,kumahits,11277.00,6.00
65,LarryOnTheMoon,11213.00,6.00
66,chriszz0,11158.00,6.00
67,M A N O N,11127.00,6.00
68,Angler_Fish,11039.00,6.00
69,Ruby777,11026.00,6.00
70,LongGGw,10898.00,6.00
71,Engapenga,10866.00,6.00
72,Leon_zik,10858.00,6.00
73,shenqiwubi,10820.00,6.00
74,Ackerrman,10534.00,6.00
75,never337,10462.00,6.00
76,Smart_ONE_,10403.00,6.00
77,XXXTiltacion,10362.00,6.00
78,fckbaba,10140.00,6.00
79,secrn poker,10092.00,6.00
80,Fancheck,10089.00,6.00
81,William Kassis,10034.00,5.00
82,Fr1423,9962.00,5.00
83,Naksu-,9766.00,5.00
84,Cosette,9703.00,5.00
85,Super SetMan,9697.00,5.00
86,cyyyy_2323,9675.00,5.00
87,KAVORKA,9674.00,5.00
88,Sway4Play,9623.00,5.00
89,eznieH,9358.00,5.00
90,yanguo111,9275.00,5.00
91,ExacT9,9088.00,5.00
92,Nangonglatiao,9076.00,5.00
93,Myrunbetter,9049.00,5.00
94,CTZNspade,9041.00,5.00
95,czz233,9003.00,5.00
96,Check7Mate,8999.00,5.00
97,Jason8444,8958.00,5.00
98,LargeHorse,8911.00,5.00
99,DIMAvBOSS,8860.00,5.00
100,liaochang,8843.00,5.00
101,yuuu123,8828.00,5.00
102,K O H A N,8814.00,5.00
103,IAmReal,8789.00,5.00
104,sharp shark,8729.00,5.00
105,pipecmolodec,8606.00,5.00
106,Adventus,8561.00,5.00
107,Machine Head,8531.00,5.00
108,Franky4fingerz,8520.00,5.00
109,fzloves,8490.00,5.00
110,acesulfamo,8473.00,5.00
111,mybaby,8449.00,5.00
112,Xalikis,8439.00,5.00
113,DuzyAleWariat,8406.00,5.00
114,5PL1T,8359.00,5.00
115,Wurli 70,8250.00,5.00
116,RveltAces32,8039.00,5.00
117,RunningEnot,8034.00,5.00
118,natgame,8034.00,5.00
119,Toms_,8009.00,5.00
120,luotu,7992.00,5.00
121,KasTas_,7974.00,5.00
122,kean1992,7966.00,5.00
123,ww_abab,7948.00,5.00
124,kR41[7mTzM92,7821.00,5.00
125,James_Zhi,7803.00,5.00
126,Tiloupp,7783.00,5.00
127,Eskorbulla,7782.00,5.00
128,CKA3KA!,7765.00,5.00
129,Swagger1,7754.00,5.00
130,P8241-8832,7750.00,5.00
131,j1aCenN,7740.00,5.00
132,J Oscar L,7740.00,5.00
133,lexaferz,7679.00,5.00
134,Jiu Shu,7647.00,5.00
135,ParvatianoPSY,7616.00,5.00
136,MPNL,7574.00,5.00
137,810-Sevastopol,7565.00,5.00
138,ironbet,7492.00,5.00
139,JACKYHU,7433.00,5.00
140,altertan,7374.00,5.00
141,MVP !,7344.00,5.00
142,hanhanh777,7335.00,5.00
143,ChillWinVibes,7320.00,5.00
144,kennyholsh,7306.00,5.00
145,raiseyournuts_,7305.00,5.00
146,GhostPants,7305.00,5.00
147,Nepenthes_A,7265.00,5.00
148,AT 0101,7245.00,5.00
149,heisenberg-sun,7244.00,5.00
150,Stan4o,7152.00,5.00
151,Veers,7141.00,5.00
152,MyYear,7125.00,5.00
153,hortex232,7093.00,5.00
154,mr-Felix,7078.00,5.00
155,fromoregon,7064.00,5.00
156,77vnbS,7027.00,5.00
157,Ris3,7023.00,5.00
158,Xenogears777,6994.00,5.00
159,Mistic_,6986.00,5.00
160,VukM24,6977.00,5.00
161,Im_Lucky_poker,6963.00,5.00
162,Ivan Louvsky,6958.00,5.00
163,Quattrox,6934.00,5.00
164,jinwanda-laohu,6925.00,5.00
165,Buddha Raises,6917.00,5.00
166,blufflots,6905.00,5.00
167,dabenxiong,6904.00,5.00
168,AMEX23,6894.00,5.00
169,Maximilien811,6866.00,5.00
170,koval_,6863.00,5.00
171,Neo53,6849.00,5.00
172,FishHunter2711,6838.00,5.00
173,Chia cute,6786.00,5.00
174,Gentleman001,6732.00,5.00
175,Nebo__,6718.00,5.00
176,W1PG05,6704.00,5.00
177,fengyin,6697.00,5.00
178,Unique88,6697.00,5.00
179,I need Justice,6658.00,5.00
180,FishWarmYou,6657.00,5.00
181,Slow Mobius,6651.00,4.00
182,habididi,6650.00,4.00
183,Pandaroro,6611.00,4.00
184,blackswan_style,6609.00,4.00
185,HakoJIeHuoJIeHu,6564.00,4.00
186,Big chicken 666,6552.00,4.00
187,NITSLASHER,6538.00,4.00
188,cpgogogo,6508.00,4.00
189,moneyprintrgobr,6501.00,4.00
190,TuringMachihe,6499.00,4.00
191,DoubleJazzy,6494.00,4.00
192,fnt59,6483.00,4.00
193,maxiponken,6474.00,4.00
194,DeNN1s23,6470.00,4.00
195,Bluff4life,6450.00,4.00
196,SOMA-9000,6415.00,4.00
197,Cloudesley,6362.00,4.00
198,KotuK_,6342.00,4.00
199,ruchey124441,6327.00,4.00
200,F_L_H_S-YZ,6317.00,4.00
201,FairPlayJack,6315.00,4.00
202,Horse_Pedro [2],6265.00,4.00
203,dabao poker,6242.00,4.00
204,EDUARDOAZ,6227.00,4.00
205,Perengi,6219.00,4.00
206,2026HSNM,6204.00,4.00
207,HittndRun,6196.00,4.00
208,Phil17,6179.00,4.00
209,Mr Splash,6150.00,4.00
210,Arui winner--,6138.00,4.00
211,Ponhish78,6134.00,4.00
212,China-fishy2,6108.00,4.00
213,Shqy,6081.00,4.00
214,Valleryy,6051.00,4.00
215,atonobolson,6051.00,4.00
216,space_dd,6030.00,4.00
217,Bimboslav,5944.00,4.00
218,UBASA,5905.00,4.00
219,Royal99904,5903.00,4.00
220,LordVVS,5892.00,4.00
221,zalpao,5887.00,4.00
222,bkccjh,5846.00,4.00
223,cmole,5838.00,4.00
224,WJ_S1mple,5830.00,4.00
225,rIver616,5825.00,4.00
226,1111111a,5824.00,4.00
227,Bladerunner1988,5800.00,4.00
228,gggnlm,5779.00,4.00
229,TAN1016,5750.00,4.00
230,Kookanee,5733.00,4.00
