Rank,Nickname,Points,Prize
1,rassvet_,51935.00,90.00
2,ppkkndwsi,41535.00,70.00
3,xinlu07113,39827.00,65.00
4,Wayennn,39094.00,60.00
5,TUOXIE047,34264.00,55.00
6,Born2Tilt,32538.00,50.00
7,Summerrain,31463.00,45.00
8,taka_333,30810.00,40.00
9,Prime_26,27816.00,35.00
10,liangzai12138,27244.00,35.00
11,Dianfu Zhao,26942.00,30.00
12,LockMyClock,26511.00,25.00
13,sora@joshua@,24989.00,20.00
14,sunny2066111,23375.00,15.00
15,kR41[7mTzM92,22477.00,10.00
16,BLIND RUNNER,21277.00,10.00
17,DukeNukemF,21179.00,9.00
18,MountainCat,21092.00,9.00
19,zZTheStarZz,20439.00,9.00
20,NTMR uni,19645.00,9.00
21,INA00a51,18983.00,9.00
22,charles_w,18550.00,8.00
23,mUrrrmUrrr,17851.00,8.00
24,TheTiltedClover,16976.00,8.00
25,PizzaSimo99,16435.00,8.00
26,ARCHI52,15958.00,8.00
27,ougmike,15778.00,7.00
28,seeseeKSQ,15642.00,7.00
29,exploit@gto,15547.00,7.00
30,DeckShawe,15459.00,7.00
31,Jason8444,15373.00,7.00
32,Qsyj,15100.00,7.00
33,herotiger,14820.00,6.00
34,BetBetAllin!!,14552.00,6.00
35,CPDiin,13974.00,6.00
36,Liamjames,13706.00,6.00
37,liomessigoat,13577.00,6.00
38,Artem Akbarov,13224.00,6.00
39,h8me0rl0veme,13153.00,6.00
40,arcshy,13102.00,6.00
41,HermanPoker,12965.00,6.00
42,Lak!poks,12856.00,6.00
43,natalia69,12823.00,6.00
44,linkBto,12642.00,6.00
45,paomarou,12551.00,6.00
46,techchang,12433.00,6.00
47,Morglay,12122.00,6.00
48,VLADIQPRIME,12092.00,6.00
49,Naksu-,12088.00,6.00
50,LawlessHeaven,12060.00,6.00
51,DLastGr1nder,11929.00,6.00
52,kirush123xxx,11921.00,6.00
53,dzklp,11869.00,6.00
54,BigBadWolf@,11631.00,6.00
55,JohnyX,11389.00,6.00
56,acesulfamo,11301.00,6.00
57,NAIBISHUI,11157.00,6.00
58,TTPH1,11097.00,6.00
59,Angler_Fish,11046.00,6.00
60,dalangwubian,10728.00,6.00
61,dfdsg,10489.00,6.00
62,Alvl1985,10432.00,6.00
63,zhangliweiSB,10309.00,6.00
64,Dantalion,10124.00,6.00
65,BogdanKID,10088.00,6.00
66,bacon1008,9907.00,6.00
67,AIFisherman,9892.00,6.00
68,AAcuscusAA,9881.00,6.00
69,TTT0909,9874.00,6.00
70,Alekseyz91,9807.00,6.00
71,neverheld,9713.00,6.00
72,XXXXX888,9710.00,6.00
73,BTN_Advantage,9677.00,6.00
74,Ur_Dad_Bod,9584.00,6.00
75,longthat6666,9577.00,6.00
76,HaramSpewtin,9432.00,6.00
77,czz233,9324.00,6.00
78,Ruby777,9147.00,6.00
79,Pokejuha,8976.00,6.00
80,doomedlol,8833.00,6.00
81,Wodex,8643.00,5.00
82,SOMA-9000,8622.00,5.00
83,LXHY0058,8612.00,5.00
84,BlufferVi,8564.00,5.00
85,Maririmo1,8471.00,5.00
86,sha ren mo,8464.00,5.00
87,forexlucky,8463.00,5.00
88,w2nctb,8433.00,5.00
89,BlueBull99,8423.00,5.00
90,bet_call_thx,8400.00,5.00
91,quanlll,8349.00,5.00
92,heuehuhueuhuehu,8236.00,5.00
93,play-it-smart,8227.00,5.00
94,Show Makers,8186.00,5.00
95,DimitarGeorgiev,8154.00,5.00
96,MadBear77,8137.00,5.00
97,HXL2378,8108.00,5.00
98,pilikitt9527,8106.00,5.00
99,Unique88,8083.00,5.00
100,GeoBot,8008.00,5.00
101,Neo53,7977.00,5.00
102,love dogs,7946.00,5.00
103,zaozao36,7940.00,5.00
104,usagipoker,7889.00,5.00
105,Nefertari Li,7876.00,5.00
106,Xenogears777,7843.00,5.00
107,Keepinhere,7829.00,5.00
