Rank,Nickname,Points,Prize
1,potatoPWR!,3659.00,100.00
2,zhenbing1,3154.00,80.00
3,ShootnicKK,3129.00,65.00
4,binbinAA,2620.00,50.00
5,freezee_9,2488.00,35.00
6,EltonLea,2353.00,25.00
7,27yarro86,2263.00,20.00
8,69Maszek,2225.00,16.00
9,TiKdnk,1941.00,13.00
10,Komoreb,1719.00,11.00
11,Caferacer1,1711.00,10.00
12,sunrunsun,1593.00,9.00
13,Projakepro,1555.00,9.00
14,MadThursday,1494.00,8.00
15,P4765-3012,1493.00,8.00
16,shomps_73,1472.00,8.00
17,FredBarto,1449.00,7.00
18,Vldrklkz,1431.00,7.00
19,excep,1232.00,7.00
20,Stonebreaker004,1207.00,7.00
21,M1ndPro99,1201.00,7.00
22,Stelus,1177.00,7.00
23,yuanxiaoAA,1171.00,6.00
24,Tom Vinicius,1171.00,6.00
25,QIQI0213,1153.00,6.00
26,AmelieJeTaime,1127.00,6.00
27,Sugarbaker,1107.00,6.00
28,NLBR,1062.00,6.00
29,Vla-Sof,1052.00,5.00
30,Quanyao888,1019.00,5.00
31,Goal-,1019.00,5.00
32,OverEgo,949.00,5.00
33,bigDDstrawberry,949.00,5.00
34,Dagoberta_,927.00,5.00
35,Rowl08,927.00,5.00
36,ohlaracorp,924.00,4.00
37,I[x _ x]I,911.00,4.00
38,MeanMons,903.00,4.00
39,NotEasyMoney,901.00,4.00
40,Cheeky_,899.00,4.00
41,FreshX,883.00,4.00
42,3747ZHT,876.00,4.00
43,Rallarsving,819.00,4.00
44,vip_uz,817.00,4.00
45,iceInMyVeinS-,815.00,4.00
46,EVA1326,805.00,4.00
47,SORINNNNN7,804.00,4.00
48,minacho,775.00,4.00
49,AggresivePaloma,769.00,4.00
50,TheChosen1One1,759.00,4.00
51,BruceLeroy,756.00,4.00
52,ItsGambit,754.00,4.00
53,Xobbu_Urpok,751.00,4.00
54,Existtencee,740.00,4.00
55,Bitcoin 777,726.00,4.00
56,BlindProtect0r,706.00,4.00
57,enot194,703.00,4.00
58,B3RZ3RK,702.00,4.00
59,MuichiroT,700.00,4.00
60,Giatso,691.00,4.00
61,NUME_WINS,686.00,4.00
62,Fakeone1,683.00,4.00
63,Slavik Mas,680.00,4.00
64,ClauW,673.00,4.00
65,werduna,667.00,4.00
66,Check7Mate,666.00,4.00
67,QuadDraw,643.00,4.00
68,lnsertnic,638.00,4.00
69,julkev,636.00,4.00
70,Technique786,630.00,4.00
71,rentoxxx,630.00,3.00
72,abdullahphat,626.00,3.00
73,Pompos4,621.00,3.00
74,Poxich22,611.00,3.00
75,duolaperfect,603.00,3.00
76,Roman_R,602.00,3.00
77,SonGoku89,597.00,3.00
78,Toruk Makto 777,595.00,3.00
79,TeusL,595.00,3.00
80,GhostR1der,595.00,3.00
81,SUOLOUS,591.00,3.00
82,LearnMeToPlay,588.00,3.00
83,NTG63,582.00,3.00
84,HalconBlanco,571.00,3.00
85,bigflippa,558.00,3.00
86,FrankR1990,555.00,3.00
87,CasusBelligg,542.00,3.00
88,ArmanRaj,540.00,3.00
89,Samukooo,540.00,3.00
90,Cheerful Jesus,536.00,3.00
91,GGVigiLande,536.00,3.00
92,hackery,534.00,3.00
93,Shamatha,534.00,3.00
94,Millencolin,527.00,3.00
95,vent08,527.00,3.00
96,IceCrown!,524.00,3.00
97,POKERLOGIC20,523.00,3.00
98,i believe,522.00,3.00
99,GerryT87,517.00,3.00
100,JuannnManJJP,516.00,3.00
101,MoIodoy,509.00,3.00
102,Luckypg,501.00,3.00
103,Ula_711,490.00,3.00
104,Loadedtruck,489.00,3.00
105,jiaojian,488.00,3.00
106,Mangata7,486.00,3.00
107,dandeban,486.00,3.00
108,RZefirov,482.00,3.00
109,CaptainMamuW,481.00,3.00
110,Hugo_AO32,478.00,3.00
111,Psycho72pat,475.00,2.00
112,GGNikitos,474.00,2.00
113,vacas21,472.00,2.00
114,Aequitaz,471.00,2.00
115,jijiyy,469.00,2.00
116,Delaynes,464.00,2.00
117,Notgood258,458.00,2.00
118,Dukan1991,454.00,2.00
119,Samu Paii,453.00,2.00
120,Geminh,452.00,2.00
121,Namooo,449.00,2.00
122,Fixnix3,445.00,2.00
123,Roma_Allin,437.00,2.00
124,CliffLine,435.00,2.00
