Rank,Nickname,Points,Prize
1,ShootnicKK,3800.00,100.00
2,MakiZaki,3665.00,80.00
3,yangyangggggggg,3416.00,65.00
4,M1ndPro99,3027.50,50.00
5,7evenD,2946.50,35.00
6,MurdaChipz23,2521.00,25.00
7,jogosdechurras,2183.50,20.00
8,NeverBe TheSame,2170.00,16.00
9,Tom Vinicius,1897.00,13.00
10,listanegra,1828.00,11.00
11,TomorrowJ,1788.00,10.00
12,BluffForge,1727.00,9.00
13,Luckypg,1723.50,9.00
14,Xobbu_Urpok,1664.00,8.00
15,Ron007_dan,1637.00,8.00
16,DistrugMausi,1633.00,8.00
17,JstDoIt,1538.00,7.00
18,menzinhu meu,1537.00,7.00
19,Zep451,1518.00,7.00
20,conan1,1515.00,7.00
21,lllIlllIlllIll,1509.50,7.00
22,Imersao,1499.00,7.00
23,Tietou123456,1470.00,6.00
24,69Maszek,1461.50,6.00
25,Shamatha,1435.00,6.00
26,LAFELLA1,1431.00,6.00
27,NovaDrift,1382.00,6.00
28,shunliou,1329.00,6.00
29,ggdsg11,1304.50,5.00
30,elvichenteMx,1244.00,5.00
31,jupiter69,1231.50,5.00
32,angelotneto,1176.00,5.00
33,TiKdnk,1174.00,5.00
34,jiaojian,1162.00,5.00
35,FISHARK-,1113.00,5.00
36,WB_TSGG,1086.00,4.00
37,Somesaylove,1040.00,4.00
38,bigDDstrawberry,1032.00,4.00
39,LearnMeToPlay,1020.00,4.00
40,Dukan1991,1018.00,4.00
41,YellowYC,1012.50,4.00
42,asdzqwe,1004.00,4.00
43,Stelus,977.00,4.00
44,Luzdani,939.00,4.00
45,Ampl!tuda,932.00,4.00
46,Morphling,917.00,4.00
47,ChiaraPoker,911.00,4.00
48,ydacha123,906.00,4.00
49,Elieta,896.00,4.00
50,Jodermacho,896.00,4.00
51,kingjaho,865.00,4.00
52,BndkLevi89,864.00,4.00
53,Orca981,855.00,4.00
54,DeWeMET,853.00,4.00
55,Stonebreaker004,853.00,4.00
56,x-m8,852.00,4.00
57,serask01,845.00,4.00
58,ggripbrcu,840.00,4.00
59,minacho,807.00,4.00
60,Haim Kael,803.00,4.00
61,CaptainMamuW,800.00,4.00
62,vip_uz,799.50,4.00
63,IAmReal,785.50,4.00
64,Whyborn,773.00,4.00
65,shirororo,769.00,4.00
66,XIXXIIXXXIII,750.00,4.00
67,Gelovek,737.00,4.00
68,SzynyBylyZle,735.00,4.00
69,JsonV,732.00,4.00
70,cachesper,723.00,4.00
71,Dagoberta_,721.00,3.00
72,Mr Ace high,720.00,3.00
73,love dogs,719.50,3.00
74,SUOLOUS,713.00,3.00
75,Dinamita_Eze_,710.00,3.00
76,julkev,698.00,3.00
77,Terrell83,697.00,3.00
78,Scout_0916,680.00,3.00
79,Chup3,680.00,3.00
80,RiverCore,677.00,3.00
81,AlexsDer,671.50,3.00
82,Ace-From-Space,669.00,3.00
83,AmelieJeTaime,663.00,3.00
84,Crazy_Lizzi,663.00,3.00
85,BBA747,660.00,3.00
86,Geminh,655.00,3.00
87,NiKl20,654.50,3.00
88,Alfred0013,650.00,3.00
89,wotawa,646.00,3.00
90,MrManok,644.00,3.00
91,Robin of Loxley,640.00,3.00
92,IShady,639.00,3.00
93,GoodBadDay27,634.00,3.00
94,ColdSimpleEV,628.00,3.00
95,IXI 101,625.00,3.00
96,Hugo_AO32,625.00,3.00
97,tutz88,623.00,3.00
98,SilverStorm,623.00,3.00
99,PLuchoChannel,622.00,3.00
100,AV13,621.50,3.00
101,littleBitONo4ko,615.00,3.00
102,bajaserkul7,614.00,3.00
103,xpxz,610.00,3.00
104,NotEasyMoney,591.00,3.00
105,RogerroooONY,584.00,3.00
106,nejanosi,583.50,3.00
107,DaaggerSingh,580.00,3.00
108,Metsuki-Sutemi,573.00,3.00
109,dechilled,562.00,3.00
110,GaoJianGG,561.50,3.00
111,Laurynas369,561.00,2.00
112,marusichka,554.00,2.00
113,Model T Fold,548.50,2.00
114,Steall_Jack,539.50,2.00
115,grindli,537.00,2.00
116,CaChaBaCha10,533.00,2.00
117,VeronicaMarsPI,531.50,2.00
118,Pakman84,531.00,2.00
119,MS Grinder,528.00,2.00
120,FreshX,526.00,2.00
121,ifeelzen,524.00,2.00
122,NutsovbI,522.00,2.00
123,Cutoffsky,521.50,2.00
124,Shawnlinnn,519.50,2.00
125,IAmWiredToWIn,516.50,2.00
126,spacepatr,513.00,2.00
127,Rjcnzz,506.50,2.00
128,Hitokiri,502.00,2.00
129,REZERED,499.00,2.00
130,Mr_Vercotti,499.00,2.00
131,arsushe4ka,494.00,2.00
132,Ola1943,493.00,2.00
133,Camilinipok3r,492.50,2.00
134,yo-zuri,492.00,2.00
135,Joaquin Dagnese,490.00,2.00
136,Misclickking,486.00,2.00
137,LawrenceC,486.00,2.00
138,Treynouar,481.50,2.00
139,elsio tol,476.00,2.00
140,FU9309706,476.00,2.00
141,w 1 n n e r,476.00,2.00
142,Block Story,475.00,2.00
143,I-I-IEKA,474.00,2.00
144,Delaynes,468.00,2.00
145,Gon Maitini,467.50,2.00
146,Raygod1,466.00,2.00
147,FatalWedgie,461.50,2.00
148,AlphaZero@,460.00,2.00
149,ChakSobchak,458.00,2.00
150,Doublepoker1,457.00,2.00
151,ysup h,451.50,2.00
152,Diaboloo,451.00,2.00
153,sAKlaschelAs,451.00,2.00
154,xuanjing01,451.00,2.00
155,NL-TunaBRO,448.00,2.00
156,D4rri,447.00,2.00
157,B4C-SiC,447.00,2.00
158,69outs4win,446.50,2.00
159,Mamewee,446.00,2.00
160,nadya18,446.00,2.00
161,AggresivePaloma,445.00,1.00
162,Usoppo_,444.00,1.00
163,TRICKSoffTRADES,441.50,1.00
164,ImLolo,439.00,1.00
165,JLuz1,438.00,1.00
166,Jing-Go,435.00,1.00
167,CuriMaster,434.50,1.00
168,Juan P Alvarez,433.00,1.00
169,Raab himself,429.00,1.00
170,PINOKO3,427.00,1.00
171,Lucidicity,426.50,1.00
172,Hukkaww,423.00,1.00
173,mrpukpuk1,421.50,1.00
174,QuadDraw,421.00,1.00
175,XiaoD123,420.00,1.00
176,baddare,419.00,1.00
177,Van411,419.00,1.00
178,ewzzhh,417.00,1.00
179,Bunba0,409.00,1.00
180,Victor Fdez,407.00,1.00
181,Elwizze,407.00,1.00
182,offshore,404.00,1.00
183,Slavik Mas,404.00,1.00
184,Czsl,403.00,1.00
185,MrCjSh,400.50,1.00
186,zhenbing1,400.00,1.00
187,LancedAlot,398.50,1.00
188,4JKs,394.00,1.00
189,turchinski],390.50,1.00
190,www568,389.00,1.00
191,Donatas Ba,389.00,1.00
192,Sugarbaker,389.00,1.00
193,OrenV,389.00,1.00
194,werduna,388.00,1.00
195,quimteresa,387.00,1.00
196,OnaSumerFeeling,386.00,1.00
197,Ashbur,385.50,1.00
198,Mr_Piggy,385.00,1.00
199,Aavvr,385.00,1.00
200,Antwong,384.00,1.00
201,BomjVPalto,383.50,1.00
202,Lechugaa,383.00,1.00
203,longicorn,381.00,1.00
204,WarSlon,376.00,1.00
205,daxigua1987,372.00,1.00
206,Wayn_Yo,371.00,1.00
207,ASCABJ,371.00,1.00
208,Mauser1909,371.00,1.00
209,iam_dOpO,368.00,1.00
210,synok1,367.50,1.00
211,apocalips000,367.00,1.00
212,Irugaa,367.00,1.00
213,Sudzy,365.00,1.00
214,Zyyy-hy,364.00,1.00
215,pliosaurus,363.00,1.00
216,BlindProtect0r,362.00,1.00
217,jaych82,358.50,1.00
218,Sim915,357.00,1.00
219,GreenWheel,357.00,1.00
220,earfishyfishy,356.50,1.00
221,Iowlyowly,353.00,
222,PIPOCA,352.00,
223,Mr_Samp_M,351.00,
224,LuckyDad26,351.00,
225,rzpoker,350.00,
226,Smetsannikov17,345.00,
227,gabor61,344.00,
228,Jigsaw7,344.00,
229,zj44zhen123,344.00,
230,Chimoltrufias,341.00,
231,FMSBL,341.00,
232,kukokuko,340.00,
233,H4NZ3RZ,338.00,
234,Fezze,338.00,
235,crossbones,338.00,
236,Millencolin,337.00,
237,DorinRusu,337.00,
238,AKman!,336.00,
239,Sevd,335.00,
240,taochiyu,334.00,
241,garikbadi007,332.50,
242,alejandrinho,332.00,
243,Lexus83,332.00,
244,CatFeelsCash,331.00,
245,yong1983,331.00,
246,000deathman000,327.00,
247,Aadam,327.00,
248,Maxim Meleshko,325.00,
249,Roman_R,322.00,
250,Ocean Rewards,322.00,
251,nataliakby,321.00,
252,KokoLailo_L1,321.00,
253,Fistycuffs,319.00,
254,j0llyr0ger,317.00,
255,bAlleskAnk,317.00,
256,Fasano Ciro,317.00,
257,William@Lucky,316.00,
258,CauBlefaFofo,315.00,
259,Tamag0tchi,306.00,
260,MaxMike85,306.00,
