Rank,Nickname,Points,Prize
1,WN_2399,43897.00,30.00
2,Scuffed,42214.00,25.00
3,HZQ88,40982.00,21.00
4,Chicken0510,38858.00,21.00
5,Canis Majori,36426.00,17.00
6,xSHOGUNx,36085.00,17.00
7,ppxijun,32172.00,13.00
8,Konetblizok,30803.00,13.00
9,Imbero,30433.00,10.00
10,SixthSpeed,30098.00,10.00
11,Rake4high,29747.00,7.00
12,rake_mach!ne,27335.00,5.00
13,FABIOLAreg,27282.00,5.00
14,D0n3,26038.00,5.00
15,Unluckyhero,25052.00,5.00
16,Talupoeg,23695.00,4.50
17,All-IN-SANE,22876.00,4.50
18,anzhuo,22852.00,4.00
19,mutedo,22828.00,4.00
20,2soso,22251.00,4.00
21,Shokanyo,22115.00,3.50
22,TrueteIIer,21637.00,3.50
23,Fedor_Gar,20087.00,3.50
24,gram52,19573.00,3.50
25,Nathawer,19498.00,3.00
26,mmdes,19438.00,3.00
27,kukkuri,19331.00,3.00
28,1200kg,19237.00,3.00
29,PSevd0n1m [N1],18721.00,3.00
30,allin_brother,18065.00,2.50
31,whsvin,18026.00,2.50
32,SeanMZ,17815.00,2.50
33,jimmy1012,17565.00,2.50
34,bambinosaur,17368.00,2.50
35,Rokanive,17282.00,2.50
36,HowardLovecraft,17231.00,2.00
37,WinterOMG,16347.00,2.00
38,pzyyyyy,16102.00,2.00
39,GGkozik,16063.00,2.00
40,MoonKiss,16063.00,2.00
41,F3nikS,15907.00,2.00
42,kratos13,15726.00,2.00
43,BSN@,15677.00,2.00
44,MrPiffpaaf,15272.00,2.00
45,HumbleJake,15262.00,2.00
46,A[Wu],15049.00,2.00
47,Were 05,14943.00,2.00
48,ska1946,14826.00,2.00
49,never lose hope,14757.00,2.00
50,CZY0010,14752.00,2.00
51,TikanN,14731.00,2.00
52,Pokerok fan No1,14711.00,2.00
53,puchex,14611.00,2.00
54,M e s i n i k,14568.00,2.00
55,SaintValentine,14536.00,2.00
56,WdDizzy,14376.00,2.00
57,LACKY76,14156.00,2.00
58,Che crazy,13935.00,2.00
59,EmmaPMz,13842.00,2.00
60,puteez,13808.00,2.00
61,curly_man,13681.00,1.80
62,lIlIIlIIIlllIlI,13633.00,1.80
63,GE JIN,13557.00,1.80
64,dimkis35,13483.00,1.80
65,Asthma88,13463.00,1.80
66,Mikw,13314.00,1.80
67,jajo1000000,13250.00,1.80
68,FishenROLL,13182.00,1.80
69,Respekt2020,13133.00,1.80
70,Thinh 023,13124.00,1.80
71,patriikswe,13120.00,1.50
72,Severen,13117.00,1.50
73,Fulg,13091.00,1.50
74,Watpcity7,12954.00,1.50
75,zidu111,12892.00,1.50
76,Near138,12891.00,1.50
77,havefunGG,12824.00,1.50
78,nop9Igok_gpyrou,12672.00,1.50
79,aDormir,12588.00,1.50
80,JasonDLL,12554.00,1.50
81,orobico,12510.00,1.40
82,treeee07,12373.00,1.40
83,andron22,12342.00,1.40
84,Basha77,12309.00,1.40
85,Hau_Banker,12195.00,1.40
86,guratp,12097.00,1.40
87,Getoffmytable!,12076.00,1.40
88,my15,11977.00,1.40
89,DBXGG,11836.00,1.40
