Rank,Nickname,Points,Prize
1,jpokerlife,33446.00,400.00
2,Maguro Megumi,33006.00,320.00
3,nottoday23,32458.00,260.00
4,Woody Pride,32161.00,220.00
5,Luck spring,27063.00,200.00
6,makabakaabc,22382.00,180.00
7,gagaluanchong,20831.00,160.00
8,Fopihu V2,20267.00,160.00
9,jpokerlife,18155.00,140.00
10,acdsacds,17928.00,140.00
11,Omnibuss,16895.00,120.00
12,wakutin0220k,16720.00,100.00
13,geumfgywo,16235.00,80.00
14,qwer737,15075.00,80.00
15,PilotAA,14870.00,60.00
16,sunset1111,14841.00,60.00
17,Helicopterrr,14737.00,60.00
18,SkaL_03,14064.00,60.00
19,surge17,13592.00,50.00
20,kyle_kim,13370.00,50.00
21,silverDoe,12972.00,50.00
22,Dilemmaa,12809.00,50.00
23,Woody Pride,12734.00,50.00
24,Baby-Vogel,12573.00,50.00
25,arkgu,11733.00,50.00
26,MuskTrump2025,11361.00,50.00
27,Catharsis,11289.00,50.00
28,Daveim,11128.00,50.00
29,Oscar1109,11114.00,50.00
30,CatsPoker,11001.00,50.00
31,Anglachel,10730.00,40.00
32,NoCaII,10661.00,40.00
33,Dakarzoo,10575.00,40.00
34,Sparkels,10208.00,40.00
35,Soupp,9326.00,40.00
36,RAMPAGE!!!,9160.00,40.00
37,425_444,9139.00,40.00
38,imase,9123.00,40.00
39,Scorpion-FH,9086.00,40.00
40,tesourodamae,8877.00,40.00
41,Peace and l0ve,8701.00,40.00
42,lpckw,8695.00,40.00
43,TF92,8421.00,40.00
44,ROSHAN MARIA,8391.00,40.00
45,0eten,8167.00,40.00
46,Roger Fedex,8127.00,40.00
47,krizhiki voloki,8081.00,40.00
48,godgodgood,7994.00,40.00
49,AldaIn-alnudaI,7920.00,40.00
50,tlhk,7912.00,40.00
51,skema777,7846.00,40.00
52,Clash LRC,7701.00,40.00
53,bomibe,7568.00,40.00
54,O4O_55555,7548.00,40.00
55,No me 1mporta,7429.00,40.00
56,woaiwangjinhua,7380.00,40.00
57,Robin Lecomte,7347.00,40.00
58,Dedyla,7306.00,40.00
59,super00998178,7252.00,40.00
60,gaussianBoy,7172.00,40.00
61,GGEZGG,7156.00,30.00
62,shrimp-TY,7111.00,30.00
63,P5654-2185,7004.00,30.00
64,Iraseonal,6958.00,30.00
65,Wukikira,6922.00,30.00
66,MOSTVALUE,6918.00,30.00
67,Holdemaron1,6844.00,30.00
68,Caffreyy,6663.00,30.00
69,PolskiPech,6659.00,30.00
70,F!zz,6572.00,30.00
71,BERRI SWEET,6554.00,30.00
72,wummmm,6443.00,30.00
73,Qu1ckS1lv3rZAOL,6378.00,30.00
74,aQp-thevagos,6274.00,30.00
75,MIG-KRD,6205.00,30.00
76,GazG,6184.00,30.00
77,Eric L,6122.00,30.00
78,Igor Stevanovic,6100.00,30.00
79,Topmycorka,6070.00,30.00
80,EniboyAA,6058.00,30.00
81,Jinx Poker,6018.00,30.00
82,feibro888,5990.00,30.00
83,Sebfly,5906.00,30.00
84,kaiser kosmos,5900.00,30.00
85,GTOvsGTA,5839.00,30.00
86,Mrhiphop07,5809.00,30.00
87,Gumshark,5799.00,30.00
88,will_rodders,5782.00,30.00
89,RaiseBo,5743.00,30.00
90,kkspr,5736.00,30.00
91,coolshun,5668.00,30.00
92,justluck22,5640.00,30.00
93,DonALEXANDR0,5586.00,30.00
94,Mia Watson,5559.00,30.00
95,guido !,5555.00,30.00
96,ChrisC96,5544.00,30.00
97,LoveAlicee,5532.00,30.00
98,Pondok,5527.00,30.00
99,mumu2000,5505.00,30.00
100,RetroiG,5473.00,30.00
101,FuSSion,5398.00,30.00
102,msk18,5330.00,30.00
103,Never Aof Never,5313.00,30.00
104,VadimOtinov,5312.00,30.00
105,coolhand91,5310.00,30.00
106,J0hnMcClane,5302.00,30.00
107,koteX1,5260.00,30.00
108,anyi200,5244.00,30.00
109,Runfazhou-,5242.00,30.00
110,dthm60dsa,5234.00,30.00
111,goodluck-gg,5224.00,30.00
112,Mr-KissKiss,5220.00,30.00
113,shape of heart,5202.00,30.00
114,Mr Bi DL,5200.00,30.00
115,Unblocker,5163.00,30.00
116,QQNeverwin,5159.00,30.00
117,GavCat3000,5150.00,30.00
118,Capy_,5138.00,30.00
119,bordercollie,5125.00,30.00
120,dashaoyu,5111.00,30.00
121,ppolo16,5105.00,30.00
122,Kalin1024,5085.00,30.00
123,W1thMyheart,5063.00,30.00
124,Seong Gi_hun,4977.00,30.00
125,nicetime,4934.00,30.00
126,IvanZhan,4868.00,30.00
127,Mrskitty,4867.00,30.00
128,Ruozhi2017,4856.00,30.00
129,10_VULTURUL_10,4833.00,30.00
130,Asher Yue,4736.00,30.00
131,WorldFourtune,4731.00,30.00
132,Shanghai Machao,4689.00,30.00
133,co0o0,4644.00,30.00
134,luckiness666888,4636.00,30.00
135,THKsb,4631.00,30.00
136,AKQJ1122,4618.00,30.00
137,always flip,4616.00,30.00
138,J_ovo_2,4576.00,30.00
139,MCSnaily,4570.00,30.00
140,Onee12,4514.00,30.00
141,Ryantheone,4461.00,
142,Kebabshopowner,4448.00,
143,Minimalistic,4444.00,
144,grrrrr888,4436.00,
145,Blopp,4422.00,
146,Irlandczyk,4401.00,
147,rabidora,4385.00,
148,junnnkkk,4379.00,
149,nika10,4305.00,
150,Declara,4250.00,
151,BotJijOfBoTik!,4242.00,
152,Zachas_,4204.00,
153,messica,4114.00,
154,huangjiadayi,4095.00,
155,Fissss,4077.00,
156,DoctorP0ker,4003.00,
157,AliRiPe310,4001.00,
158,Soul Reader,3953.00,
159,SAPRONOV@,3920.00,
160,salladhor,3916.00,
