Rank,Nickname,Points,Prize
1,VLADIQPRIME,42762.00,150.00
2,vetal2k,37490.00,110.00
3,Kiss997,36983.00,100.00
4,DorisG,36744.00,90.00
5,MoCChi2019,33401.00,80.00
6,zypyy,32346.00,80.00
7,Callboy2026,32074.00,70.00
8,Elden_King,30626.00,70.00
9,kiwifff,29500.00,60.00
10,DiosVoluntad,27503.00,60.00
11,Blindsight-,26235.00,50.00
12,JACKYHU,22574.00,40.00
13,Jianggg,21564.00,30.00
14,BLIND RUNNER,21392.00,20.00
15,Kakahirmutis,21045.00,16.00
16,BetBetAllin!!,18862.00,16.00
17,ANDYLAU927,18735.00,15.00
18,realabk,18179.00,15.00
19,Blue3488,17836.00,15.00
20,Lasleep22,17817.00,14.00
21,kean1992,17301.00,14.00
22,dead420,16630.00,14.00
23,WxHuangyang,16442.00,14.00
24,Anthony B,16271.00,13.00
25,murat607,15187.00,13.00
26,S1acker,14887.00,13.00
27,XANDRRR,14001.00,13.00
28,aleksandrpav1,13843.00,12.00
29,Hedss,13651.00,12.00
30,Duem1,13562.00,12.00
31,Fritzie,13137.00,12.00
32,SolvedGoodMan,13030.00,12.00
33,I-love-i-win,12997.00,11.00
34,Jed Smith,12959.00,11.00
35,Alalalalong,12937.00,11.00
36,1ou6,12867.00,11.00
37,speed-1,12555.00,11.00
38,POCKETCORGI,12537.00,10.00
39,Djefali,12520.00,10.00
40,EQFAEQR,12386.00,10.00
41,VIKTAR0000,12327.00,9.00
42,BocaFB,11861.00,9.00
43,kasanoova,11631.00,9.00
44,iFbby,11573.00,9.00
45,Chyeah,11439.00,9.00
46,Mr bubulaks,11342.00,9.00
47,Maximilien811,11337.00,9.00
48,Sillicon Chrome,11121.00,9.00
49,Rayswsk,11092.00,9.00
50,panda8002,11051.00,9.00
51,Meato,10975.00,9.00
52,loveziyou,10928.00,9.00
53,nlnlobo,10697.00,9.00
54,ChuckyJT,10547.00,9.00
55,Overcome,10310.00,9.00
56,Shen Nana,10298.00,9.00
57,QiaoBZ,10270.00,9.00
58,sst9,10171.00,9.00
59,ChrisP Checkin,10102.00,9.00
60,KulioM,9999.00,9.00
61,Aco80,9983.00,9.00
62,Alex Alvarado,9953.00,9.00
63,yu-shi-,9836.00,9.00
64,GGGGGGGGGBOND,9686.00,9.00
65,Hardy Nit,9512.00,9.00
66,ZaoZaoPoker,9475.00,9.00
67,MCFELIX,9454.00,9.00
68,Spacuu,9429.00,9.00
69,jay201,9340.00,9.00
