Rank,Nickname,Points,Prize
1,Nightwish !,5535.00,250.00
2,Evgeny Paketov,3494.50,200.00
3,CALLIFYOUDARE,3487.00,170.00
4,PikachuPee,3214.50,140.00
5,DiacCatalin,3153.00,120.00
6,Pyro57,2918.00,100.00
7,Goldpoker01,2786.50,80.00
8,YouGottaPay,2711.00,70.00
9,Stable Genius,2548.00,60.00
10,seiteeen,2313.50,50.00
11,PapyRain,2293.00,40.00
12,Irsai Oliver,2275.00,40.00
13,pacoryan,2206.00,40.00
14,TOMBATLE,1902.00,30.00
15,Honey Pot,1795.00,30.00
16,MaxilLARY,1567.00,30.00
17,Rabbit_Life,1444.00,30.00
18,Zdravko19,1440.00,30.00
19,GM604,1427.00,30.00
20,David9T,1397.00,25.00
21,sooraba,1362.00,25.00
22,A veces ligo,1288.00,20.00
23,A Castellazzi,1274.00,20.00
24,lovetrips,1248.00,20.00
25,MagnusCallsen,1228.00,20.00
26,zhuimeng01,1128.00,20.00
27,KS0626,1122.00,20.00
28,elmalditorey,1035.50,20.00
29,yilufa8,1033.00,20.00
30,Stolik,1029.00,20.00
31,Javelove,1004.00,20.00
32,Awakening2222,894.00,20.00
33,Hi Adults,853.00,20.00
34,Joshua!!!,851.00,10.00
35,barcode96,850.00,10.00
36,scarborg,842.00,10.00
37,Roulette,815.00,10.00
38,818Sisarka,788.00,10.00
39,Qqqqooo,776.00,10.00
40,whyiplaythis,773.00,10.00
41,DKonU,767.00,10.00
42,strongcolour,742.50,10.00
43,bao_ragasa,739.00,10.00
44,Nedostup_92,710.00,10.00
45,Carthor,697.00,10.00
46,cyfr00n,690.50,10.00
47,AnteSociaI,689.00,10.00
48,Gandalf Sax Guy,674.00,10.00
49,Lin16,668.00,10.00
50,MINI BOBER,643.00,10.00
