Rank,Nickname,Points,Prize
1,DemiSoloQ,36957.00,400.00
2,jpokerlife,30916.00,320.00
3,Little-F!sh,28090.00,260.00
4,nottoday23,26108.00,220.00
5,A Selimhanov,25651.00,200.00
6,Mathew 100,25008.00,180.00
7,krizhiki voloki,22900.00,160.00
8,weggmm,22529.00,160.00
9,gagaluanchong,22097.00,140.00
10,messica,20824.00,140.00
11,kowzinhwoi,19675.00,120.00
12,bluffmachine,19314.00,100.00
13,Caio Pessagno,18725.00,80.00
14,madddddd,18345.00,80.00
15,Roger Fedex,17627.00,60.00
16,owen33,17412.00,60.00
17,IlIlIIlIIlIlIll,16682.00,60.00
18,Sukuna666,15229.00,60.00
19,Holdemaron1,15185.00,50.00
20,Aquarii,15180.00,50.00
21,bordercollie,14675.00,50.00
22,Repoio,14119.00,50.00
23,Storyyyy303,13846.00,50.00
24,PSonee,13237.00,50.00
25,LukasTseng,13135.00,50.00
26,lpckw,12833.00,50.00
27,NoCaII,12748.00,50.00
28,real k!ng,12556.00,50.00
29,buhuibeibb,12247.00,50.00
30,Keisuke Arata,12164.00,50.00
31,V Cavalcanti,11832.00,40.00
32,PilotAA,10547.00,40.00
33,fsxd,10087.00,40.00
34,co0o0,10071.00,40.00
35,Dakarzoo,9682.00,40.00
36,loveqiqiqi,9673.00,40.00
37,RAMPAGE!!!,9655.00,40.00
38,Shanghai Machao,9599.00,40.00
39,Dilemmaa,9587.00,40.00
40,imase,9485.00,40.00
41,Chenchao Fei,9468.00,40.00
42,ffff0013,9322.00,40.00
43,LuckymonkeyRO,8856.00,40.00
44,shrimp-TY,8706.00,40.00
45,Gon Freecs,8563.00,40.00
46,FocusOnBike,8434.00,40.00
47,MarveII,8357.00,40.00
48,Al777lA,8261.00,40.00
49,ARAKASAN,8254.00,40.00
50,Gumption_Poker,8088.00,40.00
51,ChopBlock,7850.00,40.00
52,xiaoyov5,7795.00,40.00
53,Fisherman_Kim,7755.00,40.00
54,Scorpion-FH,7751.00,40.00
55,heisewaita,7723.00,40.00
56,staeckd,7716.00,40.00
57,THKsb,7707.00,40.00
58,Oscar1109,7653.00,40.00
59,Li Yuan Fa,7625.00,40.00
60,AegisX,7608.00,40.00
61,EniboyAA,7542.00,30.00
62,BetMeOut,7459.00,30.00
63,Viktor K,7350.00,30.00
64,Z3ru5,7318.00,30.00
65,BruceMan,7310.00,30.00
66,ZFZSTAR,7292.00,30.00
67,ZHAPIAN666,7278.00,30.00
68,Hagemeister,7123.00,30.00
69,rocketman22,7031.00,30.00
70,onettuk!,7031.00,30.00
71,HiJustForFun,6959.00,30.00
72,Tizithecat,6860.00,30.00
73,Freez96,6783.00,30.00
74,surge17,6700.00,30.00
75,Wonderk1d,6698.00,30.00
76,Yoan Merlo,6614.00,30.00
77,Anglachel,6571.00,30.00
78,LCW586V,6565.00,30.00
79,xigua333,6413.00,30.00
80,DayaoGTO,6357.00,30.00
81,huangjiadayi,6235.00,30.00
82,Mia Watson,6206.00,30.00
83,ahaiahia2,6162.00,30.00
84,Guamiowmiow,6158.00,30.00
85,jfjhebxnjxos,6118.00,30.00
86,nicetime,6052.00,30.00
87,GavCat3000,6007.00,30.00
88,antimaged,5948.00,30.00
89,Polyvios P,5912.00,30.00
90,POKER[JUSTICE]!,5860.00,30.00
91,yktdnmn,5849.00,30.00
92,UuuuuuuupSwing,5816.00,30.00
93,KowsaiOuO,5784.00,30.00
94,Sunflower seeds,5764.00,30.00
95,Ruozhi2017,5752.00,30.00
96,829yabuyabu,5703.00,30.00
97,MaxwellMaxwell,5681.00,30.00
98,HungryCroco21,5680.00,30.00
99,rwerwrw,5645.00,30.00
100,KATSP45,5643.00,30.00
101,Xuzi_pokerX,5640.00,30.00
102,Pud Wud,5639.00,30.00
103,Jimen,5630.00,30.00
104,jugggg,5609.00,30.00
105,Vachik Sargsyan,5562.00,30.00
106,ZitaHT,5540.00,30.00
107,suhhhh,5536.00,30.00
108,Supppppppp,5502.00,30.00
109,tapped,5490.00,30.00
110,Luckyzo3,5464.00,30.00
111,silverDoe,5461.00,30.00
112,Topmycorka,5452.00,30.00
113,dthm60dsa,5435.00,30.00
114,Bouncy Ball,5433.00,30.00
115,addypoker1999,5425.00,30.00
116,VadimOtinov,5361.00,30.00
117,Mrhiphop07,5342.00,30.00
118,GGEZGG,5295.00,30.00
119,wastetim1,5277.00,30.00
120,LoveAlicee,5255.00,30.00
121,Sinh To Ngon,5207.00,30.00
122,Capy_,5169.00,30.00
123,IvanZhan,5168.00,30.00
124,kyle_kim,5156.00,30.00
125,anyi200,5141.00,30.00
126,tudonatelaedu,5126.00,30.00
127,calmdownbond,5107.00,30.00
128,bobtrb,5085.00,30.00
129,xueluyou,5075.00,30.00
130,Kalin1024,5033.00,30.00
131,kejisimida,5030.00,30.00
132,tlhk,5025.00,30.00
133,Laoliureng,4975.00,30.00
134,lllyLer,4899.00,30.00
135,sander55,4872.00,30.00
136,Dosu ahn,4869.00,30.00
137,HonestMeyer,4858.00,30.00
138,Dedyla,4835.00,30.00
139,Qwerdf1234,4823.00,30.00
140,newbiett,4817.00,30.00
141,hahachaoren,4680.00,
142,StrepsilsDOG,4594.00,
143,S Nikitin,4585.00,
144,All_UcanEAT,4574.00,
145,Robin Lecomte,4568.00,
146,vvan zhang,4499.00,
147,Lusty EE,4497.00,
148,rabidora,4471.00,
149,Love2023,4469.00,
150,hklimper,4451.00,
151,great shark,4433.00,
152,V@lueTheSpot,4427.00,
153,saphros0815,4409.00,
154,passing,4362.00,
155,luckylife,4350.00,
156,nacho28,4293.00,
157,Peace and l0ve,4284.00,
158,MCSnaily,4277.00,
159,for_my_daronne,4266.00,
160,DepaNick,4239.00,
