Rank,Nickname,Points,Prize
1,Andrei875,4054.00,60.00
2,stasbucks,3255.50,45.00
3,RocketSocket,2905.00,35.00
4,Mump0qpaH,2801.00,30.00
5,svenikkk,2689.50,25.00
6,Toolmaker,2537.50,20.00
7,BayGanyo,2489.00,16.00
8,N-Two,2212.00,13.00
9,BenzE300L,1938.00,11.00
10,Mysliwiec82,1816.50,9.00
11,w00k4,1805.00,8.00
12,koshka-eroshka,1766.50,7.00
13,0din0,1653.00,7.00
14,S1ngle_,1636.00,6.00
15,Ruxi09,1635.00,6.00
16,000deathman000,1550.00,6.00
17,Ga-Ga-Ga,1475.00,5.00
18,rogalik,1471.00,5.00
19,Long_Lost,1428.00,5.00
20,BergeBomb,1415.50,5.00
21,KAWACHA,1363.00,5.00
22,Major Lazer,1349.00,4.00
23,YO_SINNER,1313.50,4.00
24,Im_Lucky_poker,1259.00,4.00
25,Magpie_,1185.00,4.00
26,Element1st,1165.00,4.00
27,johnwill,1162.00,4.00
28,Revenge!,1139.00,3.00
29,kzixxx,1088.00,3.00
30,z1nfandeI,1077.00,3.00
31,zzzzzNzzzzz,1071.00,3.00
32,Big Varan,1051.00,3.00
33,Kogi44,1051.00,3.00
34,outcast,1047.00,3.00
35,2gunz,1028.00,3.00
36,KasTas_,977.00,3.00
37,stos7722,972.00,3.00
38,ALWAYS3BET,959.00,3.00
39,excep,953.00,3.00
40,Black_Prince,951.00,2.00
41,NazguL88,950.00,2.00
42,No_equity,947.50,2.00
43,Roberpot,908.00,2.00
44,Red Rain,908.00,2.00
45,youchasingme,891.00,2.00
46,Kashtanka-,890.00,2.00
47,Ben9991,875.00,2.00
48,HajduJan2,862.50,2.00
49,t@di,859.00,2.00
50,999kkk,857.00,2.00
51,AlexsDer,857.00,2.00
52,ElVigoroso,848.50,2.00
53,Sin Alma,848.00,2.00
54,PABLIN_ss_,846.00,2.00
55,JosephBidon,843.00,2.00
56,Tuerrrr,842.00,2.00
57,N1ceM0ve,838.00,2.00
58,luckyJunHui,836.50,2.00
59,SloVoBlud,824.00,2.00
60,CzlonekMobbyn,812.00,2.00
61,3l4ndroid3,809.00,1.50
62,pokerudusi,802.00,1.50
63,ImADonkey22,799.00,1.50
64,ValentinEdery,797.00,1.50
65,ultrafish69,783.00,1.50
66,Real Caleta,783.00,1.50
67,Scviz,775.00,1.50
68,z1ma-vw,769.00,1.50
69,selfie1900,767.00,1.50
70,King0ffTheHill,744.00,1.50
71,equalkiwee,744.00,1.50
72,ThePif,743.00,1.50
73,Sunshine bboy,741.50,1.50
74,teletron1x,736.50,1.50
75,Lazy_Jack,722.00,1.50
76,Danansti,690.50,1.50
77,uzquiano gus,690.00,1.50
78,D4NCEWITHME,688.00,1.50
79,PaintedBird,686.00,1.50
80,elguapo6868,683.00,1.50
81,Momo1888,677.50,1.20
82,g0d5on,677.00,1.20
83,gonzagg,677.00,1.20
84,2ikhtikWar2a,666.00,1.20
85,Romario Agro,665.00,1.20
86,igotnutsbaby,659.00,1.20
87,kuriboh77777,653.00,1.20
88,Mhanny,648.00,1.20
89,ZenGrindEV,634.00,1.20
90,KalinkaKK,618.00,1.20
91,truepackk,616.00,1.20
92,AleksFilimonov,616.00,1.20
93,jengi kim,613.50,1.20
94,1Click1Fold,612.00,1.20
95,avividan,612.00,1.20
96,pro100Chekk,608.00,1.20
97,Murtaz A,605.00,1.20
98,longbaobao,599.00,1.20
99,wendigo14,598.00,1.20
100,LeoVP2908,593.00,1.20
101,betAA4u,587.50,1.00
102,lucky_13_,587.00,1.00
103,Demitriy20,583.00,1.00
104,CallRiverTwice,580.50,1.00
105,Anton Vavilov,578.00,1.00
106,Heaton11,576.00,1.00
107,MegaBigW1n,574.00,1.00
108,Whoopsie,572.00,1.00
109,Nickname741,568.00,1.00
110,ElManquito,567.00,1.00
111,Sx74,565.00,1.00
112,CAMAROND1OS,564.00,1.00
113,shagan,562.00,1.00
114,provoker7,562.00,1.00
115,FloFlop,561.00,1.00
116,Machito-,560.00,1.00
117,O-Shevchenko,556.00,1.00
118,VBV1994,549.50,1.00
119,Prusher,549.00,1.00
120,PavanaTTo23,548.00,1.00
121,Sptnz,548.00,1.00
122,jhon3710,543.50,1.00
123,sh0ti,543.00,1.00
124,Elponce4,542.00,1.00
125,Jamesjones71,541.00,1.00
126,MATPOC,540.00,1.00
127,LocoJazz,538.00,1.00
128,silversurfer19,531.00,1.00
129,quichi93,529.00,1.00
130,Steelymindset,528.50,1.00
131,Who_am_i322,524.00,1.00
132,Sirius314,523.00,1.00
133,Sanrs,521.00,1.00
134,leproso3843,519.00,1.00
135,One-GOG,519.00,1.00
136,jianganzhu777,518.00,1.00
137,M0zao,518.00,1.00
138,SeenBefore_,518.00,1.00
139,ImSoFriendly,515.00,1.00
140,Anchousis,515.00,1.00
141,GigaChad90,513.00,1.00
142,P Evangelista,512.00,1.00
143,wishwu,511.50,1.00
144,WWARBABY,509.00,1.00
145,NgD Son,508.00,1.00
146,Canserbero,506.00,1.00
147,ScubaMolaram,506.00,1.00
148,victazzz,505.00,1.00
149,T-BIT-W,502.00,1.00
150,F1000playa,499.00,1.00
151,Jade_Emperor,498.00,1.00
152,Imjustwatching,495.00,1.00
153,AceoffpicA,493.00,1.00
154,jozsi85,491.00,1.00
155,Napoleon Bona,491.00,1.00
156,VoidSeraf,491.00,1.00
157,BBCrusher,490.00,1.00
158,ovi68,482.00,1.00
159,Gottscheer,482.00,1.00
160,KARSTT,477.00,1.00
161,luckP0ker,475.00,1.00
162,yugimuto,474.00,1.00
163,Yaeloleta2,470.00,1.00
164,Kaikaizhua,469.00,1.00
165,Excelenci@,469.00,1.00
166,DUFeelLuckyPUNK,464.00,1.00
167,QiQiLove!,458.00,1.00
168,a_twentyeight_r,456.00,1.00
169,2banana,454.00,1.00
170,Raingg,453.50,1.00
171,NVargas,453.00,1.00
172,Cnacu6o,452.00,1.00
173,ciuciuuuu,450.00,1.00
174,nn439046467,447.50,1.00
175,Johngold19,445.00,1.00
176,rodowity,445.00,1.00
177,AxeL89,441.00,1.00
178,SneakyRomanian,438.00,1.00
179,ploysarawut,437.00,1.00
180,melom@nn4ik,435.00,1.00
181,Palamo76,431.00,0.50
182,FranJKD,431.00,0.50
183,FuguFish,430.00,0.50
184,Elsa_Jean,426.00,0.50
185,JINEN LUCK,424.50,0.50
186,CallAndCry,424.00,0.50
187,Mungozinho,424.00,0.50
188,NotOriginal,422.00,0.50
189,OneTimers,422.00,0.50
190,Yanchynman,419.00,0.50
191,DaniDansen,419.00,0.50
192,1One_TIME1,416.00,0.50
193,Panterka2022,414.00,0.50
194,Bigboss1979,413.50,0.50
195,YasuQueen-,413.00,0.50
196,CosmoElle,409.00,0.50
197,3umph,409.00,0.50
198,Queen Fish,407.00,0.50
199,Apollo!,405.00,0.50
200,DIAN@1986,403.00,0.50
201,agrocroot,402.00,0.50
202,ARM_075,401.00,0.50
203,LeoBlade,401.00,0.50
204,Aperioristoss,401.00,0.50
205,Venonat,400.00,0.50
206,mfstar,397.00,0.50
207,LuckPablo,395.00,0.50
208,CNrocky,395.00,0.50
209,RiverKingDan,393.00,0.50
210,Protossek,390.00,0.50
211,CrashBang,387.00,0.50
212,Margarita890,385.00,0.50
213,Lare,385.00,0.50
214,Eencelligbeest,383.50,0.50
215,uz_bek,383.00,0.50
216,Ewsaidcs8,383.00,0.50
217,GANDlA,378.00,0.50
218,Jeankk,377.50,0.50
