Rank,Nickname,Points,Prize
1,IIllIIllI,2368.00,500.00
2,bad nick,2195.00,400.00
3,ToxicF[][][][]r,1805.00,320.00
4,LonelyBrainCell,1625.50,260.00
5,NITsvenKin,1482.00,210.00
6,onetimenamera,1466.00,170.00
7,Sergio_Virgin,1229.00,140.00
8,Angelo Krom,1226.00,110.00
9,illlililil,1038.00,90.00
10,Ignacio Puebla,964.00,70.00
11,Richard Martin,916.00,70.00
12,fish20260114,852.00,60.00
13,derHeinrich,823.00,60.00
14,HoldTheFort,805.50,60.00
15,Djon Wik,764.00,60.00
16,Btrthnyou,753.00,60.00
17,Pavel Meshkov,731.00,60.00
18,Andrew Tate III,668.00,50.00
19,LunarWisp,652.00,50.00
20,Misha Inner,641.00,50.00
21,DobbyNoBluffea,630.00,50.00
22,JH66610,628.00,50.00
23,G Reis Santos,618.00,50.00
24,Beer y GinTonic,584.50,50.00
25,Stevie Jazz,567.50,40.00
26,OhDidIWin,528.00,40.00
27,Gelipter,515.00,40.00
28,Lucky_fans,497.00,40.00
29,OneDecision,491.00,40.00
30,Invisible MaN,490.00,40.00
31,LosMuchosHeapos,467.00,40.00
32,Jonathan___,447.00,40.00
33,jwzhq999,423.50,40.00
34,Hugh_Hustler,411.00,40.00
35,Acesunluckoo,404.00,40.00
36,LaliAgain,403.00,40.00
37,mjandara,395.00,30.00
38,Tu Bui,395.00,30.00
39,ERA7ER,391.00,30.00
40,ChatoMario10,391.00,30.00
41,AbundanceFlow,388.00,30.00
42,Dase1n,387.00,30.00
43,M Kaliszewicz,384.00,30.00
44,ParisDedes,372.00,30.00
45,AtsuA,370.50,30.00
46,TatiShoveAir,361.00,30.00
47,Universal Mind,348.00,30.00
48,YourSweetLover,332.00,30.00
49,Azarix,311.00,30.00
50,Aamakualenalena,310.00,30.00
51,Robin Lacey,306.00,30.00
52,happyzz1,305.50,30.00
53,agamerr,294.50,30.00
54,Mentalizing,283.00,30.00
55,Juan Marquez,281.00,30.00
56,Pikoro,276.00,30.00
57,VHDY,268.00,30.00
58,Kruzzzin,257.00,30.00
59,Nickorama8,255.00,30.00
60,PuntyMcPunt,240.00,30.00
61,RudyBee123,240.00,25.00
62,Matthias Ehlers,232.50,25.00
63,Marco Zevola,228.00,25.00
64,W[0]nderwa!l,226.00,25.00
65,CallmybluffAAKK,219.00,25.00
66,Raiser Th!n,217.00,25.00
67,Amcmh,217.00,25.00
68,K Torok,207.00,25.00
69,ladyD-D,205.00,25.00
70,OpenPalm,202.50,25.00
71,Lisan al-Gaib!,202.00,25.00
72,Enlassombras,202.00,25.00
73,mybuydohg,199.00,25.00
74,Ameliovich,198.00,25.00
75,MMelo,195.00,25.00
76,GiorDream,193.00,25.00
77,Nespresso26,192.00,25.00
78,And Stoenescu,186.00,25.00
79,RichParents2006,176.00,25.00
80,MachoAppa,176.00,25.00
81,fake account,170.00,25.00
82,hiitsme,161.00,25.00
83,Teufelhohle!,161.00,25.00
84,HIGH ENERGY,157.00,25.00
85,Diego A Torres,155.00,25.00
86,Dingd0ngjackp0t,154.00,25.00
87,Pagenotfound4o4,153.00,25.00
88,ralphlauren2,132.00,25.00
89,kill15,132.00,25.00
90,fangfeiaa,128.50,25.00
91,Yongjueduwang,127.00,
92,Cnacu CoxpaHu,122.00,
93,garik_001,122.00,
94,Mekatmen666,121.00,
95,Hidemi-,118.00,
96,Fadatsai,118.00,
97,yourboytopic,116.00,
98,qqkkmai88,113.50,
99,Just-for-fun,109.00,
100,erster,109.00,
